,d,v,years,months,ticker_symbol,security,sector
0,985996800,792600000,2001,3,MMM,3M,Industrials
1,993859200,791800000,2001,6,MMM,3M,Industrials
2,1001808000,787000000,2001,9,MMM,3M,Industrials
3,1017532800,779800000,2002,3,MMM,3M,Industrials
4,1025395200,780000000,2002,6,MMM,3M,Industrials
5,1033344000,779600000,2002,9,MMM,3M,Industrials
6,1049068800,780000000,2003,3,MMM,3M,Industrials
7,1056931200,781800000,2003,6,MMM,3M,Industrials
8,1064880000,784600000,2003,9,MMM,3M,Industrials
9,1080691200,782900000,2004,3,MMM,3M,Industrials
10,1088553600,782500000,2004,6,MMM,3M,Industrials
11,1096502400,780600000,2004,9,MMM,3M,Industrials
12,1112227200,771700000,2005,3,MMM,3M,Industrials
13,1120089600,768000000,2005,6,MMM,3M,Industrials
14,1128038400,762200000,2005,9,MMM,3M,Industrials
15,1143763200,754400000,2006,3,MMM,3M,Industrials
16,1151625600,755100000,2006,6,MMM,3M,Industrials
17,1159574400,745200000,2006,9,MMM,3M,Industrials
18,1175299200,729300000,2007,3,MMM,3M,Industrials
19,1183161600,718400000,2007,6,MMM,3M,Industrials
20,1191110400,714500000,2007,9,MMM,3M,Industrials
21,1206921600,706500000,2008,3,MMM,3M,Industrials
22,1214784000,702100000,2008,6,MMM,3M,Industrials
23,1222732800,695500000,2008,9,MMM,3M,Industrials
24,1238457600,693500000,2009,3,MMM,3M,Industrials
25,1246320000,696800000,2009,6,MMM,3M,Industrials
26,1254268800,702800000,2009,9,MMM,3M,Industrials
27,1269993600,711800000,2010,3,MMM,3M,Industrials
28,1277856000,714500000,2010,6,MMM,3M,Industrials
29,1285804800,714000000,2010,9,MMM,3M,Industrials
30,1301529600,711500000,2011,3,MMM,3M,Industrials
31,1309392000,713400000,2011,6,MMM,3M,Industrials
32,1317340800,707700000,2011,9,MMM,3M,Industrials
33,1333152000,696800000,2012,3,MMM,3M,Industrials
34,1341014400,694300000,2012,6,MMM,3M,Industrials
35,1348963200,693000000,2012,9,MMM,3M,Industrials
36,1356912000,691500000,2012,12,MMM,3M,Industrials
37,1364688000,691100000,2013,3,MMM,3M,Industrials
38,1372550400,688200000,2013,6,MMM,3M,Industrials
39,1380499200,679800000,2013,9,MMM,3M,Industrials
40,1388448000,668500000,2013,12,MMM,3M,Industrials
41,1396224000,661500000,2014,3,MMM,3M,Industrials
42,1404086400,652000000,2014,6,MMM,3M,Industrials
43,1412035200,645300000,2014,9,MMM,3M,Industrials
44,1419984000,637900000,2014,12,MMM,3M,Industrials
45,1427760000,636200000,2015,3,MMM,3M,Industrials
46,1435622400,631300000,2015,6,MMM,3M,Industrials
47,1443571200,620600000,2015,9,MMM,3M,Industrials
48,1451520000,614500000,2015,12,MMM,3M,Industrials
49,1459382400,607400000,2016,3,MMM,3M,Industrials
50,1467244800,606900000,2016,6,MMM,3M,Industrials
51,1475193600,604400000,2016,9,MMM,3M,Industrials
52,1483142400,600200000,2016,12,MMM,3M,Industrials
53,1490918400,598100000,2017,3,MMM,3M,Industrials
54,1498780800,598100000,2017,6,MMM,3M,Industrials
55,1506729600,597600000,2017,9,MMM,3M,Industrials
56,1514678400,596500000,2017,12,MMM,3M,Industrials
57,1522454400,596200000,2018,3,MMM,3M,Industrials
58,1530316800,591400000,2018,6,MMM,3M,Industrials
59,1538265600,585600000,2018,9,MMM,3M,Industrials
60,1546214400,580700000,2018,12,MMM,3M,Industrials
61,1553990400,577500000,2019,3,MMM,3M,Industrials
62,1561852800,577700000,2019,6,MMM,3M,Industrials
63,1569801600,576500000,2019,9,MMM,3M,Industrials
64,1577750400,576300000,2019,12,MMM,3M,Industrials
65,1585612800,576800000,2020,3,MMM,3M,Industrials
66,1593475200,577000000,2020,6,MMM,3M,Industrials
67,1601424000,577800000,2020,9,MMM,3M,Industrials
68,1609372800,578700000,2020,12,MMM,3M,Industrials
69,1617148800,580500000,2021,3,MMM,3M,Industrials
70,1625011200,581000000,2021,6,MMM,3M,Industrials
71,1632960000,579600000,2021,9,MMM,3M,Industrials
72,1640908800,574900000,2021,12,MMM,3M,Industrials
73,1648684800,572300000,2022,3,MMM,3M,Industrials
74,1656547200,571000000,2022,6,MMM,3M,Industrials
75,1668710830,568800000,2022,11,MMM,3M,Industrials
