,d,v,years,months,ticker_symbol,security,sector
0,985996800,144400000,2001,3,NOC,Northrop Grumman,Industrials
1,993859200,166800000,2001,6,NOC,Northrop Grumman,Industrials
2,1001808000,170800000,2001,9,NOC,Northrop Grumman,Industrials
3,1017532800,222560000,2002,3,NOC,Northrop Grumman,Industrials
4,1025395200,225680000,2002,6,NOC,Northrop Grumman,Industrials
5,1033344000,226140000,2002,9,NOC,Northrop Grumman,Industrials
6,1049068800,365400000,2003,3,NOC,Northrop Grumman,Industrials
7,1056931200,365860000,2003,6,NOC,Northrop Grumman,Industrials
8,1064880000,366000000,2003,9,NOC,Northrop Grumman,Industrials
9,1080691200,361320000,2004,3,NOC,Northrop Grumman,Industrials
10,1088553600,359756098,2004,6,NOC,Northrop Grumman,Industrials
11,1096502400,357510000,2004,9,NOC,Northrop Grumman,Industrials
12,1112227200,360700000,2005,3,NOC,Northrop Grumman,Industrials
13,1120089600,358500000,2005,6,NOC,Northrop Grumman,Industrials
14,1128038400,356200000,2005,9,NOC,Northrop Grumman,Industrials
15,1143763200,343300000,2006,3,NOC,Northrop Grumman,Industrials
16,1151625600,344000000,2006,6,NOC,Northrop Grumman,Industrials
17,1159574400,344700000,2006,9,NOC,Northrop Grumman,Industrials
18,1175299200,345300000,2007,3,NOC,Northrop Grumman,Industrials
19,1183161600,343300000,2007,6,NOC,Northrop Grumman,Industrials
20,1191110400,340200000,2007,9,NOC,Northrop Grumman,Industrials
21,1206921600,338800000,2008,3,NOC,Northrop Grumman,Industrials
22,1214784000,339000000,2008,6,NOC,Northrop Grumman,Industrials
23,1222732800,334200000,2008,9,NOC,Northrop Grumman,Industrials
24,1238457600,326900000,2009,3,NOC,Northrop Grumman,Industrials
25,1246320000,322000000,2009,6,NOC,Northrop Grumman,Industrials
26,1254268800,317100000,2009,9,NOC,Northrop Grumman,Industrials
27,1269993600,302500000,2010,3,NOC,Northrop Grumman,Industrials
28,1277856000,299600000,2010,6,NOC,Northrop Grumman,Industrials
29,1285804800,293500000,2010,9,NOC,Northrop Grumman,Industrials
30,1301529600,291800000,2011,3,NOC,Northrop Grumman,Industrials
31,1309392000,282600000,2011,6,NOC,Northrop Grumman,Industrials
32,1317340800,274900000,2011,9,NOC,Northrop Grumman,Industrials
33,1333152000,253100000,2012,3,NOC,Northrop Grumman,Industrials
34,1341014400,250800000,2012,6,NOC,Northrop Grumman,Industrials
35,1348963200,247200000,2012,9,NOC,Northrop Grumman,Industrials
36,1364688000,236400000,2013,3,NOC,Northrop Grumman,Industrials
37,1372550400,234000000,2013,6,NOC,Northrop Grumman,Industrials
38,1380499200,228200000,2013,9,NOC,Northrop Grumman,Industrials
39,1396224000,216300000,2014,3,NOC,Northrop Grumman,Industrials
40,1404086400,212400000,2014,6,NOC,Northrop Grumman,Industrials
41,1412035200,206200000,2014,9,NOC,Northrop Grumman,Industrials
42,1427760000,197700000,2015,3,NOC,Northrop Grumman,Industrials
43,1435622400,191800000,2015,6,NOC,Northrop Grumman,Industrials
44,1443571200,185800000,2015,9,NOC,Northrop Grumman,Industrials
45,1459382400,181300000,2016,3,NOC,Northrop Grumman,Industrials
46,1467244800,180100000,2016,6,NOC,Northrop Grumman,Industrials
47,1475193600,178100000,2016,9,NOC,Northrop Grumman,Industrials
48,1490918400,174800000,2017,3,NOC,Northrop Grumman,Industrials
49,1498780800,174500000,2017,6,NOC,Northrop Grumman,Industrials
50,1506729600,174200000,2017,9,NOC,Northrop Grumman,Industrials
51,1522454400,174300000,2018,3,NOC,Northrop Grumman,Industrials
52,1530316800,174500000,2018,6,NOC,Northrop Grumman,Industrials
53,1538265600,174100000,2018,9,NOC,Northrop Grumman,Industrials
54,1553990400,170000000,2019,3,NOC,Northrop Grumman,Industrials
55,1561852800,169700000,2019,6,NOC,Northrop Grumman,Industrials
56,1569801600,169100000,2019,9,NOC,Northrop Grumman,Industrials
57,1585612800,167700000,2020,3,NOC,Northrop Grumman,Industrials
58,1593475200,166900000,2020,6,NOC,Northrop Grumman,Industrials
59,1601424000,166800000,2020,9,NOC,Northrop Grumman,Industrials
60,1617148800,163100000,2021,3,NOC,Northrop Grumman,Industrials
61,1625011200,161000000,2021,6,NOC,Northrop Grumman,Industrials
62,1632960000,159800000,2021,9,NOC,Northrop Grumman,Industrials
63,1648684800,156000000,2022,3,NOC,Northrop Grumman,Industrials
64,1656547200,155400000,2022,6,NOC,Northrop Grumman,Industrials
65,1668711526,155400000,2022,11,NOC,Northrop Grumman,Industrials
