,d,v,years,months,ticker_symbol,security,sector
0,985996800,94688443,2001,3,ODFL,Old Dominion,Industrials
1,993859200,94688443,2001,6,ODFL,Old Dominion,Industrials
2,1001808000,94688443,2001,9,ODFL,Old Dominion,Industrials
3,1017532800,94691780,2002,3,ODFL,Old Dominion,Industrials
4,1025395200,94732114,2002,6,ODFL,Old Dominion,Industrials
5,1033344000,94742081,2002,9,ODFL,Old Dominion,Industrials
6,1049068800,121681558,2003,3,ODFL,Old Dominion,Industrials
7,1056931200,121817426,2003,6,ODFL,Old Dominion,Industrials
8,1064880000,121905863,2003,9,ODFL,Old Dominion,Industrials
9,1080691200,121950704,2004,3,ODFL,Old Dominion,Industrials
10,1088553600,121973885,2004,6,ODFL,Old Dominion,Industrials
11,1096502400,124539681,2004,9,ODFL,Old Dominion,Industrials
12,1112227200,125779002,2005,3,ODFL,Old Dominion,Industrials
13,1120089600,125779002,2005,6,ODFL,Old Dominion,Industrials
14,1128038400,125790144,2005,9,ODFL,Old Dominion,Industrials
15,1143763200,125835778,2006,3,ODFL,Old Dominion,Industrials
16,1151625600,125835778,2006,6,ODFL,Old Dominion,Industrials
17,1159574400,125835778,2006,9,ODFL,Old Dominion,Industrials
18,1175299200,125835778,2007,3,ODFL,Old Dominion,Industrials
19,1183161600,125835778,2007,6,ODFL,Old Dominion,Industrials
20,1191110400,125835778,2007,9,ODFL,Old Dominion,Industrials
21,1206921600,125835778,2008,3,ODFL,Old Dominion,Industrials
22,1214784000,125835778,2008,6,ODFL,Old Dominion,Industrials
23,1222732800,125836875,2008,9,ODFL,Old Dominion,Industrials
24,1238457600,125835778,2009,3,ODFL,Old Dominion,Industrials
25,1246320000,125836875,2009,6,ODFL,Old Dominion,Industrials
26,1254268800,125836875,2009,9,ODFL,Old Dominion,Industrials
27,1269993600,125836875,2010,3,ODFL,Old Dominion,Industrials
28,1277856000,125836875,2010,6,ODFL,Old Dominion,Industrials
29,1285804800,125835750,2010,9,ODFL,Old Dominion,Industrials
30,1301529600,126576000,2011,3,ODFL,Old Dominion,Industrials
31,1309392000,129246750,2011,6,ODFL,Old Dominion,Industrials
32,1317340800,129246750,2011,9,ODFL,Old Dominion,Industrials
33,1333152000,129246750,2012,3,ODFL,Old Dominion,Industrials
34,1341014400,129246750,2012,6,ODFL,Old Dominion,Industrials
35,1348963200,129247500,2012,9,ODFL,Old Dominion,Industrials
36,1356912000,129247500,2012,12,ODFL,Old Dominion,Industrials
37,1364688000,129247500,2013,3,ODFL,Old Dominion,Industrials
38,1372550400,129247500,2013,6,ODFL,Old Dominion,Industrials
39,1380499200,129247500,2013,9,ODFL,Old Dominion,Industrials
40,1388448000,129247500,2013,12,ODFL,Old Dominion,Industrials
41,1396224000,129247500,2014,3,ODFL,Old Dominion,Industrials
42,1404086400,129247500,2014,6,ODFL,Old Dominion,Industrials
43,1412035200,129247500,2014,9,ODFL,Old Dominion,Industrials
44,1419984000,129231000,2014,12,ODFL,Old Dominion,Industrials
45,1427760000,128956500,2015,3,ODFL,Old Dominion,Industrials
46,1435622400,128590500,2015,6,ODFL,Old Dominion,Industrials
47,1443571200,127870500,2015,9,ODFL,Old Dominion,Industrials
48,1451520000,126877500,2015,12,ODFL,Old Dominion,Industrials
49,1459382400,125974500,2016,3,ODFL,Old Dominion,Industrials
50,1467244800,125031000,2016,6,ODFL,Old Dominion,Industrials
51,1475193600,124113000,2016,9,ODFL,Old Dominion,Industrials
52,1483142400,123571500,2016,12,ODFL,Old Dominion,Industrials
53,1490918400,123523500,2017,3,ODFL,Old Dominion,Industrials
54,1498780800,123478500,2017,6,ODFL,Old Dominion,Industrials
55,1506729600,123429000,2017,9,ODFL,Old Dominion,Industrials
56,1514678400,123423000,2017,12,ODFL,Old Dominion,Industrials
57,1522454400,123379500,2018,3,ODFL,Old Dominion,Industrials
58,1530316800,123102000,2018,6,ODFL,Old Dominion,Industrials
59,1538265600,122827500,2018,9,ODFL,Old Dominion,Industrials
60,1546214400,122244000,2018,12,ODFL,Old Dominion,Industrials
61,1553990400,121549500,2019,3,ODFL,Old Dominion,Industrials
62,1561852800,120783000,2019,6,ODFL,Old Dominion,Industrials
63,1569801600,119820000,2019,9,ODFL,Old Dominion,Industrials
64,1577750400,119532000,2019,12,ODFL,Old Dominion,Industrials
65,1585612800,119050000,2020,3,ODFL,Old Dominion,Industrials
66,1593475200,117610000,2020,6,ODFL,Old Dominion,Industrials
67,1601424000,117188000,2020,9,ODFL,Old Dominion,Industrials
68,1609372800,117113000,2020,12,ODFL,Old Dominion,Industrials
69,1617148800,116498000,2021,3,ODFL,Old Dominion,Industrials
70,1625011200,115821000,2021,6,ODFL,Old Dominion,Industrials
71,1632960000,115411000,2021,9,ODFL,Old Dominion,Industrials
72,1640908800,114896000,2021,12,ODFL,Old Dominion,Industrials
73,1648684800,114419000,2022,3,ODFL,Old Dominion,Industrials
74,1656547200,113079000,2022,6,ODFL,Old Dominion,Industrials
75,1668711542,111569000,2022,11,ODFL,Old Dominion,Industrials
