,d,v,years,months,ticker_symbol,security,sector
0,985996800,386775000,2001,3,PCAR,Paccar,Industrials
1,993859200,386775000,2001,6,PCAR,Paccar,Industrials
2,1001808000,387281250,2001,9,PCAR,Paccar,Industrials
3,1017532800,389306250,2002,3,PCAR,Paccar,Industrials
4,1025395200,390150000,2002,6,PCAR,Paccar,Industrials
5,1033344000,390487500,2002,9,PCAR,Paccar,Industrials
6,1049068800,391837500,2003,3,PCAR,Paccar,Industrials
7,1056931200,393187500,2003,6,PCAR,Paccar,Industrials
8,1064880000,393862500,2003,9,PCAR,Paccar,Industrials
9,1080691200,394875000,2004,3,PCAR,Paccar,Industrials
10,1088553600,393300000,2004,6,PCAR,Paccar,Industrials
11,1096502400,391275000,2004,9,PCAR,Paccar,Industrials
12,1112227200,391500000,2005,3,PCAR,Paccar,Industrials
13,1120089600,389250000,2005,6,PCAR,Paccar,Industrials
14,1128038400,383850000,2005,9,PCAR,Paccar,Industrials
15,1143763200,378450000,2006,3,PCAR,Paccar,Industrials
16,1151625600,375075000,2006,6,PCAR,Paccar,Industrials
17,1159574400,373800000,2006,9,PCAR,Paccar,Industrials
18,1175299200,372900000,2007,3,PCAR,Paccar,Industrials
19,1183161600,373050000,2007,6,PCAR,Paccar,Industrials
20,1191110400,370400000,2007,9,PCAR,Paccar,Industrials
21,1206921600,366500000,2008,3,PCAR,Paccar,Industrials
22,1214784000,364500000,2008,6,PCAR,Paccar,Industrials
23,1222732800,363000000,2008,9,PCAR,Paccar,Industrials
24,1238457600,363100000,2009,3,PCAR,Paccar,Industrials
25,1246320000,363400000,2009,6,PCAR,Paccar,Industrials
26,1254268800,363800000,2009,9,PCAR,Paccar,Industrials
27,1269993600,364600000,2010,3,PCAR,Paccar,Industrials
28,1277856000,364900000,2010,6,PCAR,Paccar,Industrials
29,1285804800,364900000,2010,9,PCAR,Paccar,Industrials
30,1301529600,365800000,2011,3,PCAR,Paccar,Industrials
31,1309392000,365900000,2011,6,PCAR,Paccar,Industrials
32,1317340800,363300000,2011,9,PCAR,Paccar,Industrials
33,1333152000,357000000,2012,3,PCAR,Paccar,Industrials
34,1341014400,356000000,2012,6,PCAR,Paccar,Industrials
35,1348963200,353700000,2012,9,PCAR,Paccar,Industrials
36,1356912000,353600000,2012,12,PCAR,Paccar,Industrials
37,1364688000,354000000,2013,3,PCAR,Paccar,Industrials
38,1372550400,354100000,2013,6,PCAR,Paccar,Industrials
39,1380499200,354400000,2013,9,PCAR,Paccar,Industrials
40,1388448000,354600000,2013,12,PCAR,Paccar,Industrials
41,1396224000,354900000,2014,3,PCAR,Paccar,Industrials
42,1404086400,355100000,2014,6,PCAR,Paccar,Industrials
43,1412035200,355200000,2014,9,PCAR,Paccar,Industrials
44,1419984000,354700000,2014,12,PCAR,Paccar,Industrials
45,1427760000,355100000,2015,3,PCAR,Paccar,Industrials
46,1435622400,355300000,2015,6,PCAR,Paccar,Industrials
47,1443571200,355000000,2015,9,PCAR,Paccar,Industrials
48,1451520000,353200000,2015,12,PCAR,Paccar,Industrials
49,1459382400,351300000,2016,3,PCAR,Paccar,Industrials
50,1467244800,350900000,2016,6,PCAR,Paccar,Industrials
51,1475193600,351000000,2016,9,PCAR,Paccar,Industrials
52,1483142400,351100000,2016,12,PCAR,Paccar,Industrials
53,1490918400,351600000,2017,3,PCAR,Paccar,Industrials
54,1498780800,351800000,2017,6,PCAR,Paccar,Industrials
55,1506729600,351900000,2017,9,PCAR,Paccar,Industrials
56,1514678400,352200000,2017,12,PCAR,Paccar,Industrials
57,1522454400,352500000,2018,3,PCAR,Paccar,Industrials
58,1530316800,351700000,2018,6,PCAR,Paccar,Industrials
59,1538265600,350700000,2018,9,PCAR,Paccar,Industrials
60,1546214400,349100000,2018,12,PCAR,Paccar,Industrials
61,1553990400,347200000,2019,3,PCAR,Paccar,Industrials
62,1561852800,347000000,2019,6,PCAR,Paccar,Industrials
63,1569801600,346600000,2019,9,PCAR,Paccar,Industrials
64,1577750400,346700000,2019,12,PCAR,Paccar,Industrials
65,1585612800,346900000,2020,3,PCAR,Paccar,Industrials
66,1593475200,346400000,2020,6,PCAR,Paccar,Industrials
67,1601424000,346800000,2020,9,PCAR,Paccar,Industrials
68,1609372800,347200000,2020,12,PCAR,Paccar,Industrials
69,1617148800,347600000,2021,3,PCAR,Paccar,Industrials
70,1625011200,347800000,2021,6,PCAR,Paccar,Industrials
71,1632960000,347800000,2021,9,PCAR,Paccar,Industrials
72,1640908800,347900000,2021,12,PCAR,Paccar,Industrials
73,1648684800,348300000,2022,3,PCAR,Paccar,Industrials
74,1656547200,348400000,2022,6,PCAR,Paccar,Industrials
75,1668711574,348400000,2022,11,PCAR,Paccar,Industrials
