,d,v,years,months,ticker_symbol,security,sector
0,985996800,171572727,2001,3,PH,Parker Hannifin,Industrials
1,1001808000,171455660,2001,9,PH,Parker Hannifin,Industrials
2,1009756800,174372000,2001,12,PH,Parker Hannifin,Industrials
3,1017532800,174523333,2002,3,PH,Parker Hannifin,Industrials
4,1033344000,175889423,2002,9,PH,Parker Hannifin,Industrials
5,1041292800,170690909,2002,12,PH,Parker Hannifin,Industrials
6,1049068800,173796429,2003,3,PH,Parker Hannifin,Industrials
7,1064880000,177159375,2003,9,PH,Parker Hannifin,Industrials
8,1072828800,177992553,2003,12,PH,Parker Hannifin,Industrials
9,1080691200,177771429,2004,3,PH,Parker Hannifin,Industrials
10,1096502400,177834375,2004,9,PH,Parker Hannifin,Industrials
11,1104451200,178257292,2004,12,PH,Parker Hannifin,Industrials
12,1112227200,178679487,2005,3,PH,Parker Hannifin,Industrials
13,1128038400,178688276,2005,9,PH,Parker Hannifin,Industrials
14,1135987200,177555963,2005,12,PH,Parker Hannifin,Industrials
15,1143763200,178714430,2006,3,PH,Parker Hannifin,Industrials
16,1159574400,178461017,2006,9,PH,Parker Hannifin,Industrials
17,1167523200,174367771,2006,12,PH,Parker Hannifin,Industrials
18,1175299200,173460497,2007,3,PH,Parker Hannifin,Industrials
19,1191110400,252333709,2007,9,PH,Parker Hannifin,Industrials
20,1199059200,168145238,2007,12,PH,Parker Hannifin,Industrials
21,1206921600,168053289,2008,3,PH,Parker Hannifin,Industrials
22,1222732800,164415418,2008,9,PH,Parker Hannifin,Industrials
23,1230681600,160839120,2008,12,PH,Parker Hannifin,Industrials
24,1238457600,160529032,2009,3,PH,Parker Hannifin,Industrials
25,1254268800,160629291,2009,9,PH,Parker Hannifin,Industrials
26,1262217600,160767790,2009,12,PH,Parker Hannifin,Industrials
27,1269993600,160931123,2010,3,PH,Parker Hannifin,Industrials
28,1285804800,161272536,2010,9,PH,Parker Hannifin,Industrials
29,1293753600,161701219,2010,12,PH,Parker Hannifin,Industrials
30,1301529600,162160426,2011,3,PH,Parker Hannifin,Industrials
31,1317340800,152439026,2011,9,PH,Parker Hannifin,Industrials
32,1325289600,150960202,2011,12,PH,Parker Hannifin,Industrials
33,1333152000,151017910,2012,3,PH,Parker Hannifin,Industrials
34,1341014400,150470993,2012,6,PH,Parker Hannifin,Industrials
35,1348963200,149285849,2012,9,PH,Parker Hannifin,Industrials
36,1356912000,149001273,2012,12,PH,Parker Hannifin,Industrials
37,1364688000,149287628,2013,3,PH,Parker Hannifin,Industrials
38,1372550400,149298277,2013,6,PH,Parker Hannifin,Industrials
39,1380499200,149237306,2013,9,PH,Parker Hannifin,Industrials
40,1388448000,149153599,2013,12,PH,Parker Hannifin,Industrials
41,1396224000,149039529,2014,3,PH,Parker Hannifin,Industrials
42,1404086400,148967357,2014,6,PH,Parker Hannifin,Industrials
43,1412035200,148738828,2014,9,PH,Parker Hannifin,Industrials
44,1419984000,145493247,2014,12,PH,Parker Hannifin,Industrials
45,1427760000,138794789,2015,3,PH,Parker Hannifin,Industrials
46,1435622400,138674443,2015,6,PH,Parker Hannifin,Industrials
47,1443571200,136844504,2015,9,PH,Parker Hannifin,Industrials
48,1451520000,135373356,2015,12,PH,Parker Hannifin,Industrials
49,1459382400,134809610,2016,3,PH,Parker Hannifin,Industrials
50,1467244800,134385814,2016,6,PH,Parker Hannifin,Industrials
51,1475193600,133679378,2016,9,PH,Parker Hannifin,Industrials
52,1483142400,133320109,2016,12,PH,Parker Hannifin,Industrials
53,1490918400,133232378,2017,3,PH,Parker Hannifin,Industrials
54,1498780800,133278324,2017,6,PH,Parker Hannifin,Industrials
55,1506729600,133176964,2017,9,PH,Parker Hannifin,Industrials
56,1514678400,133112568,2017,12,PH,Parker Hannifin,Industrials
57,1522454400,133032431,2018,3,PH,Parker Hannifin,Industrials
58,1530316800,132696489,2018,6,PH,Parker Hannifin,Industrials
59,1538265600,132361654,2018,9,PH,Parker Hannifin,Industrials
60,1546214400,130361273,2018,12,PH,Parker Hannifin,Industrials
61,1553990400,128706137,2019,3,PH,Parker Hannifin,Industrials
62,1561852800,128561494,2019,6,PH,Parker Hannifin,Industrials
63,1569801600,128463992,2019,9,PH,Parker Hannifin,Industrials
64,1577750400,128396933,2019,12,PH,Parker Hannifin,Industrials
65,1585612800,128289720,2020,3,PH,Parker Hannifin,Industrials
66,1593475200,128523334,2020,6,PH,Parker Hannifin,Industrials
67,1601424000,128707745,2020,9,PH,Parker Hannifin,Industrials
68,1609372800,129013781,2020,12,PH,Parker Hannifin,Industrials
69,1617148800,129085563,2021,3,PH,Parker Hannifin,Industrials
70,1625011200,129192426,2021,6,PH,Parker Hannifin,Industrials
71,1632960000,128726721,2021,9,PH,Parker Hannifin,Industrials
72,1640908800,128493725,2021,12,PH,Parker Hannifin,Industrials
73,1648684800,128426675,2022,3,PH,Parker Hannifin,Industrials
74,1656547200,128510429,2022,6,PH,Parker Hannifin,Industrials
75,1668711588,128510429,2022,11,PH,Parker Hannifin,Industrials
