,d,v,years,months,ticker_symbol,security,sector
0,985996800,49006000,2001,3,PNR,Pentair,Industrials
1,993859200,49032000,2001,6,PNR,Pentair,Industrials
2,1001808000,49082000,2001,9,PNR,Pentair,Industrials
3,1017532800,98346000,2002,3,PNR,Pentair,Industrials
4,1025395200,49228000,2002,6,PNR,Pentair,Industrials
5,1033344000,49235000,2002,9,PNR,Pentair,Industrials
6,1049068800,98696000,2003,3,PNR,Pentair,Industrials
7,1056931200,49381000,2003,6,PNR,Pentair,Industrials
8,1064880000,49484000,2003,9,PNR,Pentair,Industrials
9,1080691200,98428000,2004,3,PNR,Pentair,Industrials
10,1088553600,99320000,2004,6,PNR,Pentair,Industrials
11,1096502400,99502000,2004,9,PNR,Pentair,Industrials
12,1112227200,100363000,2005,3,PNR,Pentair,Industrials
13,1120089600,100769000,2005,6,PNR,Pentair,Industrials
14,1128038400,100922000,2005,9,PNR,Pentair,Industrials
15,1143763200,100493000,2006,3,PNR,Pentair,Industrials
16,1151625600,100509000,2006,6,PNR,Pentair,Industrials
17,1159574400,99419000,2006,9,PNR,Pentair,Industrials
18,1175299200,98966000,2007,3,PNR,Pentair,Industrials
19,1183161600,98874000,2007,6,PNR,Pentair,Industrials
20,1191110400,98747000,2007,9,PNR,Pentair,Industrials
21,1206921600,98280000,2008,3,PNR,Pentair,Industrials
22,1214784000,98062000,2008,6,PNR,Pentair,Industrials
23,1222732800,97827000,2008,9,PNR,Pentair,Industrials
24,1238457600,97375000,2009,3,PNR,Pentair,Industrials
25,1246320000,97507000,2009,6,PNR,Pentair,Industrials
26,1254268800,97496000,2009,9,PNR,Pentair,Industrials
27,1269993600,98030000,2010,3,PNR,Pentair,Industrials
28,1277856000,98208000,2010,6,PNR,Pentair,Industrials
29,1285804800,98298000,2010,9,PNR,Pentair,Industrials
30,1301529600,98098000,2011,3,PNR,Pentair,Industrials
31,1309392000,98333000,2011,6,PNR,Pentair,Industrials
32,1317340800,98566023,2011,9,PNR,Pentair,Industrials
33,1333152000,99048375,2012,3,PNR,Pentair,Industrials
34,1341014400,99047000,2012,6,PNR,Pentair,Industrials
35,1348963200,100445000,2012,9,PNR,Pentair,Industrials
36,1356912000,208402000,2012,12,PNR,Pentair,Industrials
37,1364688000,204800000,2013,3,PNR,Pentair,Industrials
38,1372550400,202100000,2013,6,PNR,Pentair,Industrials
39,1380499200,199300000,2013,9,PNR,Pentair,Industrials
40,1388448000,198100000,2013,12,PNR,Pentair,Industrials
41,1396224000,196200000,2014,3,PNR,Pentair,Industrials
42,1404086400,193100000,2014,6,PNR,Pentair,Industrials
43,1412035200,190200000,2014,9,PNR,Pentair,Industrials
44,1419984000,183100000,2014,12,PNR,Pentair,Industrials
45,1427760000,180100000,2015,3,PNR,Pentair,Industrials
46,1435622400,179800000,2015,6,PNR,Pentair,Industrials
47,1443571200,180200000,2015,9,PNR,Pentair,Industrials
48,1451520000,180500000,2015,12,PNR,Pentair,Industrials
49,1459382400,180700000,2016,3,PNR,Pentair,Industrials
50,1467244800,180900000,2016,6,PNR,Pentair,Industrials
51,1475193600,181400000,2016,9,PNR,Pentair,Industrials
52,1483142400,181800000,2016,12,PNR,Pentair,Industrials
53,1490918400,182000000,2017,3,PNR,Pentair,Industrials
54,1498780800,181700000,2017,6,PNR,Pentair,Industrials
55,1506729600,181500000,2017,9,PNR,Pentair,Industrials
56,1514678400,181400000,2017,12,PNR,Pentair,Industrials
57,1522454400,179200000,2018,3,PNR,Pentair,Industrials
58,1530316800,176900000,2018,6,PNR,Pentair,Industrials
59,1538265600,174300000,2018,9,PNR,Pentair,Industrials
60,1546214400,172900000,2018,12,PNR,Pentair,Industrials
61,1553990400,171600000,2019,3,PNR,Pentair,Industrials
62,1561852800,169800000,2019,6,PNR,Pentair,Industrials
63,1569801600,168100000,2019,9,PNR,Pentair,Industrials
64,1577750400,168200000,2019,12,PNR,Pentair,Industrials
65,1585612800,167800000,2020,3,PNR,Pentair,Industrials
66,1593475200,165800000,2020,6,PNR,Pentair,Industrials
67,1601424000,166100000,2020,9,PNR,Pentair,Industrials
68,1609372800,166200000,2020,12,PNR,Pentair,Industrials
69,1617148800,166200000,2021,3,PNR,Pentair,Industrials
70,1625011200,166000000,2021,6,PNR,Pentair,Industrials
71,1632960000,165700000,2021,9,PNR,Pentair,Industrials
72,1640908800,165300000,2021,12,PNR,Pentair,Industrials
73,1648684800,165300000,2022,3,PNR,Pentair,Industrials
74,1656547200,164800000,2022,6,PNR,Pentair,Industrials
75,1668711605,164500000,2022,11,PNR,Pentair,Industrials
