,d,v,years,months,ticker_symbol,security,sector
0,985996800,52428811,2001,3,UAL,United Airlines Holdings,Industrials
1,993859200,53129549,2001,6,UAL,United Airlines Holdings,Industrials
2,1001808000,54083061,2001,9,UAL,United Airlines Holdings,Industrials
3,1017532800,55314534,2002,3,UAL,United Airlines Holdings,Industrials
4,1025395200,56085526,2002,6,UAL,United Airlines Holdings,Industrials
5,1033344000,57096981,2002,9,UAL,United Airlines Holdings,Industrials
6,1049068800,94844633,2003,3,UAL,United Airlines Holdings,Industrials
7,1056931200,99520767,2003,6,UAL,United Airlines Holdings,Industrials
8,1064880000,105763689,2003,9,UAL,United Airlines Holdings,Industrials
9,1080691200,110071942,2004,3,UAL,United Airlines Holdings,Industrials
10,1088553600,109777778,2004,6,UAL,United Airlines Holdings,Industrials
11,1096502400,115126050,2004,9,UAL,United Airlines Holdings,Industrials
12,1112227200,115926327,2005,3,UAL,United Airlines Holdings,Industrials
13,1120089600,115977291,2005,6,UAL,United Airlines Holdings,Industrials
14,1128038400,116120577,2005,9,UAL,United Airlines Holdings,Industrials
15,1143763200,116243707,2006,3,UAL,United Airlines Holdings,Industrials
16,1151625600,117821782,2006,6,UAL,United Airlines Holdings,Industrials
17,1159574400,115600000,2006,9,UAL,United Airlines Holdings,Industrials
18,1175299200,115151515,2007,3,UAL,United Airlines Holdings,Industrials
19,1183161600,118614719,2007,6,UAL,United Airlines Holdings,Industrials
20,1191110400,117500000,2007,9,UAL,United Airlines Holdings,Industrials
21,1206921600,121100000,2008,3,UAL,United Airlines Holdings,Industrials
22,1214784000,127100000,2008,6,UAL,United Airlines Holdings,Industrials
23,1222732800,127300000,2008,9,UAL,United Airlines Holdings,Industrials
24,1238457600,144700000,2009,3,UAL,United Airlines Holdings,Industrials
25,1246320000,145100000,2009,6,UAL,United Airlines Holdings,Industrials
26,1254268800,145600000,2009,9,UAL,United Airlines Holdings,Industrials
27,1269993600,167400000,2010,3,UAL,United Airlines Holdings,Industrials
28,1277856000,168000000,2010,6,UAL,United Airlines Holdings,Industrials
29,1285804800,168200000,2010,9,UAL,United Airlines Holdings,Industrials
30,1301529600,328000000,2011,3,UAL,United Airlines Holdings,Industrials
31,1309392000,330000000,2011,6,UAL,United Airlines Holdings,Industrials
32,1317340800,330000000,2011,9,UAL,United Airlines Holdings,Industrials
33,1333152000,330000000,2012,3,UAL,United Airlines Holdings,Industrials
34,1341014400,331000000,2012,6,UAL,United Airlines Holdings,Industrials
35,1348963200,331000000,2012,9,UAL,United Airlines Holdings,Industrials
36,1356912000,331000000,2012,12,UAL,United Airlines Holdings,Industrials
37,1364688000,332000000,2013,3,UAL,United Airlines Holdings,Industrials
38,1372550400,341000000,2013,6,UAL,United Airlines Holdings,Industrials
39,1380499200,357000000,2013,9,UAL,United Airlines Holdings,Industrials
40,1388448000,361000000,2013,12,UAL,United Airlines Holdings,Industrials
41,1396224000,368000000,2014,3,UAL,United Airlines Holdings,Industrials
42,1404086400,373000000,2014,6,UAL,United Airlines Holdings,Industrials
43,1412035200,370000000,2014,9,UAL,United Airlines Holdings,Industrials
44,1419984000,372000000,2014,12,UAL,United Airlines Holdings,Industrials
45,1427760000,382000000,2015,3,UAL,United Airlines Holdings,Industrials
46,1435622400,380000000,2015,6,UAL,United Airlines Holdings,Industrials
47,1443571200,375000000,2015,9,UAL,United Airlines Holdings,Industrials
48,1451520000,367000000,2015,12,UAL,United Airlines Holdings,Industrials
49,1459382400,354000000,2016,3,UAL,United Airlines Holdings,Industrials
50,1467244800,331000000,2016,6,UAL,United Airlines Holdings,Industrials
51,1475193600,320000000,2016,9,UAL,United Airlines Holdings,Industrials
52,1483142400,314612744,2016,12,UAL,United Airlines Holdings,Industrials
53,1490918400,311130231,2017,3,UAL,United Airlines Holdings,Industrials
54,1498780800,305010180,2017,6,UAL,United Airlines Holdings,Industrials
55,1506729600,296252431,2017,9,UAL,United Airlines Holdings,Industrials
56,1514678400,286973195,2017,12,UAL,United Airlines Holdings,Industrials
57,1522454400,279410451,2018,3,UAL,United Airlines Holdings,Industrials
58,1530316800,273017840,2018,6,UAL,United Airlines Holdings,Industrials
59,1538265600,272464412,2018,9,UAL,United Airlines Holdings,Industrials
60,1546214400,269914769,2018,12,UAL,United Airlines Holdings,Industrials
61,1553990400,264271125,2019,3,UAL,United Airlines Holdings,Industrials
62,1561852800,257729166,2019,6,UAL,United Airlines Holdings,Industrials
63,1569801600,253624406,2019,9,UAL,United Airlines Holdings,Industrials
64,1577750400,251216381,2019,12,UAL,United Airlines Holdings,Industrials
65,1585612800,247256855,2020,3,UAL,United Airlines Holdings,Industrials
66,1593475200,290982216,2020,6,UAL,United Airlines Holdings,Industrials
67,1601424000,290990454,2020,9,UAL,United Airlines Holdings,Industrials
68,1609372800,311845232,2020,12,UAL,United Airlines Holdings,Industrials
69,1617148800,323577438,2021,3,UAL,United Airlines Holdings,Industrials
70,1625011200,323610765,2021,6,UAL,United Airlines Holdings,Industrials
71,1632960000,323806610,2021,9,UAL,United Airlines Holdings,Industrials
72,1640908800,323810825,2021,12,UAL,United Airlines Holdings,Industrials
73,1648684800,326728861,2022,3,UAL,United Airlines Holdings,Industrials
74,1656547200,326744101,2022,6,UAL,United Airlines Holdings,Industrials
75,1668711832,326800000,2022,11,UAL,United Airlines Holdings,Industrials
