,d,v,years,months,ticker_symbol,security,sector
0,985996800,987600000,2001,3,UNP,Union Pacific Corporation,Industrials
1,993859200,990800000,2001,6,UNP,Union Pacific Corporation,Industrials
2,1001808000,991600000,2001,9,UNP,Union Pacific Corporation,Industrials
3,1017532800,1004000000,2002,3,UNP,Union Pacific Corporation,Industrials
4,1025395200,1007200000,2002,6,UNP,Union Pacific Corporation,Industrials
5,1033344000,1010000000,2002,9,UNP,Union Pacific Corporation,Industrials
6,1049068800,1013600000,2003,3,UNP,Union Pacific Corporation,Industrials
7,1056931200,1015600000,2003,6,UNP,Union Pacific Corporation,Industrials
8,1064880000,1017200000,2003,9,UNP,Union Pacific Corporation,Industrials
9,1080691200,1034800000,2004,3,UNP,Union Pacific Corporation,Industrials
10,1088553600,1035600000,2004,6,UNP,Union Pacific Corporation,Industrials
11,1096502400,1036000000,2004,9,UNP,Union Pacific Corporation,Industrials
12,1112227200,1045600000,2005,3,UNP,Union Pacific Corporation,Industrials
13,1120089600,1051200000,2005,6,UNP,Union Pacific Corporation,Industrials
14,1128038400,1056000000,2005,9,UNP,Union Pacific Corporation,Industrials
15,1143763200,1073200000,2006,3,UNP,Union Pacific Corporation,Industrials
16,1151625600,1077200000,2006,6,UNP,Union Pacific Corporation,Industrials
17,1159574400,1079200000,2006,9,UNP,Union Pacific Corporation,Industrials
18,1175299200,1082400000,2007,3,UNP,Union Pacific Corporation,Industrials
19,1183161600,1072800000,2007,6,UNP,Union Pacific Corporation,Industrials
20,1191110400,1052800000,2007,9,UNP,Union Pacific Corporation,Industrials
21,1206921600,1036800000,2008,3,UNP,Union Pacific Corporation,Industrials
22,1214784000,1028600000,2008,6,UNP,Union Pacific Corporation,Industrials
23,1222732800,1013200000,2008,9,UNP,Union Pacific Corporation,Industrials
24,1238457600,1005400000,2009,3,UNP,Union Pacific Corporation,Industrials
25,1246320000,1005800000,2009,6,UNP,Union Pacific Corporation,Industrials
26,1254268800,1006200000,2009,9,UNP,Union Pacific Corporation,Industrials
27,1269993600,1009000000,2010,3,UNP,Union Pacific Corporation,Industrials
28,1277856000,1003600000,2010,6,UNP,Union Pacific Corporation,Industrials
29,1285804800,986000000,2010,9,UNP,Union Pacific Corporation,Industrials
30,1301529600,979200000,2011,3,UNP,Union Pacific Corporation,Industrials
31,1309392000,976800000,2011,6,UNP,Union Pacific Corporation,Industrials
32,1317340800,968400000,2011,9,UNP,Union Pacific Corporation,Industrials
33,1333152000,955600000,2012,3,UNP,Union Pacific Corporation,Industrials
34,1341014400,947600000,2012,6,UNP,Union Pacific Corporation,Industrials
35,1348963200,944000000,2012,9,UNP,Union Pacific Corporation,Industrials
36,1356912000,937600000,2012,12,UNP,Union Pacific Corporation,Industrials
37,1364688000,935600000,2013,3,UNP,Union Pacific Corporation,Industrials
38,1372550400,930600000,2013,6,UNP,Union Pacific Corporation,Industrials
39,1380499200,923400000,2013,9,UNP,Union Pacific Corporation,Industrials
40,1388448000,916200000,2013,12,UNP,Union Pacific Corporation,Industrials
41,1396224000,908200000,2014,3,UNP,Union Pacific Corporation,Industrials
42,1404086400,901500000,2014,6,UNP,Union Pacific Corporation,Industrials
43,1412035200,893200000,2014,9,UNP,Union Pacific Corporation,Industrials
44,1419984000,885700000,2014,12,UNP,Union Pacific Corporation,Industrials
45,1427760000,879300000,2015,3,UNP,Union Pacific Corporation,Industrials
46,1435622400,872200000,2015,6,UNP,Union Pacific Corporation,Industrials
47,1443571200,862900000,2015,9,UNP,Union Pacific Corporation,Industrials
48,1451520000,850600000,2015,12,UNP,Union Pacific Corporation,Industrials
49,1459382400,844000000,2016,3,UNP,Union Pacific Corporation,Industrials
50,1467244800,837400000,2016,6,UNP,Union Pacific Corporation,Industrials
51,1475193600,829000000,2016,9,UNP,Union Pacific Corporation,Industrials
52,1483142400,819200000,2016,12,UNP,Union Pacific Corporation,Industrials
53,1490918400,811500000,2017,3,UNP,Union Pacific Corporation,Industrials
54,1498780800,804100000,2017,6,UNP,Union Pacific Corporation,Industrials
55,1506729600,794500000,2017,9,UNP,Union Pacific Corporation,Industrials
56,1514678400,783600000,2017,12,UNP,Union Pacific Corporation,Industrials
57,1522454400,776400000,2018,3,UNP,Union Pacific Corporation,Industrials
58,1530316800,760500000,2018,6,UNP,Union Pacific Corporation,Industrials
59,1538265600,737400000,2018,9,UNP,Union Pacific Corporation,Industrials
60,1546214400,729400000,2018,12,UNP,Union Pacific Corporation,Industrials
61,1553990400,716800000,2019,3,UNP,Union Pacific Corporation,Industrials
62,1561852800,705500000,2019,6,UNP,Union Pacific Corporation,Industrials
63,1569801600,699300000,2019,9,UNP,Union Pacific Corporation,Industrials
64,1577750400,692200000,2019,12,UNP,Union Pacific Corporation,Industrials
65,1585612800,684300000,2020,3,UNP,Union Pacific Corporation,Industrials
66,1593475200,677700000,2020,6,UNP,Union Pacific Corporation,Industrials
67,1601424000,675000000,2020,9,UNP,Union Pacific Corporation,Industrials
68,1609372800,672200000,2020,12,UNP,Union Pacific Corporation,Industrials
69,1617148800,667600000,2021,3,UNP,Union Pacific Corporation,Industrials
70,1625011200,658500000,2021,6,UNP,Union Pacific Corporation,Industrials
71,1632960000,648700000,2021,9,UNP,Union Pacific Corporation,Industrials
72,1640908800,640400000,2021,12,UNP,Union Pacific Corporation,Industrials
73,1648684800,632200000,2022,3,UNP,Union Pacific Corporation,Industrials
74,1656547200,625600000,2022,6,UNP,Union Pacific Corporation,Industrials
75,1668711815,620400000,2022,11,UNP,Union Pacific Corporation,Industrials
