,d,v,years,months,ticker_symbol,security,sector
0,985996800,1134693878,2001,3,UPS,United Parcel Service,Industrials
1,993859200,1125000000,2001,6,UPS,United Parcel Service,Industrials
2,1001808000,1136000000,2001,9,UPS,United Parcel Service,Industrials
3,1017532800,1126000000,2002,3,UPS,United Parcel Service,Industrials
4,1025395200,1110909091,2002,6,UPS,United Parcel Service,Industrials
5,1033344000,1111538462,2002,9,UPS,United Parcel Service,Industrials
6,1049068800,1131481481,2003,3,UPS,United Parcel Service,Industrials
7,1056931200,1134426230,2003,6,UPS,United Parcel Service,Industrials
8,1064880000,1119696970,2003,9,UPS,United Parcel Service,Industrials
9,1080691200,1132835821,2004,3,UPS,United Parcel Service,Industrials
10,1088553600,1120547945,2004,6,UPS,United Parcel Service,Industrials
11,1096502400,1126582278,2004,9,UPS,United Parcel Service,Industrials
12,1112227200,1130769231,2005,3,UPS,United Parcel Service,Industrials
13,1120089600,1120454545,2005,6,UPS,United Parcel Service,Industrials
14,1128038400,1108139535,2005,9,UPS,United Parcel Service,Industrials
15,1143763200,1095505618,2006,3,UPS,United Parcel Service,Industrials
16,1151625600,1082653061,2006,6,UPS,United Parcel Service,Industrials
17,1159574400,1081250000,2006,9,UPS,United Parcel Service,Industrials
18,1175299200,1067088608,2007,3,UPS,United Parcel Service,Industrials
19,1183161600,1061538462,2007,6,UPS,United Parcel Service,Industrials
20,1191110400,1054901961,2007,9,UPS,United Parcel Service,Industrials
21,1206921600,1041379310,2008,3,UPS,United Parcel Service,Industrials
22,1214784000,1019000000,2008,6,UPS,United Parcel Service,Industrials
23,1222732800,1006000000,2008,9,UPS,United Parcel Service,Industrials
24,1238457600,997000000,2009,3,UPS,United Parcel Service,Industrials
25,1246320000,998000000,2009,6,UPS,United Parcel Service,Industrials
26,1254268800,997000000,2009,9,UPS,United Parcel Service,Industrials
27,1269993600,995000000,2010,3,UPS,United Parcel Service,Industrials
28,1277856000,994000000,2010,6,UPS,United Parcel Service,Industrials
29,1285804800,994000000,2010,9,UPS,United Parcel Service,Industrials
30,1301529600,992000000,2011,3,UPS,United Parcel Service,Industrials
31,1309392000,988000000,2011,6,UPS,United Parcel Service,Industrials
32,1317340800,977000000,2011,9,UPS,United Parcel Service,Industrials
33,1333152000,962000000,2012,3,UPS,United Parcel Service,Industrials
34,1341014400,962000000,2012,6,UPS,United Parcel Service,Industrials
35,1348963200,961000000,2012,9,UPS,United Parcel Service,Industrials
36,1356912000,956000000,2012,12,UPS,United Parcel Service,Industrials
37,1364688000,952000000,2013,3,UPS,United Parcel Service,Industrials
38,1372550400,943000000,2013,6,UPS,United Parcel Service,Industrials
39,1380499200,935000000,2013,9,UPS,United Parcel Service,Industrials
40,1388448000,928000000,2013,12,UPS,United Parcel Service,Industrials
41,1396224000,923000000,2014,3,UPS,United Parcel Service,Industrials
42,1404086400,918000000,2014,6,UPS,United Parcel Service,Industrials
43,1412035200,913000000,2014,9,UPS,United Parcel Service,Industrials
44,1419984000,908000000,2014,12,UPS,United Parcel Service,Industrials
45,1427760000,906000000,2015,3,UPS,United Parcel Service,Industrials
46,1435622400,901000000,2015,6,UPS,United Parcel Service,Industrials
47,1443571200,895000000,2015,9,UPS,United Parcel Service,Industrials
48,1451520000,893000000,2015,12,UPS,United Parcel Service,Industrials
49,1459382400,889000000,2016,3,UPS,United Parcel Service,Industrials
50,1467244800,886000000,2016,6,UPS,United Parcel Service,Industrials
51,1475193600,880000000,2016,9,UPS,United Parcel Service,Industrials
52,1483142400,876000000,2016,12,UPS,United Parcel Service,Industrials
53,1490918400,874000000,2017,3,UPS,United Parcel Service,Industrials
54,1498780800,872000000,2017,6,UPS,United Parcel Service,Industrials
55,1506729600,869000000,2017,9,UPS,United Parcel Service,Industrials
56,1514678400,867000000,2017,12,UPS,United Parcel Service,Industrials
57,1522454400,866000000,2018,3,UPS,United Parcel Service,Industrials
58,1530316800,866000000,2018,6,UPS,United Parcel Service,Industrials
59,1538265600,865000000,2018,9,UPS,United Parcel Service,Industrials
60,1546214400,865000000,2018,12,UPS,United Parcel Service,Industrials
61,1553990400,866000000,2019,3,UPS,United Parcel Service,Industrials
62,1561852800,865000000,2019,6,UPS,United Parcel Service,Industrials
63,1569801600,864000000,2019,9,UPS,United Parcel Service,Industrials
64,1577750400,863000000,2019,12,UPS,United Parcel Service,Industrials
65,1585612800,864000000,2020,3,UPS,United Parcel Service,Industrials
66,1593475200,866000000,2020,6,UPS,United Parcel Service,Industrials
67,1601424000,868000000,2020,9,UPS,United Parcel Service,Industrials
68,1609372800,871000000,2020,12,UPS,United Parcel Service,Industrials
69,1617148800,872000000,2021,3,UPS,United Parcel Service,Industrials
70,1625011200,875000000,2021,6,UPS,United Parcel Service,Industrials
71,1632960000,875000000,2021,9,UPS,United Parcel Service,Industrials
72,1640908800,875000000,2021,12,UPS,United Parcel Service,Industrials
73,1648684800,874000000,2022,3,UPS,United Parcel Service,Industrials
74,1656547200,874000000,2022,6,UPS,United Parcel Service,Industrials
75,1668711848,870000000,2022,11,UPS,United Parcel Service,Industrials
