,d,v,years,months,ticker_symbol,security,sector
0,1206921600,172796400,2008,3,VRSK,Verisk,Industrials
1,1222732800,182267667,2008,9,VRSK,Verisk,Industrials
2,1238457600,172796400,2009,3,VRSK,Verisk,Industrials
3,1246320000,172887331,2009,6,VRSK,Verisk,Industrials
4,1254268800,172796400,2009,9,VRSK,Verisk,Industrials
5,1269993600,180053550,2010,3,VRSK,Verisk,Industrials
6,1277856000,180492106,2010,6,VRSK,Verisk,Industrials
7,1285804800,178687236,2010,9,VRSK,Verisk,Industrials
8,1301529600,169030227,2011,3,VRSK,Verisk,Industrials
9,1309392000,166960806,2011,6,VRSK,Verisk,Industrials
10,1317340800,164195325,2011,9,VRSK,Verisk,Industrials
11,1333152000,164836992,2012,3,VRSK,Verisk,Industrials
12,1341014400,165946009,2012,6,VRSK,Verisk,Industrials
13,1348963200,165978080,2012,9,VRSK,Verisk,Industrials
14,1364688000,168078589,2013,3,VRSK,Verisk,Industrials
15,1372550400,168147069,2013,6,VRSK,Verisk,Industrials
16,1380499200,168044100,2013,9,VRSK,Verisk,Industrials
17,1396224000,166981982,2014,3,VRSK,Verisk,Industrials
18,1404086400,166343630,2014,6,VRSK,Verisk,Industrials
19,1412035200,166187540,2014,9,VRSK,Verisk,Industrials
20,1427760000,158087919,2015,3,VRSK,Verisk,Industrials
21,1435622400,164141804,2015,6,VRSK,Verisk,Industrials
22,1443571200,168739437,2015,9,VRSK,Verisk,Industrials
23,1451520000,169392359,2015,12,VRSK,Verisk,Industrials
24,1459382400,168453750,2016,3,VRSK,Verisk,Industrials
25,1467244800,168296318,2016,6,VRSK,Verisk,Industrials
26,1475193600,168874129,2016,9,VRSK,Verisk,Industrials
27,1483142400,167369020,2016,12,VRSK,Verisk,Industrials
28,1490918400,166442991,2017,3,VRSK,Verisk,Industrials
29,1498780800,164922237,2017,6,VRSK,Verisk,Industrials
30,1506729600,164577575,2017,9,VRSK,Verisk,Industrials
31,1514678400,164730093,2017,12,VRSK,Verisk,Industrials
32,1522454400,165043047,2018,3,VRSK,Verisk,Industrials
33,1530316800,165015642,2018,6,VRSK,Verisk,Industrials
34,1538265600,164829250,2018,9,VRSK,Verisk,Industrials
35,1546214400,164344502,2018,12,VRSK,Verisk,Industrials
36,1553990400,163528343,2019,3,VRSK,Verisk,Industrials
37,1561852800,163743835,2019,6,VRSK,Verisk,Industrials
38,1569801600,163580563,2019,9,VRSK,Verisk,Industrials
39,1577750400,163289013,2019,12,VRSK,Verisk,Industrials
40,1585612800,162894306,2020,3,VRSK,Verisk,Industrials
41,1593475200,162371920,2020,6,VRSK,Verisk,Industrials
42,1601424000,162502191,2020,9,VRSK,Verisk,Industrials
43,1617148800,162641819,2021,3,VRSK,Verisk,Industrials
44,1625011200,162007784,2021,6,VRSK,Verisk,Industrials
45,1632960000,161366544,2021,9,VRSK,Verisk,Industrials
46,1640908800,161349619,2021,12,VRSK,Verisk,Industrials
47,1648684800,160680955,2022,3,VRSK,Verisk,Industrials
48,1656547200,157972755,2022,6,VRSK,Verisk,Industrials
49,1668711878,157972755,2022,11,VRSK,Verisk,Industrials
