,d,v,years,months,ticker_symbol,security,sector
0,985996800,19380480000,2001,3,AAPL,Apple Inc.,Information Technology
1,993859200,19530840000,2001,6,AAPL,Apple Inc.,Information Technology
2,1009756800,19674480000,2001,12,AAPL,Apple Inc.,Information Technology
3,1017532800,19794880000,2002,3,AAPL,Apple Inc.,Information Technology
4,1025395200,19956720000,2002,6,AAPL,Apple Inc.,Information Technology
5,1041292800,20107192000,2002,12,AAPL,Apple Inc.,Information Technology
6,1049068800,20187440000,2003,3,AAPL,Apple Inc.,Information Technology
7,1056931200,20204408000,2003,6,AAPL,Apple Inc.,Information Technology
8,1072828800,20297200000,2003,12,AAPL,Apple Inc.,Information Technology
9,1080691200,20459432000,2004,3,AAPL,Apple Inc.,Information Technology
10,1088553600,21001288000,2004,6,AAPL,Apple Inc.,Information Technology
11,1104451200,22092896000,2004,12,AAPL,Apple Inc.,Information Technology
12,1112227200,22628816000,2005,3,AAPL,Apple Inc.,Information Technology
13,1120089600,22822576000,2005,6,AAPL,Apple Inc.,Information Technology
14,1135987200,23261868000,2005,12,AAPL,Apple Inc.,Information Technology
15,1143763200,23545480000,2006,3,AAPL,Apple Inc.,Information Technology
16,1151625600,23838500000,2006,6,AAPL,Apple Inc.,Information Technology
17,1167523200,24015348000,2006,12,AAPL,Apple Inc.,Information Technology
18,1175299200,24164084000,2007,3,AAPL,Apple Inc.,Information Technology
19,1183161600,24270568000,2007,6,AAPL,Apple Inc.,Information Technology
20,1199059200,24524080000,2007,12,AAPL,Apple Inc.,Information Technology
21,1206921600,24627288000,2008,3,AAPL,Apple Inc.,Information Technology
22,1214784000,24744664000,2008,6,AAPL,Apple Inc.,Information Technology
23,1230681600,24895976000,2008,12,AAPL,Apple Inc.,Information Technology
24,1238457600,24953040000,2009,3,AAPL,Apple Inc.,Information Technology
25,1246320000,25023936000,2009,6,AAPL,Apple Inc.,Information Technology
26,1254268800,25144896000,2009,9,AAPL,Apple Inc.,Information Technology
27,1262217600,25299176000,2009,12,AAPL,Apple Inc.,Information Technology
28,1269993600,25411344000,2010,3,AAPL,Apple Inc.,Information Technology
29,1277856000,25541516000,2010,6,AAPL,Apple Inc.,Information Technology
30,1293753600,25740232000,2010,12,AAPL,Apple Inc.,Information Technology
31,1301529600,25849488000,2011,3,AAPL,Apple Inc.,Information Technology
32,1309392000,25931024000,2011,6,AAPL,Apple Inc.,Information Technology
33,1317340800,25991840000,2011,9,AAPL,Apple Inc.,Information Technology
34,1325289600,26069148000,2011,12,AAPL,Apple Inc.,Information Technology
35,1333152000,26140296000,2012,3,AAPL,Apple Inc.,Information Technology
36,1341014400,26224688000,2012,6,AAPL,Apple Inc.,Information Technology
37,1348963200,26273604000,2012,9,AAPL,Apple Inc.,Information Technology
38,1356912000,26289648000,2012,12,AAPL,Apple Inc.,Information Technology
39,1364688000,26309612000,2013,3,AAPL,Apple Inc.,Information Technology
40,1372550400,25721304000,2013,6,AAPL,Apple Inc.,Information Technology
41,1380499200,25316564000,2013,9,AAPL,Apple Inc.,Information Technology
42,1388448000,25090016000,2013,12,AAPL,Apple Inc.,Information Technology
43,1396224000,24493196000,2014,3,AAPL,Apple Inc.,Information Technology
44,1404086400,24050540000,2014,6,AAPL,Apple Inc.,Information Technology
45,1412035200,23735380000,2014,9,AAPL,Apple Inc.,Information Technology
46,1419984000,23372328000,2014,12,AAPL,Apple Inc.,Information Technology
47,1427760000,23175196000,2015,3,AAPL,Apple Inc.,Information Technology
48,1435622400,22919544000,2015,6,AAPL,Apple Inc.,Information Technology
49,1443571200,22587664000,2015,9,AAPL,Apple Inc.,Information Technology
50,1451520000,22235720000,2015,12,AAPL,Apple Inc.,Information Technology
51,1459382400,22057524000,2016,3,AAPL,Apple Inc.,Information Technology
52,1467244800,21772232000,2016,6,AAPL,Apple Inc.,Information Technology
53,1475193600,21467648000,2016,9,AAPL,Apple Inc.,Information Technology
54,1483142400,21194644000,2016,12,AAPL,Apple Inc.,Information Technology
55,1490918400,20903164000,2017,3,AAPL,Apple Inc.,Information Technology
56,1498780800,20780352000,2017,6,AAPL,Apple Inc.,Information Technology
57,1506729600,20597712000,2017,9,AAPL,Apple Inc.,Information Technology
58,1514678400,20451508000,2017,12,AAPL,Apple Inc.,Information Technology
59,1522454400,20099508000,2018,3,AAPL,Apple Inc.,Information Technology
60,1530316800,19528668000,2018,6,AAPL,Apple Inc.,Information Technology
61,1538265600,19206356000,2018,9,AAPL,Apple Inc.,Information Technology
62,1546214400,18943280000,2018,12,AAPL,Apple Inc.,Information Technology
63,1553990400,18696284000,2019,3,AAPL,Apple Inc.,Information Technology
64,1561852800,18282532000,2019,6,AAPL,Apple Inc.,Information Technology
65,1569801600,17963248000,2019,9,AAPL,Apple Inc.,Information Technology
66,1577750400,17660160000,2019,12,AAPL,Apple Inc.,Information Technology
67,1585612800,17440404000,2020,3,AAPL,Apple Inc.,Information Technology
68,1593475200,17250292000,2020,6,AAPL,Apple Inc.,Information Technology
69,1601424000,17057622000,2020,9,AAPL,Apple Inc.,Information Technology
70,1609372800,16935119000,2020,12,AAPL,Apple Inc.,Information Technology
71,1617148800,16753476000,2021,3,AAPL,Apple Inc.,Information Technology
72,1625011200,16629371000,2021,6,AAPL,Apple Inc.,Information Technology
73,1632960000,16487121000,2021,9,AAPL,Apple Inc.,Information Technology
74,1640908800,16391724000,2021,12,AAPL,Apple Inc.,Information Technology
75,1648684800,16278802000,2022,3,AAPL,Apple Inc.,Information Technology
76,1656547200,16162945000,2022,6,AAPL,Apple Inc.,Information Technology
77,1668713089,16162945000,2022,11,AAPL,Apple Inc.,Information Technology
