,d,v,years,months,ticker_symbol,security,sector
0,988588800,216132000,2001,4,ADSK,Autodesk,Information Technology
1,996537600,216048000,2001,7,ADSK,Autodesk,Information Technology
2,1004486400,217480000,2001,10,ADSK,Autodesk,Information Technology
3,1020124800,226516000,2002,4,ADSK,Autodesk,Information Technology
4,1028073600,226696000,2002,7,ADSK,Autodesk,Information Technology
5,1036022400,225618000,2002,10,ADSK,Autodesk,Information Technology
6,1051660800,223550000,2003,4,ADSK,Autodesk,Information Technology
7,1059609600,222960000,2003,7,ADSK,Autodesk,Information Technology
8,1067558400,222440000,2003,10,ADSK,Autodesk,Information Technology
9,1083283200,224104000,2004,4,ADSK,Autodesk,Information Technology
10,1091232000,228004000,2004,7,ADSK,Autodesk,Information Technology
11,1099180800,227823000,2004,10,ADSK,Autodesk,Information Technology
12,1114819200,227715000,2005,4,ADSK,Autodesk,Information Technology
13,1122768000,228654000,2005,7,ADSK,Autodesk,Information Technology
14,1130716800,229577000,2005,10,ADSK,Autodesk,Information Technology
15,1146355200,230300000,2006,4,ADSK,Autodesk,Information Technology
16,1154304000,230500000,2006,7,ADSK,Autodesk,Information Technology
17,1162252800,230900000,2006,10,ADSK,Autodesk,Information Technology
18,1177891200,231200000,2007,4,ADSK,Autodesk,Information Technology
19,1185840000,230300000,2007,7,ADSK,Autodesk,Information Technology
20,1193788800,229400000,2007,10,ADSK,Autodesk,Information Technology
21,1209513600,226200000,2008,4,ADSK,Autodesk,Information Technology
22,1217462400,224200000,2008,7,ADSK,Autodesk,Information Technology
23,1225411200,225300000,2008,10,ADSK,Autodesk,Information Technology
24,1241049600,227100000,2009,4,ADSK,Autodesk,Information Technology
25,1248998400,228900000,2009,7,ADSK,Autodesk,Information Technology
26,1256947200,229600000,2009,10,ADSK,Autodesk,Information Technology
27,1272585600,229000000,2010,4,ADSK,Autodesk,Information Technology
28,1280534400,228000000,2010,7,ADSK,Autodesk,Information Technology
29,1288483200,226500000,2010,10,ADSK,Autodesk,Information Technology
30,1304121600,228200000,2011,4,ADSK,Autodesk,Information Technology
31,1312070400,229400000,2011,7,ADSK,Autodesk,Information Technology
32,1320019200,227100000,2011,10,ADSK,Autodesk,Information Technology
33,1335744000,228100000,2012,4,ADSK,Autodesk,Information Technology
34,1343692800,227800000,2012,7,ADSK,Autodesk,Information Technology
35,1351641600,225500000,2012,10,ADSK,Autodesk,Information Technology
36,1359590400,224100000,2013,1,ADSK,Autodesk,Information Technology
37,1367280000,223800000,2013,4,ADSK,Autodesk,Information Technology
38,1375228800,223100000,2013,7,ADSK,Autodesk,Information Technology
39,1383177600,223100000,2013,10,ADSK,Autodesk,Information Technology
40,1391126400,225500000,2014,1,ADSK,Autodesk,Information Technology
41,1398816000,227000000,2014,4,ADSK,Autodesk,Information Technology
42,1406764800,227300000,2014,7,ADSK,Autodesk,Information Technology
43,1414713600,226900000,2014,10,ADSK,Autodesk,Information Technology
44,1422662400,227200000,2015,1,ADSK,Autodesk,Information Technology
45,1430352000,227200000,2015,4,ADSK,Autodesk,Information Technology
46,1438300800,227000000,2015,7,ADSK,Autodesk,Information Technology
47,1446249600,225300000,2015,10,ADSK,Autodesk,Information Technology
48,1454198400,224700000,2016,1,ADSK,Autodesk,Information Technology
49,1461974400,224400000,2016,4,ADSK,Autodesk,Information Technology
50,1469923200,223200000,2016,7,ADSK,Autodesk,Information Technology
51,1477872000,222300000,2016,10,ADSK,Autodesk,Information Technology
52,1485820800,221100000,2017,1,ADSK,Autodesk,Information Technology
53,1493510400,219900000,2017,4,ADSK,Autodesk,Information Technology
54,1501459200,219500000,2017,7,ADSK,Autodesk,Information Technology
55,1509408000,219600000,2017,10,ADSK,Autodesk,Information Technology
56,1517356800,219100000,2018,1,ADSK,Autodesk,Information Technology
57,1525046400,218600000,2018,4,ADSK,Autodesk,Information Technology
58,1532995200,219000000,2018,7,ADSK,Autodesk,Information Technology
59,1540944000,218900000,2018,10,ADSK,Autodesk,Information Technology
60,1548892800,219200000,2019,1,ADSK,Autodesk,Information Technology
61,1556582400,219600000,2019,4,ADSK,Autodesk,Information Technology
62,1564531200,219600000,2019,7,ADSK,Autodesk,Information Technology
63,1572480000,219700000,2019,10,ADSK,Autodesk,Information Technology
64,1580428800,220000000,2020,1,ADSK,Autodesk,Information Technology
65,1588204800,219200000,2020,4,ADSK,Autodesk,Information Technology
66,1596153600,219200000,2020,7,ADSK,Autodesk,Information Technology
67,1604102400,219600000,2020,10,ADSK,Autodesk,Information Technology
68,1612051200,219700000,2021,1,ADSK,Autodesk,Information Technology
69,1619740800,219600000,2021,4,ADSK,Autodesk,Information Technology
70,1627689600,219800000,2021,7,ADSK,Autodesk,Information Technology
71,1635638400,220000000,2021,10,ADSK,Autodesk,Information Technology
72,1651276800,217000000,2022,4,ADSK,Autodesk,Information Technology
73,1659225600,217000000,2022,7,ADSK,Autodesk,Information Technology
74,1668713138,217000000,2022,11,ADSK,Autodesk,Information Technology
