,d,v,years,months,ticker_symbol,security,sector
0,980899200,1620874000,2001,1,AMAT,Applied Materials,Information Technology
1,988588800,1622708000,2001,4,AMAT,Applied Materials,Information Technology
2,996537600,1629840000,2001,7,AMAT,Applied Materials,Information Technology
3,1012435200,1636418000,2002,1,AMAT,Applied Materials,Information Technology
4,1020124800,1643317000,2002,4,AMAT,Applied Materials,Information Technology
5,1028073600,1647181000,2002,7,AMAT,Applied Materials,Information Technology
6,1043971200,1650612000,2003,1,AMAT,Applied Materials,Information Technology
7,1051660800,1655927000,2003,4,AMAT,Applied Materials,Information Technology
8,1059609600,1659365000,2003,7,AMAT,Applied Materials,Information Technology
9,1075507200,1682025000,2004,1,AMAT,Applied Materials,Information Technology
10,1083283200,1690617000,2004,4,AMAT,Applied Materials,Information Technology
11,1091232000,1696544000,2004,7,AMAT,Applied Materials,Information Technology
12,1107129600,1672671000,2005,1,AMAT,Applied Materials,Information Technology
13,1114819200,1660584000,2005,4,AMAT,Applied Materials,Information Technology
14,1122768000,1630895000,2005,7,AMAT,Applied Materials,Information Technology
15,1138665600,1598260000,2006,1,AMAT,Applied Materials,Information Technology
16,1146355200,1576548000,2006,4,AMAT,Applied Materials,Information Technology
17,1154304000,1550744000,2006,7,AMAT,Applied Materials,Information Technology
18,1170201600,1394710000,2007,1,AMAT,Applied Materials,Information Technology
19,1177891200,1391076000,2007,4,AMAT,Applied Materials,Information Technology
20,1185840000,1385519000,2007,7,AMAT,Applied Materials,Information Technology
21,1201737600,1371245000,2008,1,AMAT,Applied Materials,Information Technology
22,1209513600,1356705000,2008,4,AMAT,Applied Materials,Information Technology
23,1217462400,1350526000,2008,7,AMAT,Applied Materials,Information Technology
24,1233360000,1329223000,2009,1,AMAT,Applied Materials,Information Technology
25,1241049600,1331729000,2009,4,AMAT,Applied Materials,Information Technology
26,1248998400,1333278000,2009,7,AMAT,Applied Materials,Information Technology
27,1264896000,1341941000,2010,1,AMAT,Applied Materials,Information Technology
28,1272585600,1344617000,2010,4,AMAT,Applied Materials,Information Technology
29,1280534400,1339660000,2010,7,AMAT,Applied Materials,Information Technology
30,1296432000,1324000000,2011,1,AMAT,Applied Materials,Information Technology
31,1304121600,1320000000,2011,4,AMAT,Applied Materials,Information Technology
32,1312070400,1318000000,2011,7,AMAT,Applied Materials,Information Technology
33,1327968000,1299000000,2012,1,AMAT,Applied Materials,Information Technology
34,1335744000,1289000000,2012,4,AMAT,Applied Materials,Information Technology
35,1343692800,1257000000,2012,7,AMAT,Applied Materials,Information Technology
36,1351641600,1220000000,2012,10,AMAT,Applied Materials,Information Technology
37,1359590400,1198000000,2013,1,AMAT,Applied Materials,Information Technology
38,1367280000,1203000000,2013,4,AMAT,Applied Materials,Information Technology
39,1375228800,1203000000,2013,7,AMAT,Applied Materials,Information Technology
40,1383177600,1204000000,2013,10,AMAT,Applied Materials,Information Technology
41,1391126400,1206000000,2014,1,AMAT,Applied Materials,Information Technology
42,1398816000,1216000000,2014,4,AMAT,Applied Materials,Information Technology
43,1406764800,1218000000,2014,7,AMAT,Applied Materials,Information Technology
44,1414713600,1220000000,2014,10,AMAT,Applied Materials,Information Technology
45,1422662400,1224000000,2015,1,AMAT,Applied Materials,Information Technology
46,1430352000,1230000000,2015,4,AMAT,Applied Materials,Information Technology
47,1438300800,1221000000,2015,7,AMAT,Applied Materials,Information Technology
48,1446249600,1182000000,2015,10,AMAT,Applied Materials,Information Technology
49,1454198400,1146000000,2016,1,AMAT,Applied Materials,Information Technology
50,1461974400,1113000000,2016,4,AMAT,Applied Materials,Information Technology
51,1469923200,1083000000,2016,7,AMAT,Applied Materials,Information Technology
52,1477872000,1081000000,2016,10,AMAT,Applied Materials,Information Technology
53,1485820800,1078000000,2017,1,AMAT,Applied Materials,Information Technology
54,1493510400,1078000000,2017,4,AMAT,Applied Materials,Information Technology
55,1501459200,1071000000,2017,7,AMAT,Applied Materials,Information Technology
56,1509408000,1064000000,2017,10,AMAT,Applied Materials,Information Technology
57,1517356800,1056000000,2018,1,AMAT,Applied Materials,Information Technology
58,1525046400,1029000000,2018,4,AMAT,Applied Materials,Information Technology
59,1532995200,994000000,2018,7,AMAT,Applied Materials,Information Technology
60,1540944000,974000000,2018,10,AMAT,Applied Materials,Information Technology
61,1548892800,957000000,2019,1,AMAT,Applied Materials,Information Technology
62,1556582400,942000000,2019,4,AMAT,Applied Materials,Information Technology
63,1564531200,929000000,2019,7,AMAT,Applied Materials,Information Technology
64,1572480000,920000000,2019,10,AMAT,Applied Materials,Information Technology
65,1580428800,916000000,2020,1,AMAT,Applied Materials,Information Technology
66,1588204800,917000000,2020,4,AMAT,Applied Materials,Information Technology
67,1596153600,915000000,2020,7,AMAT,Applied Materials,Information Technology
68,1604102400,914000000,2020,10,AMAT,Applied Materials,Information Technology
69,1612051200,915000000,2021,1,AMAT,Applied Materials,Information Technology
70,1619740800,918000000,2021,4,AMAT,Applied Materials,Information Technology
71,1627689600,908000000,2021,7,AMAT,Applied Materials,Information Technology
72,1635638400,898000000,2021,10,AMAT,Applied Materials,Information Technology
73,1643587200,889000000,2022,1,AMAT,Applied Materials,Information Technology
74,1651276800,878000000,2022,4,AMAT,Applied Materials,Information Technology
75,1659225600,864000000,2022,7,AMAT,Applied Materials,Information Technology
76,1668713105,864000000,2022,11,AMAT,Applied Materials,Information Technology
