,d,v,years,months,ticker_symbol,security,sector
0,985996800,314347000,2001,3,AMD,AMD,Information Technology
1,993859200,330120000,2001,6,AMD,AMD,Information Technology
2,1001808000,345044000,2001,9,AMD,AMD,Information Technology
3,1017532800,340806000,2002,3,AMD,AMD,Information Technology
4,1025395200,341782000,2002,6,AMD,AMD,Information Technology
5,1033344000,342780000,2002,9,AMD,AMD,Information Technology
6,1049068800,345012000,2003,3,AMD,AMD,Information Technology
7,1056931200,346320000,2003,6,AMD,AMD,Information Technology
8,1064880000,347334000,2003,9,AMD,AMD,Information Technology
9,1080691200,351328000,2004,3,AMD,AMD,Information Technology
10,1088553600,353655000,2004,6,AMD,AMD,Information Technology
11,1096502400,355254000,2004,9,AMD,AMD,Information Technology
12,1112227200,393077000,2005,3,AMD,AMD,Information Technology
13,1120089600,395414000,2005,6,AMD,AMD,Information Technology
14,1128038400,399025000,2005,9,AMD,AMD,Information Technology
15,1143763200,464080000,2006,3,AMD,AMD,Information Technology
16,1151625600,484541000,2006,6,AMD,AMD,Information Technology
17,1159574400,486331000,2006,9,AMD,AMD,Information Technology
18,1175299200,549000000,2007,3,AMD,AMD,Information Technology
19,1183161600,552000000,2007,6,AMD,AMD,Information Technology
20,1191110400,554000000,2007,9,AMD,AMD,Information Technology
21,1206921600,606000000,2008,3,AMD,AMD,Information Technology
22,1214784000,607000000,2008,6,AMD,AMD,Information Technology
23,1222732800,608000000,2008,9,AMD,AMD,Information Technology
24,1238457600,626000000,2009,3,AMD,AMD,Information Technology
25,1246320000,667000000,2009,6,AMD,AMD,Information Technology
26,1254268800,694000000,2009,9,AMD,AMD,Information Technology
27,1269993600,707000000,2010,3,AMD,AMD,Information Technology
28,1277856000,709000000,2010,6,AMD,AMD,Information Technology
29,1285804800,713000000,2010,9,AMD,AMD,Information Technology
30,1301529600,720000000,2011,3,AMD,AMD,Information Technology
31,1309392000,724000000,2011,6,AMD,AMD,Information Technology
32,1317340800,729000000,2011,9,AMD,AMD,Information Technology
33,1333152000,734000000,2012,3,AMD,AMD,Information Technology
34,1341014400,739000000,2012,6,AMD,AMD,Information Technology
35,1348963200,745000000,2012,9,AMD,AMD,Information Technology
36,1356912000,747000000,2012,12,AMD,AMD,Information Technology
37,1364688000,749000000,2013,3,AMD,AMD,Information Technology
38,1372550400,752000000,2013,6,AMD,AMD,Information Technology
39,1380499200,757000000,2013,9,AMD,AMD,Information Technology
40,1388448000,759000000,2013,12,AMD,AMD,Information Technology
41,1396224000,761000000,2014,3,AMD,AMD,Information Technology
42,1404086400,764000000,2014,6,AMD,AMD,Information Technology
43,1412035200,770000000,2014,9,AMD,AMD,Information Technology
44,1419984000,776000000,2014,12,AMD,AMD,Information Technology
45,1427760000,777000000,2015,3,AMD,AMD,Information Technology
46,1435622400,778000000,2015,6,AMD,AMD,Information Technology
47,1443571200,785000000,2015,9,AMD,AMD,Information Technology
48,1451520000,791000000,2015,12,AMD,AMD,Information Technology
49,1459382400,793000000,2016,3,AMD,AMD,Information Technology
50,1467244800,794000000,2016,6,AMD,AMD,Information Technology
51,1475193600,815000000,2016,9,AMD,AMD,Information Technology
52,1483142400,931000000,2016,12,AMD,AMD,Information Technology
53,1490918400,939000000,2017,3,AMD,AMD,Information Technology
54,1498780800,945000000,2017,6,AMD,AMD,Information Technology
55,1506729600,957000000,2017,9,AMD,AMD,Information Technology
56,1514678400,965000000,2017,12,AMD,AMD,Information Technology
57,1522454400,968000000,2018,3,AMD,AMD,Information Technology
58,1530316800,972000000,2018,6,AMD,AMD,Information Technology
59,1538265600,987000000,2018,9,AMD,AMD,Information Technology
60,1546214400,1002000000,2018,12,AMD,AMD,Information Technology
61,1553990400,1044000000,2019,3,AMD,AMD,Information Technology
62,1561852800,1084000000,2019,6,AMD,AMD,Information Technology
63,1569801600,1097000000,2019,9,AMD,AMD,Information Technology
64,1577750400,1140000000,2019,12,AMD,AMD,Information Technology
65,1585612800,1170000000,2020,3,AMD,AMD,Information Technology
66,1593475200,1174000000,2020,6,AMD,AMD,Information Technology
67,1601424000,1184000000,2020,9,AMD,AMD,Information Technology
68,1609372800,1205000000,2020,12,AMD,AMD,Information Technology
69,1617148800,1213000000,2021,3,AMD,AMD,Information Technology
70,1625011200,1216000000,2021,6,AMD,AMD,Information Technology
71,1632960000,1214000000,2021,9,AMD,AMD,Information Technology
72,1640908800,1208000000,2021,12,AMD,AMD,Information Technology
73,1648684800,1393000000,2022,3,AMD,AMD,Information Technology
74,1656547200,1618000000,2022,6,AMD,AMD,Information Technology
75,1668713028,1618000000,2022,11,AMD,AMD,Information Technology
