,d,v,years,months,ticker_symbol,security,sector
0,985996800,59656000,2001,3,ANSS,Ansys,Information Technology
1,993859200,57368000,2001,6,ANSS,Ansys,Information Technology
2,1001808000,58128000,2001,9,ANSS,Ansys,Information Technology
3,1017532800,58352000,2002,3,ANSS,Ansys,Information Technology
4,1025395200,58680000,2002,6,ANSS,Ansys,Information Technology
5,1033344000,58312000,2002,9,ANSS,Ansys,Information Technology
6,1049068800,58508000,2003,3,ANSS,Ansys,Information Technology
7,1056931200,59436000,2003,6,ANSS,Ansys,Information Technology
8,1064880000,60424000,2003,9,ANSS,Ansys,Information Technology
9,1080691200,61260000,2004,3,ANSS,Ansys,Information Technology
10,1088553600,61600000,2004,6,ANSS,Ansys,Information Technology
11,1096502400,62150000,2004,9,ANSS,Ansys,Information Technology
12,1112227200,62984000,2005,3,ANSS,Ansys,Information Technology
13,1120089600,63334000,2005,6,ANSS,Ansys,Information Technology
14,1128038400,63702000,2005,9,ANSS,Ansys,Information Technology
15,1143763200,64244000,2006,3,ANSS,Ansys,Information Technology
16,1151625600,72612000,2006,6,ANSS,Ansys,Information Technology
17,1159574400,76804000,2006,9,ANSS,Ansys,Information Technology
18,1175299200,77366000,2007,3,ANSS,Ansys,Information Technology
19,1183161600,77611000,2007,6,ANSS,Ansys,Information Technology
20,1191110400,77981000,2007,9,ANSS,Ansys,Information Technology
21,1206921600,78302000,2008,3,ANSS,Ansys,Information Technology
22,1214784000,78503000,2008,6,ANSS,Ansys,Information Technology
23,1222732800,85687000,2008,9,ANSS,Ansys,Information Technology
24,1238457600,88866000,2009,3,ANSS,Ansys,Information Technology
25,1246320000,87726000,2009,6,ANSS,Ansys,Information Technology
26,1254268800,88284000,2009,9,ANSS,Ansys,Information Technology
27,1269993600,89964000,2010,3,ANSS,Ansys,Information Technology
28,1277856000,90614000,2010,6,ANSS,Ansys,Information Technology
29,1285804800,90880000,2010,9,ANSS,Ansys,Information Technology
30,1301529600,91767000,2011,3,ANSS,Ansys,Information Technology
31,1309392000,91940000,2011,6,ANSS,Ansys,Information Technology
32,1317340800,92277000,2011,9,ANSS,Ansys,Information Technology
33,1333152000,92817000,2012,3,ANSS,Ansys,Information Technology
34,1341014400,92626000,2012,6,ANSS,Ansys,Information Technology
35,1348963200,92448000,2012,9,ANSS,Ansys,Information Technology
36,1356912000,92597000,2012,12,ANSS,Ansys,Information Technology
37,1364688000,92908000,2013,3,ANSS,Ansys,Information Technology
38,1372550400,92860000,2013,6,ANSS,Ansys,Information Technology
39,1380499200,92541000,2013,9,ANSS,Ansys,Information Technology
40,1396224000,92483000,2014,3,ANSS,Ansys,Information Technology
41,1404086400,92314000,2014,6,ANSS,Ansys,Information Technology
42,1412035200,91875000,2014,9,ANSS,Ansys,Information Technology
43,1419984000,91595000,2014,12,ANSS,Ansys,Information Technology
44,1427760000,90059000,2015,3,ANSS,Ansys,Information Technology
45,1435622400,89866000,2015,6,ANSS,Ansys,Information Technology
46,1443571200,89694000,2015,9,ANSS,Ansys,Information Technology
47,1451520000,88626000,2015,12,ANSS,Ansys,Information Technology
48,1459382400,88114000,2016,3,ANSS,Ansys,Information Technology
49,1467244800,87638000,2016,6,ANSS,Ansys,Information Technology
50,1475193600,86959000,2016,9,ANSS,Ansys,Information Technology
51,1483142400,86198000,2016,12,ANSS,Ansys,Information Technology
52,1490918400,85456000,2017,3,ANSS,Ansys,Information Technology
53,1498780800,85167000,2017,6,ANSS,Ansys,Information Technology
54,1506729600,84774000,2017,9,ANSS,Ansys,Information Technology
55,1514678400,84557000,2017,12,ANSS,Ansys,Information Technology
56,1522454400,83931000,2018,3,ANSS,Ansys,Information Technology
57,1530316800,84105000,2018,6,ANSS,Ansys,Information Technology
58,1538265600,84158000,2018,9,ANSS,Ansys,Information Technology
59,1546214400,83699000,2018,12,ANSS,Ansys,Information Technology
60,1553990400,83764000,2019,3,ANSS,Ansys,Information Technology
61,1561852800,83978000,2019,6,ANSS,Ansys,Information Technology
62,1569801600,84109000,2019,9,ANSS,Ansys,Information Technology
63,1577750400,85183000,2019,12,ANSS,Ansys,Information Technology
64,1585612800,85798000,2020,3,ANSS,Ansys,Information Technology
65,1593475200,85651000,2020,6,ANSS,Ansys,Information Technology
66,1601424000,85798000,2020,9,ANSS,Ansys,Information Technology
67,1609372800,86115000,2020,12,ANSS,Ansys,Information Technology
68,1617148800,86808000,2021,3,ANSS,Ansys,Information Technology
69,1625011200,87168000,2021,6,ANSS,Ansys,Information Technology
70,1632960000,87239000,2021,9,ANSS,Ansys,Information Technology
71,1640908800,87186000,2021,12,ANSS,Ansys,Information Technology
72,1648684800,87122000,2022,3,ANSS,Ansys,Information Technology
73,1656547200,87001000,2022,6,ANSS,Ansys,Information Technology
74,1668713074,87001000,2022,11,ANSS,Ansys,Information Technology
