,d,v,years,months,ticker_symbol,security,sector
0,985996800,666990528,2001,3,APH,Amphenol,Information Technology
1,993859200,667021024,2001,6,APH,Amphenol,Information Technology
2,1001808000,672004928,2001,9,APH,Amphenol,Information Technology
3,1017532800,676821584,2002,3,APH,Amphenol,Information Technology
4,1025395200,678308032,2002,6,APH,Amphenol,Information Technology
5,1033344000,680409920,2002,9,APH,Amphenol,Information Technology
6,1049068800,681162880,2003,3,APH,Amphenol,Information Technology
7,1056931200,681988384,2003,6,APH,Amphenol,Information Technology
8,1064880000,691042816,2003,9,APH,Amphenol,Information Technology
9,1080691200,703822432,2004,3,APH,Amphenol,Information Technology
10,1088553600,705396832,2004,6,APH,Amphenol,Information Technology
11,1096502400,703688000,2004,9,APH,Amphenol,Information Technology
12,1112227200,704133888,2005,3,APH,Amphenol,Information Technology
13,1120089600,706902416,2005,6,APH,Amphenol,Information Technology
14,1128038400,710203240,2005,9,APH,Amphenol,Information Technology
15,1143763200,715577280,2006,3,APH,Amphenol,Information Technology
16,1151625600,716356248,2006,6,APH,Amphenol,Information Technology
17,1159574400,715378232,2006,9,APH,Amphenol,Information Technology
18,1175299200,712531056,2007,3,APH,Amphenol,Information Technology
19,1183161600,714496608,2007,6,APH,Amphenol,Information Technology
20,1191110400,713621700,2007,9,APH,Amphenol,Information Technology
21,1206921600,706650464,2008,3,APH,Amphenol,Information Technology
22,1214784000,701950584,2008,6,APH,Amphenol,Information Technology
23,1222732800,706865580,2008,9,APH,Amphenol,Information Technology
24,1238457600,684740792,2009,3,APH,Amphenol,Information Technology
25,1246320000,685268448,2009,6,APH,Amphenol,Information Technology
26,1254268800,685712948,2009,9,APH,Amphenol,Information Technology
27,1269993600,693064452,2010,3,APH,Amphenol,Information Technology
28,1277856000,694079528,2010,6,APH,Amphenol,Information Technology
29,1285804800,695255012,2010,9,APH,Amphenol,Information Technology
30,1301529600,700673188,2011,3,APH,Amphenol,Information Technology
31,1309392000,684777896,2011,6,APH,Amphenol,Information Technology
32,1317340800,671807464,2011,9,APH,Amphenol,Information Technology
33,1333152000,651447452,2012,3,APH,Amphenol,Information Technology
34,1341014400,646046200,2012,6,APH,Amphenol,Information Technology
35,1348963200,645397972,2012,9,APH,Amphenol,Information Technology
36,1356912000,641519456,2012,12,APH,Amphenol,Information Technology
37,1364688000,638952672,2013,3,APH,Amphenol,Information Technology
38,1372550400,638820084,2013,6,APH,Amphenol,Information Technology
39,1380499200,634662080,2013,9,APH,Amphenol,Information Technology
40,1388448000,633132504,2013,12,APH,Amphenol,Information Technology
41,1396224000,630113928,2014,3,APH,Amphenol,Information Technology
42,1404086400,628458740,2014,6,APH,Amphenol,Information Technology
43,1412035200,626568484,2014,9,APH,Amphenol,Information Technology
44,1419984000,620060412,2014,12,APH,Amphenol,Information Technology
45,1427760000,620093068,2015,3,APH,Amphenol,Information Technology
46,1435622400,617799874,2015,6,APH,Amphenol,Information Technology
47,1443571200,617707284,2015,9,APH,Amphenol,Information Technology
48,1451520000,617070926,2015,12,APH,Amphenol,Information Technology
49,1459382400,615200000,2016,3,APH,Amphenol,Information Technology
50,1467244800,616400000,2016,6,APH,Amphenol,Information Technology
51,1475193600,617800000,2016,9,APH,Amphenol,Information Technology
52,1483142400,617000000,2016,12,APH,Amphenol,Information Technology
53,1490918400,613200000,2017,3,APH,Amphenol,Information Technology
54,1498780800,611600000,2017,6,APH,Amphenol,Information Technology
55,1506729600,610000000,2017,9,APH,Amphenol,Information Technology
56,1514678400,610800000,2017,12,APH,Amphenol,Information Technology
57,1522454400,607400000,2018,3,APH,Amphenol,Information Technology
58,1530316800,601600000,2018,6,APH,Amphenol,Information Technology
59,1538265600,601000000,2018,9,APH,Amphenol,Information Technology
60,1546214400,599600000,2018,12,APH,Amphenol,Information Technology
61,1553990400,596200000,2019,3,APH,Amphenol,Information Technology
62,1561852800,596000000,2019,6,APH,Amphenol,Information Technology
63,1569801600,593200000,2019,9,APH,Amphenol,Information Technology
64,1577750400,594400000,2019,12,APH,Amphenol,Information Technology
65,1585612800,594800000,2020,3,APH,Amphenol,Information Technology
66,1593475200,593200000,2020,6,APH,Amphenol,Information Technology
67,1601424000,597600000,2020,9,APH,Amphenol,Information Technology
68,1609372800,598600000,2020,12,APH,Amphenol,Information Technology
69,1617148800,598500000,2021,3,APH,Amphenol,Information Technology
70,1625011200,597400000,2021,6,APH,Amphenol,Information Technology
71,1632960000,597700000,2021,9,APH,Amphenol,Information Technology
72,1640908800,598100000,2021,12,APH,Amphenol,Information Technology
73,1648684800,598300000,2022,3,APH,Amphenol,Information Technology
74,1656547200,596200000,2022,6,APH,Amphenol,Information Technology
75,1668713044,595300000,2022,11,APH,Amphenol,Information Technology
