,d,v,years,months,ticker_symbol,security,sector
0,1217462400,213465000,2008,7,AVGO,Broadcom Inc.,Information Technology
1,1233360000,213465000,2009,1,AVGO,Broadcom Inc.,Information Technology
2,1241049600,213465000,2009,4,AVGO,Broadcom Inc.,Information Technology
3,1248998400,212467500,2009,7,AVGO,Broadcom Inc.,Information Technology
4,1264896000,235410000,2010,1,AVGO,Broadcom Inc.,Information Technology
5,1272585600,237405000,2010,4,AVGO,Broadcom Inc.,Information Technology
6,1280534400,238402500,2010,7,AVGO,Broadcom Inc.,Information Technology
7,1296432000,241395000,2011,1,AVGO,Broadcom Inc.,Information Technology
8,1304121600,244387500,2011,4,AVGO,Broadcom Inc.,Information Technology
9,1312070400,245385000,2011,7,AVGO,Broadcom Inc.,Information Technology
10,1327968000,244387500,2012,1,AVGO,Broadcom Inc.,Information Technology
11,1335744000,243390000,2012,4,AVGO,Broadcom Inc.,Information Technology
12,1343692800,244387500,2012,7,AVGO,Broadcom Inc.,Information Technology
13,1359590400,245385000,2013,1,AVGO,Broadcom Inc.,Information Technology
14,1367280000,245385000,2013,4,AVGO,Broadcom Inc.,Information Technology
15,1375228800,247380000,2013,7,AVGO,Broadcom Inc.,Information Technology
16,1383177600,247380000,2013,10,AVGO,Broadcom Inc.,Information Technology
17,1391126400,248377500,2014,1,AVGO,Broadcom Inc.,Information Technology
18,1398816000,250372500,2014,4,AVGO,Broadcom Inc.,Information Technology
19,1406764800,251370000,2014,7,AVGO,Broadcom Inc.,Information Technology
20,1414713600,253365000,2014,10,AVGO,Broadcom Inc.,Information Technology
21,1422662400,254362500,2015,1,AVGO,Broadcom Inc.,Information Technology
22,1430352000,257355000,2015,4,AVGO,Broadcom Inc.,Information Technology
23,1438300800,264337500,2015,7,AVGO,Broadcom Inc.,Information Technology
24,1446249600,275310000,2015,10,AVGO,Broadcom Inc.,Information Technology
25,1454198400,276307500,2016,1,AVGO,Broadcom Inc.,Information Technology
26,1461974400,391020000,2016,4,AVGO,Broadcom Inc.,Information Technology
27,1469923200,395010000,2016,7,AVGO,Broadcom Inc.,Information Technology
28,1477872000,397005000,2016,10,AVGO,Broadcom Inc.,Information Technology
29,1485820800,398002500,2017,1,AVGO,Broadcom Inc.,Information Technology
30,1493510400,401992500,2017,4,AVGO,Broadcom Inc.,Information Technology
31,1501459200,405982500,2017,7,AVGO,Broadcom Inc.,Information Technology
32,1509408000,406980000,2017,10,AVGO,Broadcom Inc.,Information Technology
33,1517356800,408975000,2018,1,AVGO,Broadcom Inc.,Information Technology
34,1525046400,419947500,2018,4,AVGO,Broadcom Inc.,Information Technology
35,1532995200,428925000,2018,7,AVGO,Broadcom Inc.,Information Technology
36,1540944000,410970000,2018,10,AVGO,Broadcom Inc.,Information Technology
37,1548892800,399997500,2019,1,AVGO,Broadcom Inc.,Information Technology
38,1556582400,396007500,2019,4,AVGO,Broadcom Inc.,Information Technology
39,1564531200,397005000,2019,7,AVGO,Broadcom Inc.,Information Technology
40,1572480000,396007500,2019,10,AVGO,Broadcom Inc.,Information Technology
41,1580428800,397005000,2020,1,AVGO,Broadcom Inc.,Information Technology
42,1588204800,399997500,2020,4,AVGO,Broadcom Inc.,Information Technology
43,1596153600,401992500,2020,7,AVGO,Broadcom Inc.,Information Technology
44,1604102400,405000000,2020,10,AVGO,Broadcom Inc.,Information Technology
45,1612051200,407000000,2021,1,AVGO,Broadcom Inc.,Information Technology
46,1619740800,409000000,2021,4,AVGO,Broadcom Inc.,Information Technology
47,1627689600,411000000,2021,7,AVGO,Broadcom Inc.,Information Technology
48,1635638400,412000000,2021,10,AVGO,Broadcom Inc.,Information Technology
49,1643587200,412000000,2022,1,AVGO,Broadcom Inc.,Information Technology
50,1651276800,408000000,2022,4,AVGO,Broadcom Inc.,Information Technology
51,1659225600,405000000,2022,7,AVGO,Broadcom Inc.,Information Technology
52,1668713154,405000000,2022,11,AVGO,Broadcom Inc.,Information Technology
