,d,v,years,months,ticker_symbol,security,sector
0,1143763200,138800000,2006,3,BR,Broadridge Financial Solutions,Information Technology
1,1159574400,138800000,2006,9,BR,Broadridge Financial Solutions,Information Technology
2,1167523200,138800000,2006,12,BR,Broadridge Financial Solutions,Information Technology
3,1175299200,138800000,2007,3,BR,Broadridge Financial Solutions,Information Technology
4,1191110400,139100000,2007,9,BR,Broadridge Financial Solutions,Information Technology
5,1199059200,139300000,2007,12,BR,Broadridge Financial Solutions,Information Technology
6,1206921600,139900000,2008,3,BR,Broadridge Financial Solutions,Information Technology
7,1222732800,140400000,2008,9,BR,Broadridge Financial Solutions,Information Technology
8,1230681600,140200000,2008,12,BR,Broadridge Financial Solutions,Information Technology
9,1238457600,139500000,2009,3,BR,Broadridge Financial Solutions,Information Technology
10,1254268800,138100000,2009,9,BR,Broadridge Financial Solutions,Information Technology
11,1262217600,135700000,2009,12,BR,Broadridge Financial Solutions,Information Technology
12,1269993600,134800000,2010,3,BR,Broadridge Financial Solutions,Information Technology
13,1285804800,126500000,2010,9,BR,Broadridge Financial Solutions,Information Technology
14,1293753600,125000000,2010,12,BR,Broadridge Financial Solutions,Information Technology
15,1301529600,124200000,2011,3,BR,Broadridge Financial Solutions,Information Technology
16,1309392000,123500000,2011,6,BR,Broadridge Financial Solutions,Information Technology
17,1317340800,123700000,2011,9,BR,Broadridge Financial Solutions,Information Technology
18,1325289600,123700000,2011,12,BR,Broadridge Financial Solutions,Information Technology
19,1333152000,124000000,2012,3,BR,Broadridge Financial Solutions,Information Technology
20,1348963200,124000000,2012,9,BR,Broadridge Financial Solutions,Information Technology
21,1356912000,122000000,2012,12,BR,Broadridge Financial Solutions,Information Technology
22,1364688000,121200000,2013,3,BR,Broadridge Financial Solutions,Information Technology
23,1372550400,120600000,2013,6,BR,Broadridge Financial Solutions,Information Technology
24,1380499200,119100000,2013,9,BR,Broadridge Financial Solutions,Information Technology
25,1388448000,119200000,2013,12,BR,Broadridge Financial Solutions,Information Technology
26,1396224000,119700000,2014,3,BR,Broadridge Financial Solutions,Information Technology
27,1412035200,119800000,2014,9,BR,Broadridge Financial Solutions,Information Technology
28,1419984000,120200000,2014,12,BR,Broadridge Financial Solutions,Information Technology
29,1427760000,120600000,2015,3,BR,Broadridge Financial Solutions,Information Technology
30,1443571200,118300000,2015,9,BR,Broadridge Financial Solutions,Information Technology
31,1451520000,118500000,2015,12,BR,Broadridge Financial Solutions,Information Technology
32,1459382400,118200000,2016,3,BR,Broadridge Financial Solutions,Information Technology
33,1467244800,118100000,2016,6,BR,Broadridge Financial Solutions,Information Technology
34,1475193600,118500000,2016,9,BR,Broadridge Financial Solutions,Information Technology
35,1483142400,118700000,2016,12,BR,Broadridge Financial Solutions,Information Technology
36,1490918400,117800000,2017,3,BR,Broadridge Financial Solutions,Information Technology
37,1498780800,117100000,2017,6,BR,Broadridge Financial Solutions,Information Technology
38,1506729600,116500000,2017,9,BR,Broadridge Financial Solutions,Information Technology
39,1514678400,116600000,2017,12,BR,Broadridge Financial Solutions,Information Technology
40,1522454400,116900000,2018,3,BR,Broadridge Financial Solutions,Information Technology
41,1530316800,117200000,2018,6,BR,Broadridge Financial Solutions,Information Technology
42,1538265600,116400000,2018,9,BR,Broadridge Financial Solutions,Information Technology
43,1546214400,116300000,2018,12,BR,Broadridge Financial Solutions,Information Technology
44,1553990400,115700000,2019,3,BR,Broadridge Financial Solutions,Information Technology
45,1561852800,115300000,2019,6,BR,Broadridge Financial Solutions,Information Technology
46,1569801600,114400000,2019,9,BR,Broadridge Financial Solutions,Information Technology
47,1577750400,114700000,2019,12,BR,Broadridge Financial Solutions,Information Technology
48,1585612800,114600000,2020,3,BR,Broadridge Financial Solutions,Information Technology
49,1593475200,115000000,2020,6,BR,Broadridge Financial Solutions,Information Technology
50,1601424000,115300000,2020,9,BR,Broadridge Financial Solutions,Information Technology
51,1609372800,115700000,2020,12,BR,Broadridge Financial Solutions,Information Technology
52,1617148800,115800000,2021,3,BR,Broadridge Financial Solutions,Information Technology
53,1625011200,116100000,2021,6,BR,Broadridge Financial Solutions,Information Technology
54,1632960000,116200000,2021,9,BR,Broadridge Financial Solutions,Information Technology
55,1640908800,116600000,2021,12,BR,Broadridge Financial Solutions,Information Technology
56,1648684800,116800000,2022,3,BR,Broadridge Financial Solutions,Information Technology
57,1656547200,117200000,2022,6,BR,Broadridge Financial Solutions,Information Technology
58,1668713170,117200000,2022,11,BR,Broadridge Financial Solutions,Information Technology
