,d,v,years,months,ticker_symbol,security,sector
0,1490918400,65034610,2017,3,CDAY,Ceridian,Information Technology
1,1498780800,65314462,2017,6,CDAY,Ceridian,Information Technology
2,1506729600,65314462,2017,9,CDAY,Ceridian,Information Technology
3,1522454400,134902769,2018,3,CDAY,Ceridian,Information Technology
4,1530316800,113311107,2018,6,CDAY,Ceridian,Information Technology
5,1538265600,137768764,2018,9,CDAY,Ceridian,Information Technology
6,1553990400,140149271,2019,3,CDAY,Ceridian,Information Technology
7,1561852800,141149009,2019,6,CDAY,Ceridian,Information Technology
8,1569801600,142780819,2019,9,CDAY,Ceridian,Information Technology
9,1577750400,144066263,2019,12,CDAY,Ceridian,Information Technology
10,1585612800,144645325,2020,3,CDAY,Ceridian,Information Technology
11,1593475200,145593019,2020,6,CDAY,Ceridian,Information Technology
12,1601424000,147141403,2020,9,CDAY,Ceridian,Information Technology
13,1609372800,148086778,2020,12,CDAY,Ceridian,Information Technology
14,1617148800,148716050,2021,3,CDAY,Ceridian,Information Technology
15,1625011200,149293833,2021,6,CDAY,Ceridian,Information Technology
16,1632960000,150450595,2021,9,CDAY,Ceridian,Information Technology
17,1640908800,151465292,2021,12,CDAY,Ceridian,Information Technology
18,1648684800,152124151,2022,3,CDAY,Ceridian,Information Technology
19,1656547200,152752369,2022,6,CDAY,Ceridian,Information Technology
20,1668713216,152752369,2022,11,CDAY,Ceridian,Information Technology
