,d,v,years,months,ticker_symbol,security,sector
0,1051660800,114640000,2003,4,CRM,Salesforce,Information Technology
1,1059609600,117200000,2003,7,CRM,Salesforce,Information Technology
2,1067558400,117200000,2003,10,CRM,Salesforce,Information Technology
3,1083283200,126752000,2004,4,CRM,Salesforce,Information Technology
4,1091232000,258096000,2004,7,CRM,Salesforce,Information Technology
5,1099180800,409348000,2004,10,CRM,Salesforce,Information Technology
6,1114819200,420884000,2005,4,CRM,Salesforce,Information Technology
7,1122768000,426456000,2005,7,CRM,Salesforce,Information Technology
8,1130716800,431124000,2005,10,CRM,Salesforce,Information Technology
9,1146355200,443828000,2006,4,CRM,Salesforce,Information Technology
10,1154304000,447352000,2006,7,CRM,Salesforce,Information Technology
11,1162252800,451540000,2006,10,CRM,Salesforce,Information Technology
12,1177891200,459948000,2007,4,CRM,Salesforce,Information Technology
13,1185840000,465176000,2007,7,CRM,Salesforce,Information Technology
14,1193788800,469444000,2007,10,CRM,Salesforce,Information Technology
15,1209513600,479112000,2008,4,CRM,Salesforce,Information Technology
16,1217462400,483452000,2008,7,CRM,Salesforce,Information Technology
17,1225411200,486540000,2008,10,CRM,Salesforce,Information Technology
18,1241049600,492824000,2009,4,CRM,Salesforce,Information Technology
19,1248998400,495384000,2009,7,CRM,Salesforce,Information Technology
20,1256947200,498244000,2009,10,CRM,Salesforce,Information Technology
21,1272585600,512128000,2010,4,CRM,Salesforce,Information Technology
22,1280534400,517848000,2010,7,CRM,Salesforce,Information Technology
23,1288483200,523552000,2010,10,CRM,Salesforce,Information Technology
24,1304121600,533816000,2011,4,CRM,Salesforce,Information Technology
25,1312070400,540372000,2011,7,CRM,Salesforce,Information Technology
26,1320019200,543388000,2011,10,CRM,Salesforce,Information Technology
27,1335744000,552600000,2012,4,CRM,Salesforce,Information Technology
28,1343692800,557700000,2012,7,CRM,Salesforce,Information Technology
29,1351641600,568812000,2012,10,CRM,Salesforce,Information Technology
30,1359590400,579880000,2013,1,CRM,Salesforce,Information Technology
31,1367280000,588385000,2013,4,CRM,Salesforce,Information Technology
32,1375228800,593955000,2013,7,CRM,Salesforce,Information Technology
33,1383177600,600467000,2013,10,CRM,Salesforce,Information Technology
34,1391126400,607374000,2014,1,CRM,Salesforce,Information Technology
35,1398816000,612512000,2014,4,CRM,Salesforce,Information Technology
36,1406764800,617016000,2014,7,CRM,Salesforce,Information Technology
37,1414713600,629548000,2014,10,CRM,Salesforce,Information Technology
38,1422662400,637219000,2015,1,CRM,Salesforce,Information Technology
39,1430352000,653809000,2015,4,CRM,Salesforce,Information Technology
40,1438300800,659366000,2015,7,CRM,Salesforce,Information Technology
41,1446249600,664131000,2015,10,CRM,Salesforce,Information Technology
42,1454198400,669025000,2016,1,CRM,Salesforce,Information Technology
43,1461974400,677514000,2016,4,CRM,Salesforce,Information Technology
44,1469923200,681126000,2016,7,CRM,Salesforce,Information Technology
45,1477872000,690468000,2016,10,CRM,Salesforce,Information Technology
46,1485820800,700994000,2017,1,CRM,Salesforce,Information Technology
47,1493510400,706174000,2017,4,CRM,Salesforce,Information Technology
48,1501459200,712039000,2017,7,CRM,Salesforce,Information Technology
49,1509408000,717445000,2017,10,CRM,Salesforce,Information Technology
50,1517356800,724127000,2018,1,CRM,Salesforce,Information Technology
51,1525046400,729000000,2018,4,CRM,Salesforce,Information Technology
52,1532995200,747000000,2018,7,CRM,Salesforce,Information Technology
53,1540944000,760000000,2018,10,CRM,Salesforce,Information Technology
54,1548892800,766000000,2019,1,CRM,Salesforce,Information Technology
55,1556582400,771000000,2019,4,CRM,Salesforce,Information Technology
56,1564531200,776000000,2019,7,CRM,Salesforce,Information Technology
57,1572480000,879000000,2019,10,CRM,Salesforce,Information Technology
58,1580428800,889000000,2020,1,CRM,Salesforce,Information Technology
59,1588204800,896000000,2020,4,CRM,Salesforce,Information Technology
60,1596153600,904000000,2020,7,CRM,Salesforce,Information Technology
61,1604102400,911000000,2020,10,CRM,Salesforce,Information Technology
62,1612051200,916000000,2021,1,CRM,Salesforce,Information Technology
63,1619740800,921000000,2021,4,CRM,Salesforce,Information Technology
64,1627689600,933000000,2021,7,CRM,Salesforce,Information Technology
65,1635638400,980000000,2021,10,CRM,Salesforce,Information Technology
66,1643587200,986000000,2022,1,CRM,Salesforce,Information Technology
67,1651276800,991000000,2022,4,CRM,Salesforce,Information Technology
68,1659225600,997000000,2022,7,CRM,Salesforce,Information Technology
69,1668713926,997000000,2022,11,CRM,Salesforce,Information Technology
