,d,v,years,months,ticker_symbol,security,sector
0,980899200,7144000000,2001,1,CSCO,Cisco,Information Technology
1,988588800,7251000000,2001,4,CSCO,Cisco,Information Technology
2,1004486400,7307000000,2001,10,CSCO,Cisco,Information Technology
3,1012435200,7311000000,2002,1,CSCO,Cisco,Information Technology
4,1020124800,7306000000,2002,4,CSCO,Cisco,Information Technology
5,1036022400,7249000000,2002,10,CSCO,Cisco,Information Technology
6,1043971200,7187000000,2003,1,CSCO,Cisco,Information Technology
7,1051660800,7062000000,2003,4,CSCO,Cisco,Information Technology
8,1067558400,6932000000,2003,10,CSCO,Cisco,Information Technology
9,1075507200,6874000000,2004,1,CSCO,Cisco,Information Technology
10,1083283200,6816000000,2004,4,CSCO,Cisco,Information Technology
11,1099180800,6635000000,2004,10,CSCO,Cisco,Information Technology
12,1107129600,6521000000,2005,1,CSCO,Cisco,Information Technology
13,1114819200,6435000000,2005,4,CSCO,Cisco,Information Technology
14,1130716800,6245000000,2005,10,CSCO,Cisco,Information Technology
15,1138665600,6146000000,2006,1,CSCO,Cisco,Information Technology
16,1146355200,6160000000,2006,4,CSCO,Cisco,Information Technology
17,1162252800,6061000000,2006,10,CSCO,Cisco,Information Technology
18,1170201600,6057000000,2007,1,CSCO,Cisco,Information Technology
19,1177891200,6034000000,2007,4,CSCO,Cisco,Information Technology
20,1193788800,6087000000,2007,10,CSCO,Cisco,Information Technology
21,1201737600,6010000000,2008,1,CSCO,Cisco,Information Technology
22,1209513600,5942000000,2008,4,CSCO,Cisco,Information Technology
23,1225411200,5881000000,2008,10,CSCO,Cisco,Information Technology
24,1233360000,5848000000,2009,1,CSCO,Cisco,Information Technology
25,1241049600,5805000000,2009,4,CSCO,Cisco,Information Technology
26,1248998400,5777000000,2009,7,CSCO,Cisco,Information Technology
27,1256947200,5767000000,2009,10,CSCO,Cisco,Information Technology
28,1264896000,5741000000,2010,1,CSCO,Cisco,Information Technology
29,1272585600,5731000000,2010,4,CSCO,Cisco,Information Technology
30,1280534400,5688000000,2010,7,CSCO,Cisco,Information Technology
31,1288483200,5595000000,2010,10,CSCO,Cisco,Information Technology
32,1296432000,5531000000,2011,1,CSCO,Cisco,Information Technology
33,1304121600,5508000000,2011,4,CSCO,Cisco,Information Technology
34,1312070400,5478000000,2011,7,CSCO,Cisco,Information Technology
35,1320019200,5394000000,2011,10,CSCO,Cisco,Information Technology
36,1327968000,5368000000,2012,1,CSCO,Cisco,Information Technology
37,1335744000,5388000000,2012,4,CSCO,Cisco,Information Technology
38,1343692800,5332000000,2012,7,CSCO,Cisco,Information Technology
39,1351641600,5301000000,2012,10,CSCO,Cisco,Information Technology
40,1359590400,5318000000,2013,1,CSCO,Cisco,Information Technology
41,1367280000,5329000000,2013,4,CSCO,Cisco,Information Technology
42,1375228800,5367000000,2013,7,CSCO,Cisco,Information Technology
43,1383177600,5378000000,2013,10,CSCO,Cisco,Information Technology
44,1391126400,5294000000,2014,1,CSCO,Cisco,Information Technology
45,1398816000,5143000000,2014,4,CSCO,Cisco,Information Technology
46,1406764800,5121000000,2014,7,CSCO,Cisco,Information Technology
47,1414713600,5112000000,2014,10,CSCO,Cisco,Information Technology
48,1422662400,5117000000,2015,1,CSCO,Cisco,Information Technology
49,1430352000,5102000000,2015,4,CSCO,Cisco,Information Technology
50,1438300800,5086000000,2015,7,CSCO,Cisco,Information Technology
51,1446249600,5080000000,2015,10,CSCO,Cisco,Information Technology
52,1454198400,5070000000,2016,1,CSCO,Cisco,Information Technology
53,1461974400,5032000000,2016,4,CSCO,Cisco,Information Technology
54,1469923200,5031000000,2016,7,CSCO,Cisco,Information Technology
55,1477872000,5027000000,2016,10,CSCO,Cisco,Information Technology
56,1485820800,5015000000,2017,1,CSCO,Cisco,Information Technology
57,1493510400,5005000000,2017,4,CSCO,Cisco,Information Technology
58,1501459200,4993000000,2017,7,CSCO,Cisco,Information Technology
59,1509408000,4959000000,2017,10,CSCO,Cisco,Information Technology
60,1517356800,4924000000,2018,1,CSCO,Cisco,Information Technology
61,1525046400,4791000000,2018,4,CSCO,Cisco,Information Technology
62,1532995200,4672000000,2018,7,CSCO,Cisco,Information Technology
63,1540944000,4565000000,2018,10,CSCO,Cisco,Information Technology
64,1548892800,4470000000,2019,1,CSCO,Cisco,Information Technology
65,1556582400,4370000000,2019,4,CSCO,Cisco,Information Technology
66,1564531200,4269000000,2019,7,CSCO,Cisco,Information Technology
67,1572480000,4246000000,2019,10,CSCO,Cisco,Information Technology
68,1580428800,4242000000,2020,1,CSCO,Cisco,Information Technology
69,1588204800,4230000000,2020,4,CSCO,Cisco,Information Technology
70,1596153600,4227000000,2020,7,CSCO,Cisco,Information Technology
71,1604102400,4230000000,2020,10,CSCO,Cisco,Information Technology
72,1612051200,4223000000,2021,1,CSCO,Cisco,Information Technology
73,1619740800,4219000000,2021,4,CSCO,Cisco,Information Technology
74,1627689600,4216000000,2021,7,CSCO,Cisco,Information Technology
75,1635638400,4218000000,2021,10,CSCO,Cisco,Information Technology
76,1643587200,4183000000,2022,1,CSCO,Cisco,Information Technology
77,1651276800,4152000000,2022,4,CSCO,Cisco,Information Technology
78,1668713233,4128000000,2022,11,CSCO,Cisco,Information Technology
