,d,v,years,months,ticker_symbol,security,sector
0,985996800,448752000,2001,3,CTSH,Cognizant,Information Technology
1,993859200,453912000,2001,6,CTSH,Cognizant,Information Technology
2,1001808000,460416000,2001,9,CTSH,Cognizant,Information Technology
3,1017532800,464760000,2002,3,CTSH,Cognizant,Information Technology
4,1025395200,469896000,2002,6,CTSH,Cognizant,Information Technology
5,1033344000,476688000,2002,9,CTSH,Cognizant,Information Technology
6,1049068800,490552000,2003,3,CTSH,Cognizant,Information Technology
7,1056931200,495080000,2003,6,CTSH,Cognizant,Information Technology
8,1064880000,503216000,2003,9,CTSH,Cognizant,Information Technology
9,1080691200,515520000,2004,3,CTSH,Cognizant,Information Technology
10,1088553600,520468000,2004,6,CTSH,Cognizant,Information Technology
11,1096502400,526988000,2004,9,CTSH,Cognizant,Information Technology
12,1112227200,537940000,2005,3,CTSH,Cognizant,Information Technology
13,1120089600,542748000,2005,6,CTSH,Cognizant,Information Technology
14,1128038400,548744000,2005,9,CTSH,Cognizant,Information Technology
15,1143763200,558660000,2006,3,CTSH,Cognizant,Information Technology
16,1151625600,562168000,2006,6,CTSH,Cognizant,Information Technology
17,1159574400,564808000,2006,9,CTSH,Cognizant,Information Technology
18,1175299200,571608000,2007,3,CTSH,Cognizant,Information Technology
19,1183161600,576208000,2007,6,CTSH,Cognizant,Information Technology
20,1191110400,579118000,2007,9,CTSH,Cognizant,Information Technology
21,1206921600,576342000,2008,3,CTSH,Cognizant,Information Technology
22,1214784000,579418000,2008,6,CTSH,Cognizant,Information Technology
23,1222732800,582682000,2008,9,CTSH,Cognizant,Information Technology
24,1238457600,583226000,2009,3,CTSH,Cognizant,Information Technology
25,1246320000,584674000,2009,6,CTSH,Cognizant,Information Technology
26,1254268800,587328000,2009,9,CTSH,Cognizant,Information Technology
27,1269993600,595770000,2010,3,CTSH,Cognizant,Information Technology
28,1277856000,599778000,2010,6,CTSH,Cognizant,Information Technology
29,1285804800,603434000,2010,9,CTSH,Cognizant,Information Technology
30,1301529600,608082000,2011,3,CTSH,Cognizant,Information Technology
31,1309392000,607978000,2011,6,CTSH,Cognizant,Information Technology
32,1317340800,605446000,2011,9,CTSH,Cognizant,Information Technology
33,1333152000,606856000,2012,3,CTSH,Cognizant,Information Technology
34,1341014400,604450000,2012,6,CTSH,Cognizant,Information Technology
35,1348963200,598116000,2012,9,CTSH,Cognizant,Information Technology
36,1356912000,600904000,2012,12,CTSH,Cognizant,Information Technology
37,1364688000,603708000,2013,3,CTSH,Cognizant,Information Technology
38,1372550400,603340000,2013,6,CTSH,Cognizant,Information Technology
39,1380499200,603264000,2013,9,CTSH,Cognizant,Information Technology
40,1388448000,605746000,2013,12,CTSH,Cognizant,Information Technology
41,1396224000,607730000,2014,3,CTSH,Cognizant,Information Technology
42,1404086400,607880000,2014,6,CTSH,Cognizant,Information Technology
43,1412035200,608070000,2014,9,CTSH,Cognizant,Information Technology
44,1419984000,608822000,2014,12,CTSH,Cognizant,Information Technology
45,1427760000,609600000,2015,3,CTSH,Cognizant,Information Technology
46,1435622400,609900000,2015,6,CTSH,Cognizant,Information Technology
47,1443571200,608800000,2015,9,CTSH,Cognizant,Information Technology
48,1451520000,608200000,2015,12,CTSH,Cognizant,Information Technology
49,1459382400,608000000,2016,3,CTSH,Cognizant,Information Technology
50,1467244800,606100000,2016,6,CTSH,Cognizant,Information Technology
51,1475193600,606200000,2016,9,CTSH,Cognizant,Information Technology
52,1483142400,607000000,2016,12,CTSH,Cognizant,Information Technology
53,1490918400,605000000,2017,3,CTSH,Cognizant,Information Technology
54,1498780800,589000000,2017,6,CTSH,Cognizant,Information Technology
55,1506729600,590000000,2017,9,CTSH,Cognizant,Information Technology
56,1514678400,589000000,2017,12,CTSH,Cognizant,Information Technology
57,1522454400,587000000,2018,3,CTSH,Cognizant,Information Technology
58,1530316800,585000000,2018,6,CTSH,Cognizant,Information Technology
59,1538265600,579000000,2018,9,CTSH,Cognizant,Information Technology
60,1546214400,578000000,2018,12,CTSH,Cognizant,Information Technology
61,1553990400,573000000,2019,3,CTSH,Cognizant,Information Technology
62,1561852800,564000000,2019,6,CTSH,Cognizant,Information Technology
63,1569801600,551000000,2019,9,CTSH,Cognizant,Information Technology
64,1577750400,548000000,2019,12,CTSH,Cognizant,Information Technology
65,1585612800,546000000,2020,3,CTSH,Cognizant,Information Technology
66,1593475200,541000000,2020,6,CTSH,Cognizant,Information Technology
67,1601424000,542000000,2020,9,CTSH,Cognizant,Information Technology
68,1609372800,533000000,2020,12,CTSH,Cognizant,Information Technology
69,1617148800,530000000,2021,3,CTSH,Cognizant,Information Technology
70,1625011200,527000000,2021,6,CTSH,Cognizant,Information Technology
71,1632960000,525000000,2021,9,CTSH,Cognizant,Information Technology
72,1640908800,525000000,2021,12,CTSH,Cognizant,Information Technology
73,1648684800,524000000,2022,3,CTSH,Cognizant,Information Technology
74,1656547200,520000000,2022,6,CTSH,Cognizant,Information Technology
75,1668713250,520000000,2022,11,CTSH,Cognizant,Information Technology
