,d,v,years,months,ticker_symbol,security,sector
0,985996800,744648000,2001,3,FISV,Fiserv,Information Technology
1,993859200,746232000,2001,6,FISV,Fiserv,Information Technology
2,1001808000,747776000,2001,9,FISV,Fiserv,Information Technology
3,1017532800,762676000,2002,3,FISV,Fiserv,Information Technology
4,1025395200,765680000,2002,6,FISV,Fiserv,Information Technology
5,1033344000,768192000,2002,9,FISV,Fiserv,Information Technology
6,1049068800,768548000,2003,3,FISV,Fiserv,Information Technology
7,1056931200,773180000,2003,6,FISV,Fiserv,Information Technology
8,1064880000,774504000,2003,9,FISV,Fiserv,Information Technology
9,1080691200,778220000,2004,3,FISV,Fiserv,Information Technology
10,1088553600,780204000,2004,6,FISV,Fiserv,Information Technology
11,1096502400,781336000,2004,9,FISV,Fiserv,Information Technology
12,1112227200,773532000,2005,3,FISV,Fiserv,Information Technology
13,1120089600,763516000,2005,6,FISV,Fiserv,Information Technology
14,1128038400,749624000,2005,9,FISV,Fiserv,Information Technology
15,1143763200,717404000,2006,3,FISV,Fiserv,Information Technology
16,1151625600,700452000,2006,6,FISV,Fiserv,Information Technology
17,1159574400,693704000,2006,9,FISV,Fiserv,Information Technology
18,1175299200,680104000,2007,3,FISV,Fiserv,Information Technology
19,1183161600,669568000,2007,6,FISV,Fiserv,Information Technology
20,1191110400,658736000,2007,9,FISV,Fiserv,Information Technology
21,1206921600,656000000,2008,3,FISV,Fiserv,Information Technology
22,1214784000,653600000,2008,6,FISV,Fiserv,Information Technology
23,1222732800,650000000,2008,9,FISV,Fiserv,Information Technology
24,1238457600,622000000,2009,3,FISV,Fiserv,Information Technology
25,1246320000,622222222,2009,6,FISV,Fiserv,Information Technology
26,1254268800,621200000,2009,9,FISV,Fiserv,Information Technology
27,1269993600,610400000,2010,3,FISV,Fiserv,Information Technology
28,1277856000,610000000,2010,6,FISV,Fiserv,Information Technology
29,1285804800,597600000,2010,9,FISV,Fiserv,Information Technology
30,1301529600,574800000,2011,3,FISV,Fiserv,Information Technology
31,1309392000,566000000,2011,6,FISV,Fiserv,Information Technology
32,1317340800,563200000,2011,9,FISV,Fiserv,Information Technology
33,1333152000,549200000,2012,3,FISV,Fiserv,Information Technology
34,1341014400,542400000,2012,6,FISV,Fiserv,Information Technology
35,1348963200,535200000,2012,9,FISV,Fiserv,Information Technology
36,1356912000,533600000,2012,12,FISV,Fiserv,Information Technology
37,1364688000,532799996,2013,3,FISV,Fiserv,Information Technology
38,1372550400,524400000,2013,6,FISV,Fiserv,Information Technology
39,1380499200,517200000,2013,9,FISV,Fiserv,Information Technology
40,1388448000,513400000,2013,12,FISV,Fiserv,Information Technology
41,1396224000,503200000,2014,3,FISV,Fiserv,Information Technology
42,1404086400,498200000,2014,6,FISV,Fiserv,Information Technology
43,1412035200,490600000,2014,9,FISV,Fiserv,Information Technology
44,1419984000,480600000,2014,12,FISV,Fiserv,Information Technology
45,1427760000,475400000,2015,3,FISV,Fiserv,Information Technology
46,1435622400,470400000,2015,6,FISV,Fiserv,Information Technology
47,1443571200,459000000,2015,9,FISV,Fiserv,Information Technology
48,1451520000,450600000,2015,12,FISV,Fiserv,Information Technology
49,1459382400,446000000,2016,3,FISV,Fiserv,Information Technology
50,1467244800,441200000,2016,6,FISV,Fiserv,Information Technology
51,1475193600,438400000,2016,9,FISV,Fiserv,Information Technology
52,1483142400,431000000,2016,12,FISV,Fiserv,Information Technology
53,1490918400,425800000,2017,3,FISV,Fiserv,Information Technology
54,1498780800,421600000,2017,6,FISV,Fiserv,Information Technology
55,1506729600,417600000,2017,9,FISV,Fiserv,Information Technology
56,1514678400,415200000,2017,12,FISV,Fiserv,Information Technology
57,1522454400,411000000,2018,3,FISV,Fiserv,Information Technology
58,1530316800,406100000,2018,6,FISV,Fiserv,Information Technology
59,1538265600,401000000,2018,9,FISV,Fiserv,Information Technology
60,1546214400,392500000,2018,12,FISV,Fiserv,Information Technology
61,1553990400,392300000,2019,3,FISV,Fiserv,Information Technology
62,1561852800,392900000,2019,6,FISV,Fiserv,Information Technology
63,1569801600,680800000,2019,9,FISV,Fiserv,Information Technology
64,1577750400,679900000,2019,12,FISV,Fiserv,Information Technology
65,1585612800,674000000,2020,3,FISV,Fiserv,Information Technology
66,1593475200,669400000,2020,6,FISV,Fiserv,Information Technology
67,1601424000,670300000,2020,9,FISV,Fiserv,Information Technology
68,1609372800,669100000,2020,12,FISV,Fiserv,Information Technology
69,1617148800,666600000,2021,3,FISV,Fiserv,Information Technology
70,1625011200,661000000,2021,6,FISV,Fiserv,Information Technology
71,1632960000,660000000,2021,9,FISV,Fiserv,Information Technology
72,1640908800,650000000,2021,12,FISV,Fiserv,Information Technology
73,1648684800,647000000,2022,3,FISV,Fiserv,Information Technology
74,1656547200,643000000,2022,6,FISV,Fiserv,Information Technology
75,1668713382,643000000,2022,11,FISV,Fiserv,Information Technology
