,d,v,years,months,ticker_symbol,security,sector
0,985996800,942857143,2001,3,GLW,Corning Inc.,Information Technology
1,993859200,926000000,2001,6,GLW,Corning Inc.,Information Technology
2,1001808000,936000000,2001,9,GLW,Corning Inc.,Information Technology
3,1017532800,945000000,2002,3,GLW,Corning Inc.,Information Technology
4,1025395200,948000000,2002,6,GLW,Corning Inc.,Information Technology
5,1033344000,1036000000,2002,9,GLW,Corning Inc.,Information Technology
6,1049068800,1200000000,2003,3,GLW,Corning Inc.,Information Technology
7,1056931200,1244000000,2003,6,GLW,Corning Inc.,Information Technology
8,1064880000,1314000000,2003,9,GLW,Corning Inc.,Information Technology
9,1080691200,1358000000,2004,3,GLW,Corning Inc.,Information Technology
10,1088553600,1383000000,2004,6,GLW,Corning Inc.,Information Technology
11,1096502400,1399000000,2004,9,GLW,Corning Inc.,Information Technology
12,1112227200,1411000000,2005,3,GLW,Corning Inc.,Information Technology
13,1120089600,1438000000,2005,6,GLW,Corning Inc.,Information Technology
14,1128038400,1488000000,2005,9,GLW,Corning Inc.,Information Technology
15,1143763200,1511764706,2006,3,GLW,Corning Inc.,Information Technology
16,1151625600,1557575758,2006,6,GLW,Corning Inc.,Information Technology
17,1159574400,1564285714,2006,9,GLW,Corning Inc.,Information Technology
18,1175299200,1557142857,2007,3,GLW,Corning Inc.,Information Technology
19,1183161600,1577419355,2007,6,GLW,Corning Inc.,Information Technology
20,1191110400,1582051282,2007,9,GLW,Corning Inc.,Information Technology
21,1206921600,1566000000,2008,3,GLW,Corning Inc.,Information Technology
22,1214784000,1569000000,2008,6,GLW,Corning Inc.,Information Technology
23,1222732800,1558000000,2008,9,GLW,Corning Inc.,Information Technology
24,1238457600,1548000000,2009,3,GLW,Corning Inc.,Information Technology
25,1246320000,1550000000,2009,6,GLW,Corning Inc.,Information Technology
26,1254268800,1550000000,2009,9,GLW,Corning Inc.,Information Technology
27,1269993600,1555000000,2010,3,GLW,Corning Inc.,Information Technology
28,1277856000,1555000000,2010,6,GLW,Corning Inc.,Information Technology
29,1285804800,1557000000,2010,9,GLW,Corning Inc.,Information Technology
30,1301529600,1565000000,2011,3,GLW,Corning Inc.,Information Technology
31,1309392000,1568000000,2011,6,GLW,Corning Inc.,Information Technology
32,1317340800,1569000000,2011,9,GLW,Corning Inc.,Information Technology
33,1325289600,1546000000,2011,12,GLW,Corning Inc.,Information Technology
34,1333152000,1565000000,2012,3,GLW,Corning Inc.,Information Technology
35,1341014400,1506000000,2012,6,GLW,Corning Inc.,Information Technology
36,1348963200,1483000000,2012,9,GLW,Corning Inc.,Information Technology
37,1356912000,1471000000,2012,12,GLW,Corning Inc.,Information Technology
38,1364688000,1472000000,2013,3,GLW,Corning Inc.,Information Technology
39,1372550400,1469000000,2013,6,GLW,Corning Inc.,Information Technology
40,1380499200,1454000000,2013,9,GLW,Corning Inc.,Information Technology
41,1388448000,1414000000,2013,12,GLW,Corning Inc.,Information Technology
42,1396224000,1359000000,2014,3,GLW,Corning Inc.,Information Technology
43,1404086400,1302000000,2014,6,GLW,Corning Inc.,Information Technology
44,1412035200,1284000000,2014,9,GLW,Corning Inc.,Information Technology
45,1419984000,1276000000,2014,12,GLW,Corning Inc.,Information Technology
46,1427760000,1266000000,2015,3,GLW,Corning Inc.,Information Technology
47,1435622400,1246000000,2015,6,GLW,Corning Inc.,Information Technology
48,1443571200,1210000000,2015,9,GLW,Corning Inc.,Information Technology
49,1451520000,1146000000,2015,12,GLW,Corning Inc.,Information Technology
50,1459382400,1103000000,2016,3,GLW,Corning Inc.,Information Technology
51,1467244800,1059000000,2016,6,GLW,Corning Inc.,Information Technology
52,1475193600,978000000,2016,9,GLW,Corning Inc.,Information Technology
53,1483142400,942000000,2016,12,GLW,Corning Inc.,Information Technology
54,1490918400,925000000,2017,3,GLW,Corning Inc.,Information Technology
55,1498780800,908000000,2017,6,GLW,Corning Inc.,Information Technology
56,1506729600,883000000,2017,9,GLW,Corning Inc.,Information Technology
57,1514678400,863000000,2017,12,GLW,Corning Inc.,Information Technology
58,1522454400,848000000,2018,3,GLW,Corning Inc.,Information Technology
59,1530316800,819000000,2018,6,GLW,Corning Inc.,Information Technology
60,1538265600,805000000,2018,9,GLW,Corning Inc.,Information Technology
61,1546214400,795000000,2018,12,GLW,Corning Inc.,Information Technology
62,1553990400,784000000,2019,3,GLW,Corning Inc.,Information Technology
63,1561852800,781000000,2019,6,GLW,Corning Inc.,Information Technology
64,1569801600,775000000,2019,9,GLW,Corning Inc.,Information Technology
65,1577750400,764000000,2019,12,GLW,Corning Inc.,Information Technology
66,1585612800,760000000,2020,3,GLW,Corning Inc.,Information Technology
67,1593475200,759000000,2020,6,GLW,Corning Inc.,Information Technology
68,1601424000,760000000,2020,9,GLW,Corning Inc.,Information Technology
69,1609372800,763000000,2020,12,GLW,Corning Inc.,Information Technology
70,1617148800,766000000,2021,3,GLW,Corning Inc.,Information Technology
71,1625011200,844000000,2021,6,GLW,Corning Inc.,Information Technology
72,1632960000,852000000,2021,9,GLW,Corning Inc.,Information Technology
73,1640908800,849000000,2021,12,GLW,Corning Inc.,Information Technology
74,1648684800,843000000,2022,3,GLW,Corning Inc.,Information Technology
75,1656547200,843000000,2022,6,GLW,Corning Inc.,Information Technology
76,1668713266,843000000,2022,11,GLW,Corning Inc.,Information Technology
