,d,v,years,months,ticker_symbol,security,sector
0,983318400,105900000,2001,2,GPN,Global Payments,Information Technology
1,999216000,147131429,2001,8,GPN,Global Payments,Information Technology
2,1007078400,145537500,2001,11,GPN,Global Payments,Information Technology
3,1014854400,146785714,2002,2,GPN,Global Payments,Information Technology
4,1030752000,146130000,2002,8,GPN,Global Payments,Information Technology
5,1038614400,146832432,2002,11,GPN,Global Payments,Information Technology
6,1046390400,146630303,2003,2,GPN,Global Payments,Information Technology
7,1062288000,147209302,2003,8,GPN,Global Payments,Information Technology
8,1070150400,148720000,2003,11,GPN,Global Payments,Information Technology
9,1078012800,150027273,2004,2,GPN,Global Payments,Information Technology
10,1093910400,153638095,2004,8,GPN,Global Payments,Information Technology
11,1101772800,154609836,2004,11,GPN,Global Payments,Information Technology
12,1109548800,154450000,2005,2,GPN,Global Payments,Information Technology
13,1125446400,155635443,2005,8,GPN,Global Payments,Information Technology
14,1133308800,156989744,2005,11,GPN,Global Payments,Information Technology
15,1141084800,158478947,2006,2,GPN,Global Payments,Information Technology
16,1156982400,159650000,2006,8,GPN,Global Payments,Information Technology
17,1164844800,161914286,2006,11,GPN,Global Payments,Information Technology
18,1172620800,159516279,2007,2,GPN,Global Payments,Information Technology
19,1188518400,161388889,2007,8,GPN,Global Payments,Information Technology
20,1196380800,158054000,2007,11,GPN,Global Payments,Information Technology
21,1204243200,158438000,2008,2,GPN,Global Payments,Information Technology
22,1220140800,158924000,2008,8,GPN,Global Payments,Information Technology
23,1228003200,159470000,2008,11,GPN,Global Payments,Information Technology
24,1235779200,159670000,2009,2,GPN,Global Payments,Information Technology
25,1251676800,161108000,2009,8,GPN,Global Payments,Information Technology
26,1259539200,162472000,2009,11,GPN,Global Payments,Information Technology
27,1267315200,163078000,2010,2,GPN,Global Payments,Information Technology
28,1283212800,159194000,2010,8,GPN,Global Payments,Information Technology
29,1291075200,159402000,2010,11,GPN,Global Payments,Information Technology
30,1298851200,159794000,2011,2,GPN,Global Payments,Information Technology
31,1314748800,160152000,2011,8,GPN,Global Payments,Information Technology
32,1322611200,156696000,2011,11,GPN,Global Payments,Information Technology
33,1330473600,156842000,2012,2,GPN,Global Payments,Information Technology
34,1338422400,157078000,2012,5,GPN,Global Payments,Information Technology
35,1346371200,157208000,2012,8,GPN,Global Payments,Information Technology
36,1354233600,157502000,2012,11,GPN,Global Payments,Information Technology
37,1362009600,155512000,2013,2,GPN,Global Payments,Information Technology
38,1369958400,152068000,2013,5,GPN,Global Payments,Information Technology
39,1377907200,147530000,2013,8,GPN,Global Payments,Information Technology
40,1385769600,145948000,2013,11,GPN,Global Payments,Information Technology
41,1393545600,143670000,2014,2,GPN,Global Payments,Information Technology
42,1401494400,141414000,2014,5,GPN,Global Payments,Information Technology
43,1409443200,136292000,2014,8,GPN,Global Payments,Information Technology
44,1417305600,134754000,2014,11,GPN,Global Payments,Information Technology
45,1425081600,133780000,2015,2,GPN,Global Payments,Information Technology
46,1433030400,131488000,2015,5,GPN,Global Payments,Information Technology
47,1440979200,130328000,2015,8,GPN,Global Payments,Information Technology
48,1448841600,129505000,2015,11,GPN,Global Payments,Information Technology
49,1456704000,129287000,2016,2,GPN,Global Payments,Information Technology
50,1464652800,139952000,2016,5,GPN,Global Payments,Information Technology
51,1472601600,153901000,2016,8,GPN,Global Payments,Information Technology
52,1480464000,153173000,2016,11,GPN,Global Payments,Information Technology
53,1490918400,152304000,2017,3,GPN,Global Payments,Information Technology
54,1498780800,152525000,2017,6,GPN,Global Payments,Information Technology
55,1506729600,154560000,2017,9,GPN,Global Payments,Information Technology
56,1514678400,159143000,2017,12,GPN,Global Payments,Information Technology
57,1522454400,159321000,2018,3,GPN,Global Payments,Information Technology
58,1530316800,159003000,2018,6,GPN,Global Payments,Information Technology
59,1538265600,158168000,2018,9,GPN,Global Payments,Information Technology
60,1546214400,158213000,2018,12,GPN,Global Payments,Information Technology
61,1553990400,157519000,2019,3,GPN,Global Payments,Information Technology
62,1561852800,156768000,2019,6,GPN,Global Payments,Information Technology
63,1569801600,177039000,2019,9,GPN,Global Payments,Information Technology
64,1577750400,300528000,2019,12,GPN,Global Payments,Information Technology
65,1585612800,299388000,2020,3,GPN,Global Payments,Information Technology
66,1593475200,299140000,2020,6,GPN,Global Payments,Information Technology
67,1601424000,299255000,2020,9,GPN,Global Payments,Information Technology
68,1609372800,299106000,2020,12,GPN,Global Payments,Information Technology
69,1617148800,296425000,2021,3,GPN,Global Payments,Information Technology
70,1625011200,294914000,2021,6,GPN,Global Payments,Information Technology
71,1632960000,291502000,2021,9,GPN,Global Payments,Information Technology
72,1640908800,287887000,2021,12,GPN,Global Payments,Information Technology
73,1648684800,282100000,2022,3,GPN,Global Payments,Information Technology
74,1656547200,278181000,2022,6,GPN,Global Payments,Information Technology
75,1668713445,278181000,2022,11,GPN,Global Payments,Information Technology
