,d,v,years,months,ticker_symbol,security,sector
0,1422662400,1801000000,2015,1,HPE,Hewlett Packard Enterprise,Information Technology
1,1430352000,1801000000,2015,4,HPE,Hewlett Packard Enterprise,Information Technology
2,1438300800,1801000000,2015,7,HPE,Hewlett Packard Enterprise,Information Technology
3,1454198400,1761000000,2016,1,HPE,Hewlett Packard Enterprise,Information Technology
4,1461974400,1725000000,2016,4,HPE,Hewlett Packard Enterprise,Information Technology
5,1469923200,1681000000,2016,7,HPE,Hewlett Packard Enterprise,Information Technology
6,1477872000,1672000000,2016,10,HPE,Hewlett Packard Enterprise,Information Technology
7,1485820800,1669000000,2017,1,HPE,Hewlett Packard Enterprise,Information Technology
8,1493510400,1658000000,2017,4,HPE,Hewlett Packard Enterprise,Information Technology
9,1501459200,1641000000,2017,7,HPE,Hewlett Packard Enterprise,Information Technology
10,1509408000,1618000000,2017,10,HPE,Hewlett Packard Enterprise,Information Technology
11,1517356800,1591000000,2018,1,HPE,Hewlett Packard Enterprise,Information Technology
12,1525046400,1552000000,2018,4,HPE,Hewlett Packard Enterprise,Information Technology
13,1532995200,1513000000,2018,7,HPE,Hewlett Packard Enterprise,Information Technology
14,1540944000,1459000000,2018,10,HPE,Hewlett Packard Enterprise,Information Technology
15,1548892800,1401000000,2019,1,HPE,Hewlett Packard Enterprise,Information Technology
16,1556582400,1367000000,2019,4,HPE,Hewlett Packard Enterprise,Information Technology
17,1564531200,1334000000,2019,7,HPE,Hewlett Packard Enterprise,Information Technology
18,1572480000,1308000000,2019,10,HPE,Hewlett Packard Enterprise,Information Technology
19,1580428800,1300000000,2020,1,HPE,Hewlett Packard Enterprise,Information Technology
20,1588204800,1291000000,2020,4,HPE,Hewlett Packard Enterprise,Information Technology
21,1596153600,1292000000,2020,7,HPE,Hewlett Packard Enterprise,Information Technology
22,1604102400,1287000000,2020,10,HPE,Hewlett Packard Enterprise,Information Technology
23,1612051200,1300000000,2021,1,HPE,Hewlett Packard Enterprise,Information Technology
24,1619740800,1309000000,2021,4,HPE,Hewlett Packard Enterprise,Information Technology
25,1627689600,1314000000,2021,7,HPE,Hewlett Packard Enterprise,Information Technology
26,1635638400,1312000000,2021,10,HPE,Hewlett Packard Enterprise,Information Technology
27,1643587200,1304000000,2022,1,HPE,Hewlett Packard Enterprise,Information Technology
28,1651276800,1307000000,2022,4,HPE,Hewlett Packard Enterprise,Information Technology
29,1659225600,1305000000,2022,7,HPE,Hewlett Packard Enterprise,Information Technology
30,1668713461,1305000000,2022,11,HPE,Hewlett Packard Enterprise,Information Technology
