,d,v,years,months,ticker_symbol,security,sector
0,980899200,1929411765,2001,1,HPQ,HP Inc.,Information Technology
1,988588800,2233333333,2001,4,HPQ,HP Inc.,Information Technology
2,996537600,1850000000,2001,7,HPQ,HP Inc.,Information Technology
3,1012435200,1936000000,2002,1,HPQ,HP Inc.,Information Technology
4,1020124800,1938461538,2002,4,HPQ,HP Inc.,Information Technology
5,1028073600,3028358209,2002,7,HPQ,HP Inc.,Information Technology
6,1043971200,3004166667,2003,1,HPQ,HP Inc.,Information Technology
7,1051660800,2995454545,2003,4,HPQ,HP Inc.,Information Technology
8,1059609600,3048000000,2003,7,HPQ,HP Inc.,Information Technology
9,1075507200,3050000000,2004,1,HPQ,HP Inc.,Information Technology
10,1083283200,3043000000,2004,4,HPQ,HP Inc.,Information Technology
11,1091232000,3037000000,2004,7,HPQ,HP Inc.,Information Technology
12,1107129600,2908000000,2005,1,HPQ,HP Inc.,Information Technology
13,1114819200,2886000000,2005,4,HPQ,HP Inc.,Information Technology
14,1122768000,2873000000,2005,7,HPQ,HP Inc.,Information Technology
15,1138665600,2822000000,2006,1,HPQ,HP Inc.,Information Technology
16,1146355200,2809000000,2006,4,HPQ,HP Inc.,Information Technology
17,1154304000,2768000000,2006,7,HPQ,HP Inc.,Information Technology
18,1170201600,2705000000,2007,1,HPQ,HP Inc.,Information Technology
19,1177891200,2638000000,2007,4,HPQ,HP Inc.,Information Technology
20,1185840000,2600000000,2007,7,HPQ,HP Inc.,Information Technology
21,1201737600,2560000000,2008,1,HPQ,HP Inc.,Information Technology
22,1209513600,2473000000,2008,4,HPQ,HP Inc.,Information Technology
23,1217462400,2459000000,2008,7,HPQ,HP Inc.,Information Technology
24,1233360000,2410000000,2009,1,HPQ,HP Inc.,Information Technology
25,1241049600,2394000000,2009,4,HPQ,HP Inc.,Information Technology
26,1248998400,2382000000,2009,7,HPQ,HP Inc.,Information Technology
27,1264896000,2358000000,2010,1,HPQ,HP Inc.,Information Technology
28,1272585600,2345000000,2010,4,HPQ,HP Inc.,Information Technology
29,1280534400,2322000000,2010,7,HPQ,HP Inc.,Information Technology
30,1296432000,2182000000,2011,1,HPQ,HP Inc.,Information Technology
31,1304121600,2150000000,2011,4,HPQ,HP Inc.,Information Technology
32,1312070400,2054000000,2011,7,HPQ,HP Inc.,Information Technology
33,1327968000,1981000000,2012,1,HPQ,HP Inc.,Information Technology
34,1335744000,1979000000,2012,4,HPQ,HP Inc.,Information Technology
35,1343692800,1971000000,2012,7,HPQ,HP Inc.,Information Technology
36,1359590400,1953000000,2013,1,HPQ,HP Inc.,Information Technology
37,1367280000,1935000000,2013,4,HPQ,HP Inc.,Information Technology
38,1375228800,1929000000,2013,7,HPQ,HP Inc.,Information Technology
39,1383177600,1918000000,2013,10,HPQ,HP Inc.,Information Technology
40,1391126400,1907000000,2014,1,HPQ,HP Inc.,Information Technology
41,1398816000,1890000000,2014,4,HPQ,HP Inc.,Information Technology
42,1406764800,1870000000,2014,7,HPQ,HP Inc.,Information Technology
43,1414713600,1862000000,2014,10,HPQ,HP Inc.,Information Technology
44,1422662400,1833000000,2015,1,HPQ,HP Inc.,Information Technology
45,1430352000,1814000000,2015,4,HPQ,HP Inc.,Information Technology
46,1438300800,1805000000,2015,7,HPQ,HP Inc.,Information Technology
47,1446249600,1802000000,2015,10,HPQ,HP Inc.,Information Technology
48,1454198400,1776000000,2016,1,HPQ,HP Inc.,Information Technology
49,1461974400,1720000000,2016,4,HPQ,HP Inc.,Information Technology
50,1469923200,1711000000,2016,7,HPQ,HP Inc.,Information Technology
51,1477872000,1712000000,2016,10,HPQ,HP Inc.,Information Technology
52,1485820800,1704000000,2017,1,HPQ,HP Inc.,Information Technology
53,1493510400,1688000000,2017,4,HPQ,HP Inc.,Information Technology
54,1501459200,1681000000,2017,7,HPQ,HP Inc.,Information Technology
55,1509408000,1670000000,2017,10,HPQ,HP Inc.,Information Technology
56,1517356800,1650000000,2018,1,HPQ,HP Inc.,Information Technology
57,1525046400,1630000000,2018,4,HPQ,HP Inc.,Information Technology
58,1532995200,1582408508,2018,7,HPQ,HP Inc.,Information Technology
59,1540944000,1578000000,2018,10,HPQ,HP Inc.,Information Technology
60,1548892800,1556000000,2019,1,HPQ,HP Inc.,Information Technology
61,1556582400,1529000000,2019,4,HPQ,HP Inc.,Information Technology
62,1564531200,1499000000,2019,7,HPQ,HP Inc.,Information Technology
63,1572480000,1476000000,2019,10,HPQ,HP Inc.,Information Technology
64,1580428800,1454000000,2020,1,HPQ,HP Inc.,Information Technology
65,1588204800,1435000000,2020,4,HPQ,HP Inc.,Information Technology
66,1596153600,1417000000,2020,7,HPQ,HP Inc.,Information Technology
67,1604102400,1347000000,2020,10,HPQ,HP Inc.,Information Technology
68,1612051200,1285000000,2021,1,HPQ,HP Inc.,Information Technology
69,1619740800,1234000000,2021,4,HPQ,HP Inc.,Information Technology
70,1627689600,1185000000,2021,7,HPQ,HP Inc.,Information Technology
71,1635638400,1128000000,2021,10,HPQ,HP Inc.,Information Technology
72,1643587200,1081000000,2022,1,HPQ,HP Inc.,Information Technology
73,1651276800,1050000000,2022,4,HPQ,HP Inc.,Information Technology
74,1659225600,1024000000,2022,7,HPQ,HP Inc.,Information Technology
75,1668713478,1024000000,2022,11,HPQ,HP Inc.,Information Technology
