,d,v,years,months,ticker_symbol,security,sector
0,985996800,1740900000,2001,3,IBM,IBM,Information Technology
1,993859200,1738200000,2001,6,IBM,IBM,Information Technology
2,1001808000,1731800000,2001,9,IBM,IBM,Information Technology
3,1017532800,1718400000,2002,3,IBM,IBM,Information Technology
4,1025395200,1705000000,2002,6,IBM,IBM,Information Technology
5,1033344000,1690500000,2002,9,IBM,IBM,Information Technology
6,1049068800,1725300000,2003,3,IBM,IBM,Information Technology
7,1056931200,1729800000,2003,6,IBM,IBM,Information Technology
8,1064880000,1722600000,2003,9,IBM,IBM,Information Technology
9,1080691200,1691700000,2004,3,IBM,IBM,Information Technology
10,1088553600,1679600000,2004,6,IBM,IBM,Information Technology
11,1096502400,1669600000,2004,9,IBM,IBM,Information Technology
12,1112227200,1628700000,2005,3,IBM,IBM,Information Technology
13,1120089600,1603900000,2005,6,IBM,IBM,Information Technology
14,1128038400,1591300000,2005,9,IBM,IBM,Information Technology
15,1143763200,1564500000,2006,3,IBM,IBM,Information Technology
16,1151625600,1538100000,2006,6,IBM,IBM,Information Technology
17,1159574400,1513200000,2006,9,IBM,IBM,Information Technology
18,1175299200,1499500000,2007,3,IBM,IBM,Information Technology
19,1183161600,1437200000,2007,6,IBM,IBM,Information Technology
20,1191110400,1371400000,2007,9,IBM,IBM,Information Technology
21,1206921600,1383000000,2008,3,IBM,IBM,Information Technology
22,1214784000,1366300000,2008,6,IBM,IBM,Information Technology
23,1222732800,1350700000,2008,9,IBM,IBM,Information Technology
24,1238457600,1344300000,2009,3,IBM,IBM,Information Technology
25,1246320000,1326100000,2009,6,IBM,IBM,Information Technology
26,1254268800,1319900000,2009,9,IBM,IBM,Information Technology
27,1262217600,1318400000,2009,12,IBM,IBM,Information Technology
28,1269993600,1301200000,2010,3,IBM,IBM,Information Technology
29,1277856000,1278600000,2010,6,IBM,IBM,Information Technology
30,1285804800,1255200000,2010,9,IBM,IBM,Information Technology
31,1293753600,1240100000,2010,12,IBM,IBM,Information Technology
32,1301529600,1222200000,2011,3,IBM,IBM,Information Technology
33,1309392000,1204800000,2011,6,IBM,IBM,Information Technology
34,1317340800,1188600000,2011,9,IBM,IBM,Information Technology
35,1325289600,1172200000,2011,12,IBM,IBM,Information Technology
36,1333152000,1159100000,2012,3,IBM,IBM,Information Technology
37,1341014400,1149000000,2012,6,IBM,IBM,Information Technology
38,1348963200,1137200000,2012,9,IBM,IBM,Information Technology
39,1356912000,1124700000,2012,12,IBM,IBM,Information Technology
40,1364688000,1113700000,2013,3,IBM,IBM,Information Technology
41,1372550400,1100900000,2013,6,IBM,IBM,Information Technology
42,1380499200,1090900000,2013,9,IBM,IBM,Information Technology
43,1388448000,1072500000,2013,12,IBM,IBM,Information Technology
44,1396224000,1035200000,2014,3,IBM,IBM,Information Technology
45,1404086400,999600000,2014,6,IBM,IBM,Information Technology
46,1412035200,991800000,2014,9,IBM,IBM,Information Technology
47,1419984000,990400000,2014,12,IBM,IBM,Information Technology
48,1427760000,988100000,2015,3,IBM,IBM,Information Technology
49,1435622400,982300000,2015,6,IBM,IBM,Information Technology
50,1443571200,975100000,2015,9,IBM,IBM,Information Technology
51,1451520000,969400000,2015,12,IBM,IBM,Information Technology
52,1459382400,961700000,2016,3,IBM,IBM,Information Technology
53,1467244800,957400000,2016,6,IBM,IBM,Information Technology
54,1475193600,954000000,2016,9,IBM,IBM,Information Technology
55,1483142400,948600000,2016,12,IBM,IBM,Information Technology
56,1490918400,942400000,2017,3,IBM,IBM,Information Technology
57,1498780800,934900000,2017,6,IBM,IBM,Information Technology
58,1506729600,929400000,2017,9,IBM,IBM,Information Technology
59,1514678400,924500000,2017,12,IBM,IBM,Information Technology
60,1522454400,920700000,2018,3,IBM,IBM,Information Technology
61,1530316800,915100000,2018,6,IBM,IBM,Information Technology
62,1538265600,911200000,2018,9,IBM,IBM,Information Technology
63,1546214400,901300000,2018,12,IBM,IBM,Information Technology
64,1553990400,889600000,2019,3,IBM,IBM,Information Technology
65,1561852800,886300000,2019,6,IBM,IBM,Information Technology
66,1569801600,886000000,2019,9,IBM,IBM,Information Technology
67,1577750400,887100000,2019,12,IBM,IBM,Information Technology
68,1585612800,888000000,2020,3,IBM,IBM,Information Technology
69,1593475200,889400000,2020,6,IBM,IBM,Information Technology
70,1601424000,891400000,2020,9,IBM,IBM,Information Technology
71,1609372800,892600000,2020,12,IBM,IBM,Information Technology
72,1617148800,893600000,2021,3,IBM,IBM,Information Technology
73,1625011200,895000000,2021,6,IBM,IBM,Information Technology
74,1632960000,897100000,2021,9,IBM,IBM,Information Technology
75,1640908800,898200000,2021,12,IBM,IBM,Information Technology
76,1648684800,899300000,2022,3,IBM,IBM,Information Technology
77,1656547200,901500000,2022,6,IBM,IBM,Information Technology
78,1668713493,904100000,2022,11,IBM,IBM,Information Technology
