,d,v,years,months,ticker_symbol,security,sector
0,985996800,184510000,2001,3,KLAC,KLA Corporation,Information Technology
1,1001808000,187717000,2001,9,KLAC,KLA Corporation,Information Technology
2,1009756800,186200000,2001,12,KLAC,KLA Corporation,Information Technology
3,1017532800,187443000,2002,3,KLAC,KLA Corporation,Information Technology
4,1033344000,189279000,2002,9,KLAC,KLA Corporation,Information Technology
5,1041292800,189018000,2002,12,KLAC,KLA Corporation,Information Technology
6,1049068800,190064000,2003,3,KLAC,KLA Corporation,Information Technology
7,1064880000,192699000,2003,9,KLAC,KLA Corporation,Information Technology
8,1072828800,194872000,2003,12,KLAC,KLA Corporation,Information Technology
9,1080691200,196159000,2004,3,KLAC,KLA Corporation,Information Technology
10,1096502400,196110000,2004,9,KLAC,KLA Corporation,Information Technology
11,1104451200,195681000,2004,12,KLAC,KLA Corporation,Information Technology
12,1112227200,196883000,2005,3,KLAC,KLA Corporation,Information Technology
13,1128038400,197408000,2005,9,KLAC,KLA Corporation,Information Technology
14,1135987200,198236000,2005,12,KLAC,KLA Corporation,Information Technology
15,1143763200,199876000,2006,3,KLAC,KLA Corporation,Information Technology
16,1159574400,199416000,2006,9,KLAC,KLA Corporation,Information Technology
17,1167523200,199789000,2006,12,KLAC,KLA Corporation,Information Technology
18,1175299200,197930000,2007,3,KLAC,KLA Corporation,Information Technology
19,1191110400,187789000,2007,9,KLAC,KLA Corporation,Information Technology
20,1199059200,181241000,2007,12,KLAC,KLA Corporation,Information Technology
21,1206921600,178112000,2008,3,KLAC,KLA Corporation,Information Technology
22,1222732800,172088000,2008,9,KLAC,KLA Corporation,Information Technology
23,1230681600,169022000,2008,12,KLAC,KLA Corporation,Information Technology
24,1238457600,169934000,2009,3,KLAC,KLA Corporation,Information Technology
25,1254268800,170698000,2009,9,KLAC,KLA Corporation,Information Technology
26,1262217600,171408000,2009,12,KLAC,KLA Corporation,Information Technology
27,1269993600,171506000,2010,3,KLAC,KLA Corporation,Information Technology
28,1285804800,167187000,2010,9,KLAC,KLA Corporation,Information Technology
29,1293753600,166886000,2010,12,KLAC,KLA Corporation,Information Technology
30,1301529600,167629000,2011,3,KLAC,KLA Corporation,Information Technology
31,1309392000,167350000,2011,6,KLAC,KLA Corporation,Information Technology
32,1317340800,166684000,2011,9,KLAC,KLA Corporation,Information Technology
33,1325289600,166343000,2011,12,KLAC,KLA Corporation,Information Technology
34,1333152000,167070000,2012,3,KLAC,KLA Corporation,Information Technology
35,1341014400,166938000,2012,6,KLAC,KLA Corporation,Information Technology
36,1348963200,166531000,2012,9,KLAC,KLA Corporation,Information Technology
37,1356912000,166268000,2012,12,KLAC,KLA Corporation,Information Technology
38,1364688000,166234000,2013,3,KLAC,KLA Corporation,Information Technology
39,1372550400,165463000,2013,6,KLAC,KLA Corporation,Information Technology
40,1380499200,165886000,2013,9,KLAC,KLA Corporation,Information Technology
41,1388448000,166414000,2013,12,KLAC,KLA Corporation,Information Technology
42,1396224000,166253000,2014,3,KLAC,KLA Corporation,Information Technology
43,1404086400,165510000,2014,6,KLAC,KLA Corporation,Information Technology
44,1412035200,164845000,2014,9,KLAC,KLA Corporation,Information Technology
45,1419984000,164036000,2014,12,KLAC,KLA Corporation,Information Technology
46,1427760000,161559000,2015,3,KLAC,KLA Corporation,Information Technology
47,1435622400,158635000,2015,6,KLAC,KLA Corporation,Information Technology
48,1443571200,156820000,2015,9,KLAC,KLA Corporation,Information Technology
49,1451520000,155252000,2015,12,KLAC,KLA Corporation,Information Technology
50,1459382400,155690000,2016,3,KLAC,KLA Corporation,Information Technology
51,1467244800,155712000,2016,6,KLAC,KLA Corporation,Information Technology
52,1475193600,156129000,2016,9,KLAC,KLA Corporation,Information Technology
53,1483142400,156335000,2016,12,KLAC,KLA Corporation,Information Technology
54,1490918400,156749000,2017,3,KLAC,KLA Corporation,Information Technology
55,1498780800,156668000,2017,6,KLAC,KLA Corporation,Information Technology
56,1506729600,156826000,2017,9,KLAC,KLA Corporation,Information Technology
57,1514678400,156587000,2017,12,KLAC,KLA Corporation,Information Technology
58,1522454400,156221000,2018,3,KLAC,KLA Corporation,Information Technology
59,1530316800,155740000,2018,6,KLAC,KLA Corporation,Information Technology
60,1538265600,155221000,2018,9,KLAC,KLA Corporation,Information Technology
61,1546214400,152148000,2018,12,KLAC,KLA Corporation,Information Technology
62,1553990400,156349000,2019,3,KLAC,KLA Corporation,Information Technology
63,1561852800,160546000,2019,6,KLAC,KLA Corporation,Information Technology
64,1569801600,158697000,2019,9,KLAC,KLA Corporation,Information Technology
65,1577750400,157290000,2019,12,KLAC,KLA Corporation,Information Technology
66,1585612800,156067000,2020,3,KLAC,KLA Corporation,Information Technology
67,1593475200,155106000,2020,6,KLAC,KLA Corporation,Information Technology
68,1601424000,155281000,2020,9,KLAC,KLA Corporation,Information Technology
69,1609372800,154273000,2020,12,KLAC,KLA Corporation,Information Technology
70,1617148800,153801000,2021,3,KLAC,KLA Corporation,Information Technology
71,1625011200,152971000,2021,6,KLAC,KLA Corporation,Information Technology
72,1632960000,152330000,2021,9,KLAC,KLA Corporation,Information Technology
73,1640908800,151251000,2021,12,KLAC,KLA Corporation,Information Technology
74,1648684800,150145000,2022,3,KLAC,KLA Corporation,Information Technology
75,1656547200,148219000,2022,6,KLAC,KLA Corporation,Information Technology
76,1668713589,141829000,2022,11,KLAC,KLA Corporation,Information Technology
