,d,v,years,months,ticker_symbol,security,sector
0,1025395200,727780011,2002,6,MA,Mastercard,Information Technology
1,1033344000,999102579,2002,9,MA,Mastercard,Information Technology
2,1049068800,1000920015,2003,3,MA,Mastercard,Information Technology
3,1056931200,1010218765,2003,6,MA,Mastercard,Information Technology
4,1064880000,1005391907,2003,9,MA,Mastercard,Information Technology
5,1080691200,804256769,2004,3,MA,Mastercard,Information Technology
6,1088553600,901742438,2004,6,MA,Mastercard,Information Technology
7,1096502400,607295927,2004,9,MA,Mastercard,Information Technology
8,1112227200,1000000015,2005,3,MA,Mastercard,Information Technology
9,1120089600,1000000015,2005,6,MA,Mastercard,Information Technology
10,1128038400,1000000015,2005,9,MA,Mastercard,Information Technology
11,1143763200,1000000015,2006,3,MA,Mastercard,Information Technology
12,1151625600,1352520020,2006,6,MA,Mastercard,Information Technology
13,1159574400,1356840020,2006,9,MA,Mastercard,Information Technology
14,1175299200,1358470020,2007,3,MA,Mastercard,Information Technology
15,1183161600,1358650020,2007,6,MA,Mastercard,Information Technology
16,1191110400,1353570020,2007,9,MA,Mastercard,Information Technology
17,1206921600,1314260019,2008,3,MA,Mastercard,Information Technology
18,1214784000,1300730019,2008,6,MA,Mastercard,Information Technology
19,1222732800,1295360019,2008,9,MA,Mastercard,Information Technology
20,1238457600,1296360019,2009,3,MA,Mastercard,Information Technology
21,1246320000,1297430019,2009,6,MA,Mastercard,Information Technology
22,1254268800,1299360019,2009,9,MA,Mastercard,Information Technology
23,1269993600,1300000019,2010,3,MA,Mastercard,Information Technology
24,1277856000,1310000019,2010,6,MA,Mastercard,Information Technology
25,1285804800,1310000019,2010,9,MA,Mastercard,Information Technology
26,1301529600,1300000019,2011,3,MA,Mastercard,Information Technology
27,1309392000,1270000019,2011,6,MA,Mastercard,Information Technology
28,1317340800,1270000019,2011,9,MA,Mastercard,Information Technology
29,1325289600,1270000019,2011,12,MA,Mastercard,Information Technology
30,1333152000,1270000019,2012,3,MA,Mastercard,Information Technology
31,1341014400,1260000018,2012,6,MA,Mastercard,Information Technology
32,1348963200,1250000018,2012,9,MA,Mastercard,Information Technology
33,1356912000,1240000018,2012,12,MA,Mastercard,Information Technology
34,1364688000,1230000018,2013,3,MA,Mastercard,Information Technology
35,1372550400,1210000018,2013,6,MA,Mastercard,Information Technology
36,1380499200,1210000018,2013,9,MA,Mastercard,Information Technology
37,1388448000,12010000180,2013,12,MA,Mastercard,Information Technology
38,1396224000,1185000017,2014,3,MA,Mastercard,Information Technology
39,1404086400,1165000017,2014,6,MA,Mastercard,Information Technology
40,1412035200,1157000017,2014,9,MA,Mastercard,Information Technology
41,1419984000,1153000017,2014,12,MA,Mastercard,Information Technology
42,1427760000,1148000017,2015,3,MA,Mastercard,Information Technology
43,1435622400,1138000017,2015,6,MA,Mastercard,Information Technology
44,1443571200,1130000016,2015,9,MA,Mastercard,Information Technology
45,1451520000,1121000016,2015,12,MA,Mastercard,Information Technology
46,1459382400,1109000016,2016,3,MA,Mastercard,Information Technology
47,1467244800,1098000016,2016,6,MA,Mastercard,Information Technology
48,1475193600,1096000016,2016,9,MA,Mastercard,Information Technology
49,1483142400,1087000016,2016,12,MA,Mastercard,Information Technology
50,1490918400,1078000016,2017,3,MA,Mastercard,Information Technology
51,1498780800,1070000016,2017,6,MA,Mastercard,Information Technology
52,1506729600,1063000015,2017,9,MA,Mastercard,Information Technology
53,1514678400,1057000015,2017,12,MA,Mastercard,Information Technology
54,1522454400,1051000015,2018,3,MA,Mastercard,Information Technology
55,1530316800,1043000015,2018,6,MA,Mastercard,Information Technology
56,1538265600,1037000015,2018,9,MA,Mastercard,Information Technology
57,1546214400,1032000015,2018,12,MA,Mastercard,Information Technology
58,1553990400,1026000015,2019,3,MA,Mastercard,Information Technology
59,1561852800,1020000015,2019,6,MA,Mastercard,Information Technology
60,1569801600,1013000015,2019,9,MA,Mastercard,Information Technology
61,1577750400,1008000015,2019,12,MA,Mastercard,Information Technology
62,1585612800,1005000015,2020,3,MA,Mastercard,Information Technology
63,1593475200,1004000015,2020,6,MA,Mastercard,Information Technology
64,1601424000,1001000015,2020,9,MA,Mastercard,Information Technology
65,1609372800,996000014,2020,12,MA,Mastercard,Information Technology
66,1617148800,994000000,2021,3,MA,Mastercard,Information Technology
67,1625011200,990000000,2021,6,MA,Mastercard,Information Technology
68,1632960000,986000000,2021,9,MA,Mastercard,Information Technology
69,1640908800,982000000,2021,12,MA,Mastercard,Information Technology
70,1648684800,977000000,2022,3,MA,Mastercard,Information Technology
71,1656547200,971000000,2022,6,MA,Mastercard,Information Technology
72,1668713620,971000000,2022,11,MA,Mastercard,Information Technology
