,d,v,years,months,ticker_symbol,security,sector
0,985996800,10672000000,2001,3,MSFT,Microsoft,Information Technology
1,1001808000,10796000000,2001,9,MSFT,Microsoft,Information Technology
2,1009756800,10790000000,2001,12,MSFT,Microsoft,Information Technology
3,1017532800,10830000000,2002,3,MSFT,Microsoft,Information Technology
4,1033344000,10738000000,2002,9,MSFT,Microsoft,Information Technology
5,1041292800,10702000000,2002,12,MSFT,Microsoft,Information Technology
6,1049068800,10715000000,2003,3,MSFT,Microsoft,Information Technology
7,1064880000,10811000000,2003,9,MSFT,Microsoft,Information Technology
8,1072828800,10810000000,2003,12,MSFT,Microsoft,Information Technology
9,1080691200,10785000000,2004,3,MSFT,Microsoft,Information Technology
10,1096502400,10873000000,2004,9,MSFT,Microsoft,Information Technology
11,1104451200,10877000000,2004,12,MSFT,Microsoft,Information Technology
12,1112227200,10856000000,2005,3,MSFT,Microsoft,Information Technology
13,1128038400,10696000000,2005,9,MSFT,Microsoft,Information Technology
14,1135987200,10560000000,2005,12,MSFT,Microsoft,Information Technology
15,1143763200,10303000000,2006,3,MSFT,Microsoft,Information Technology
16,1159574400,9929000000,2006,9,MSFT,Microsoft,Information Technology
17,1167523200,9806000000,2006,12,MSFT,Microsoft,Information Technology
18,1175299200,9725000000,2007,3,MSFT,Microsoft,Information Technology
19,1191110400,9380000000,2007,9,MSFT,Microsoft,Information Technology
20,1199059200,9361000000,2007,12,MSFT,Microsoft,Information Technology
21,1206921600,9307000000,2008,3,MSFT,Microsoft,Information Technology
22,1222732800,9084000000,2008,9,MSFT,Microsoft,Information Technology
23,1230681600,8903000000,2008,12,MSFT,Microsoft,Information Technology
24,1238457600,8891000000,2009,3,MSFT,Microsoft,Information Technology
25,1254268800,8914000000,2009,9,MSFT,Microsoft,Information Technology
26,1262217600,8856000000,2009,12,MSFT,Microsoft,Information Technology
27,1269993600,8767000000,2010,3,MSFT,Microsoft,Information Technology
28,1285804800,8614000000,2010,9,MSFT,Microsoft,Information Technology
29,1293753600,8497000000,2010,12,MSFT,Microsoft,Information Technology
30,1301529600,8420000000,2011,3,MSFT,Microsoft,Information Technology
31,1317340800,8392000000,2011,9,MSFT,Microsoft,Information Technology
32,1325289600,8402000000,2011,12,MSFT,Microsoft,Information Technology
33,1333152000,8401000000,2012,3,MSFT,Microsoft,Information Technology
34,1341014400,8388000000,2012,6,MSFT,Microsoft,Information Technology
35,1348963200,8396000000,2012,9,MSFT,Microsoft,Information Technology
36,1356912000,8393000000,2012,12,MSFT,Microsoft,Information Technology
37,1364688000,8364000000,2013,3,MSFT,Microsoft,Information Technology
38,1372550400,8345000000,2013,6,MSFT,Microsoft,Information Technology
39,1380499200,8339000000,2013,9,MSFT,Microsoft,Information Technology
40,1388448000,8326000000,2013,12,MSFT,Microsoft,Information Technology
41,1396224000,8284000000,2014,3,MSFT,Microsoft,Information Technology
42,1404086400,8246000000,2014,6,MSFT,Microsoft,Information Technology
43,1412035200,8249000000,2014,9,MSFT,Microsoft,Information Technology
44,1419984000,8228000000,2014,12,MSFT,Microsoft,Information Technology
45,1427760000,8167000000,2015,3,MSFT,Microsoft,Information Technology
46,1435622400,8061000000,2015,6,MSFT,Microsoft,Information Technology
47,1443571200,7996000000,2015,9,MSFT,Microsoft,Information Technology
48,1451520000,7964000000,2015,12,MSFT,Microsoft,Information Technology
49,1459382400,7895000000,2016,3,MSFT,Microsoft,Information Technology
50,1467244800,7842000000,2016,6,MSFT,Microsoft,Information Technology
51,1475193600,7789000000,2016,9,MSFT,Microsoft,Information Technology
52,1483142400,7755000000,2016,12,MSFT,Microsoft,Information Technology
53,1490918400,7725000000,2017,3,MSFT,Microsoft,Information Technology
54,1498780800,7715000000,2017,6,MSFT,Microsoft,Information Technology
55,1506729600,7708000000,2017,9,MSFT,Microsoft,Information Technology
56,1514678400,7710000000,2017,12,MSFT,Microsoft,Information Technology
57,1522454400,7698000000,2018,3,MSFT,Microsoft,Information Technology
58,1530316800,7683000000,2018,6,MSFT,Microsoft,Information Technology
59,1538265600,7673000000,2018,9,MSFT,Microsoft,Information Technology
60,1546214400,7692000000,2018,12,MSFT,Microsoft,Information Technology
61,1553990400,7672000000,2019,3,MSFT,Microsoft,Information Technology
62,1561852800,7655000000,2019,6,MSFT,Microsoft,Information Technology
63,1569801600,7634000000,2019,9,MSFT,Microsoft,Information Technology
64,1577750400,7621000000,2019,12,MSFT,Microsoft,Information Technology
65,1585612800,7602000000,2020,3,MSFT,Microsoft,Information Technology
66,1593475200,7580000000,2020,6,MSFT,Microsoft,Information Technology
67,1601424000,7566000000,2020,9,MSFT,Microsoft,Information Technology
68,1609372800,7555000000,2020,12,MSFT,Microsoft,Information Technology
69,1617148800,7539000000,2021,3,MSFT,Microsoft,Information Technology
70,1625011200,7527000000,2021,6,MSFT,Microsoft,Information Technology
71,1632960000,7513000000,2021,9,MSFT,Microsoft,Information Technology
72,1640908800,7505000000,2021,12,MSFT,Microsoft,Information Technology
73,1648684800,7493000000,2022,3,MSFT,Microsoft,Information Technology
74,1656547200,7474000000,2022,6,MSFT,Microsoft,Information Technology
75,1668713670,7457000000,2022,11,MSFT,Microsoft,Information Technology
