,d,v,years,months,ticker_symbol,security,sector
0,983318400,593800000,2001,2,MU,Micron Technology,Information Technology
1,991267200,596300000,2001,5,MU,Micron Technology,Information Technology
2,1007078400,599200000,2001,11,MU,Micron Technology,Information Technology
3,1014854400,600500000,2002,2,MU,Micron Technology,Information Technology
4,1022803200,602300000,2002,5,MU,Micron Technology,Information Technology
5,1038614400,605200000,2002,11,MU,Micron Technology,Information Technology
6,1046390400,607200000,2003,2,MU,Micron Technology,Information Technology
7,1054339200,608300000,2003,5,MU,Micron Technology,Information Technology
8,1070150400,633800000,2003,11,MU,Micron Technology,Information Technology
9,1078012800,643200000,2004,2,MU,Micron Technology,Information Technology
10,1085961600,644200000,2004,5,MU,Micron Technology,Information Technology
11,1101772800,646000000,2004,11,MU,Micron Technology,Information Technology
12,1109548800,647100000,2005,2,MU,Micron Technology,Information Technology
13,1117497600,648200000,2005,5,MU,Micron Technology,Information Technology
14,1133308800,650100000,2005,11,MU,Micron Technology,Information Technology
15,1141084800,661500000,2006,2,MU,Micron Technology,Information Technology
16,1149033600,708600000,2006,5,MU,Micron Technology,Information Technology
17,1164844800,767000000,2006,11,MU,Micron Technology,Information Technology
18,1172620800,768700000,2007,2,MU,Micron Technology,Information Technology
19,1180569600,769900000,2007,5,MU,Micron Technology,Information Technology
20,1196380800,771900000,2007,11,MU,Micron Technology,Information Technology
21,1204243200,772400000,2008,2,MU,Micron Technology,Information Technology
22,1212192000,772800000,2008,5,MU,Micron Technology,Information Technology
23,1228003200,773300000,2008,11,MU,Micron Technology,Information Technology
24,1235779200,773900000,2009,2,MU,Micron Technology,Information Technology
25,1243728000,813300000,2009,5,MU,Micron Technology,Information Technology
26,1259539200,846300000,2009,11,MU,Micron Technology,Information Technology
27,1267315200,847600000,2010,2,MU,Micron Technology,Information Technology
28,1275264000,885400000,2010,5,MU,Micron Technology,Information Technology
29,1291075200,972900000,2010,11,MU,Micron Technology,Information Technology
30,1298851200,988100000,2011,2,MU,Micron Technology,Information Technology
31,1306800000,998900000,2011,5,MU,Micron Technology,Information Technology
32,1322611200,981400000,2011,11,MU,Micron Technology,Information Technology
33,1330473600,982800000,2012,2,MU,Micron Technology,Information Technology
34,1338422400,987300000,2012,5,MU,Micron Technology,Information Technology
35,1354233600,1013700000,2012,11,MU,Micron Technology,Information Technology
36,1362009600,1016000000,2013,2,MU,Micron Technology,Information Technology
37,1369958400,1024000000,2013,5,MU,Micron Technology,Information Technology
38,1377907200,1033200000,2013,8,MU,Micron Technology,Information Technology
39,1385769600,1046000000,2013,11,MU,Micron Technology,Information Technology
40,1393545600,1060000000,2014,2,MU,Micron Technology,Information Technology
41,1401494400,1067000000,2014,5,MU,Micron Technology,Information Technology
42,1409443200,1068000000,2014,8,MU,Micron Technology,Information Technology
43,1417305600,1070000000,2014,11,MU,Micron Technology,Information Technology
44,1425081600,1074000000,2015,2,MU,Micron Technology,Information Technology
45,1433030400,1073000000,2015,5,MU,Micron Technology,Information Technology
46,1440979200,1060000000,2015,8,MU,Micron Technology,Information Technology
47,1448841600,1035000000,2015,11,MU,Micron Technology,Information Technology
48,1456704000,1036000000,2016,2,MU,Micron Technology,Information Technology
49,1464652800,1036000000,2016,5,MU,Micron Technology,Information Technology
50,1472601600,1037000000,2016,8,MU,Micron Technology,Information Technology
51,1480464000,1040000000,2016,11,MU,Micron Technology,Information Technology
52,1488240000,1099000000,2017,2,MU,Micron Technology,Information Technology
53,1496188800,1106000000,2017,5,MU,Micron Technology,Information Technology
54,1504137600,1109000000,2017,8,MU,Micron Technology,Information Technology
55,1512000000,1134000000,2017,11,MU,Micron Technology,Information Technology
56,1519776000,1156000000,2018,2,MU,Micron Technology,Information Technology
57,1527724800,1159000000,2018,5,MU,Micron Technology,Information Technology
58,1535673600,1159000000,2018,8,MU,Micron Technology,Information Technology
59,1543536000,1133000000,2018,11,MU,Micron Technology,Information Technology
60,1551312000,1114000000,2019,2,MU,Micron Technology,Information Technology
61,1559260800,1105000000,2019,5,MU,Micron Technology,Information Technology
62,1567209600,1104000000,2019,8,MU,Micron Technology,Information Technology
63,1575072000,1107000000,2019,11,MU,Micron Technology,Information Technology
64,1582934400,1111000000,2020,2,MU,Micron Technology,Information Technology
65,1590883200,1111000000,2020,5,MU,Micron Technology,Information Technology
66,1598832000,1111000000,2020,8,MU,Micron Technology,Information Technology
67,1606694400,1115000000,2020,11,MU,Micron Technology,Information Technology
68,1614470400,1120000000,2021,2,MU,Micron Technology,Information Technology
69,1622419200,1121000000,2021,5,MU,Micron Technology,Information Technology
70,1630368000,1123000000,2021,8,MU,Micron Technology,Information Technology
71,1638230400,1119000000,2021,11,MU,Micron Technology,Information Technology
72,1646006400,1119000000,2022,2,MU,Micron Technology,Information Technology
73,1653955200,1112000000,2022,5,MU,Micron Technology,Information Technology
74,1668713652,1112000000,2022,11,MU,Micron Technology,Information Technology
