,d,v,years,months,ticker_symbol,security,sector
0,1325289600,106558215,2011,12,NOW,ServiceNow,Information Technology
1,1333152000,25123582,2012,3,NOW,ServiceNow,Information Technology
2,1341014400,27788547,2012,6,NOW,ServiceNow,Information Technology
3,1348963200,117698005,2012,9,NOW,ServiceNow,Information Technology
4,1356912000,124000655,2012,12,NOW,ServiceNow,Information Technology
5,1364688000,129782029,2013,3,NOW,ServiceNow,Information Technology
6,1372550400,134454085,2013,6,NOW,ServiceNow,Information Technology
7,1380499200,137456531,2013,9,NOW,ServiceNow,Information Technology
8,1388448000,139508838,2013,12,NOW,ServiceNow,Information Technology
9,1396224000,142060025,2014,3,NOW,ServiceNow,Information Technology
10,1404086400,144456675,2014,6,NOW,ServiceNow,Information Technology
11,1412035200,146335519,2014,9,NOW,ServiceNow,Information Technology
12,1419984000,148666257,2014,12,NOW,ServiceNow,Information Technology
13,1427760000,151601880,2015,3,NOW,ServiceNow,Information Technology
14,1435622400,154465367,2015,6,NOW,ServiceNow,Information Technology
15,1443571200,156930506,2015,9,NOW,ServiceNow,Information Technology
16,1451520000,159718874,2015,12,NOW,ServiceNow,Information Technology
17,1459382400,162067108,2016,3,NOW,ServiceNow,Information Technology
18,1467244800,163838755,2016,6,NOW,ServiceNow,Information Technology
19,1475193600,165378836,2016,9,NOW,ServiceNow,Information Technology
20,1483142400,166816643,2016,12,NOW,ServiceNow,Information Technology
21,1490918400,168742366,2017,3,NOW,ServiceNow,Information Technology
22,1498780800,170419083,2017,6,NOW,ServiceNow,Information Technology
23,1506729600,171883190,2017,9,NOW,ServiceNow,Information Technology
24,1514678400,173567143,2017,12,NOW,ServiceNow,Information Technology
25,1522454400,175482833,2018,3,NOW,ServiceNow,Information Technology
26,1530316800,177343176,2018,6,NOW,ServiceNow,Information Technology
27,1538265600,178719694,2018,9,NOW,ServiceNow,Information Technology
28,1546214400,179763953,2018,12,NOW,ServiceNow,Information Technology
29,1553990400,182061579,2019,3,NOW,ServiceNow,Information Technology
30,1561852800,186677622,2019,6,NOW,ServiceNow,Information Technology
31,1569801600,188074303,2019,9,NOW,ServiceNow,Information Technology
32,1577750400,189042000,2019,12,NOW,ServiceNow,Information Technology
33,1585612800,190163000,2020,3,NOW,ServiceNow,Information Technology
34,1593475200,191319000,2020,6,NOW,ServiceNow,Information Technology
35,1601424000,193237000,2020,9,NOW,ServiceNow,Information Technology
36,1609372800,195461000,2020,12,NOW,ServiceNow,Information Technology
37,1617148800,197000000,2021,3,NOW,ServiceNow,Information Technology
38,1625011200,198000000,2021,6,NOW,ServiceNow,Information Technology
39,1632960000,199000000,2021,9,NOW,ServiceNow,Information Technology
40,1640908800,199000000,2021,12,NOW,ServiceNow,Information Technology
41,1648684800,200000000,2022,3,NOW,ServiceNow,Information Technology
42,1656547200,201000000,2022,6,NOW,ServiceNow,Information Technology
43,1668713957,202000000,2022,11,NOW,ServiceNow,Information Technology
