,d,v,years,months,ticker_symbol,security,sector
0,980899200,322727000,2001,1,NTAP,NetApp,Information Technology
1,996537600,329336000,2001,7,NTAP,NetApp,Information Technology
2,1004486400,330440000,2001,10,NTAP,NetApp,Information Technology
3,1012435200,332403000,2002,1,NTAP,NetApp,Information Technology
4,1028073600,335783000,2002,7,NTAP,NetApp,Information Technology
5,1036022400,336605000,2002,10,NTAP,NetApp,Information Technology
6,1043971200,338345000,2003,1,NTAP,NetApp,Information Technology
7,1059609600,341687000,2003,7,NTAP,NetApp,Information Technology
8,1067558400,343725000,2003,10,NTAP,NetApp,Information Technology
9,1075507200,346305000,2004,1,NTAP,NetApp,Information Technology
10,1091232000,356743000,2004,7,NTAP,NetApp,Information Technology
11,1099180800,357787000,2004,10,NTAP,NetApp,Information Technology
12,1107129600,362563000,2005,1,NTAP,NetApp,Information Technology
13,1122768000,367438000,2005,7,NTAP,NetApp,Information Technology
14,1130716800,371002000,2005,10,NTAP,NetApp,Information Technology
15,1138665600,371768000,2006,1,NTAP,NetApp,Information Technology
16,1154304000,373869000,2006,7,NTAP,NetApp,Information Technology
17,1162252800,370659000,2006,10,NTAP,NetApp,Information Technology
18,1170201600,371287000,2007,1,NTAP,NetApp,Information Technology
19,1185840000,364457000,2007,7,NTAP,NetApp,Information Technology
20,1193788800,355665000,2007,10,NTAP,NetApp,Information Technology
21,1201737600,344275000,2008,1,NTAP,NetApp,Information Technology
22,1217462400,333855000,2008,7,NTAP,NetApp,Information Technology
23,1225411200,327319000,2008,10,NTAP,NetApp,Information Technology
24,1233360000,329026000,2009,1,NTAP,NetApp,Information Technology
25,1248998400,334537000,2009,7,NTAP,NetApp,Information Technology
26,1256947200,336667000,2009,10,NTAP,NetApp,Information Technology
27,1264896000,341439000,2010,1,NTAP,NetApp,Information Technology
28,1280534400,352400000,2010,7,NTAP,NetApp,Information Technology
29,1288483200,359100000,2010,10,NTAP,NetApp,Information Technology
30,1296432000,364800000,2011,1,NTAP,NetApp,Information Technology
31,1304121600,368100000,2011,4,NTAP,NetApp,Information Technology
32,1312070400,370300000,2011,7,NTAP,NetApp,Information Technology
33,1320019200,361500000,2011,10,NTAP,NetApp,Information Technology
34,1327968000,360300000,2012,1,NTAP,NetApp,Information Technology
35,1335744000,363400000,2012,4,NTAP,NetApp,Information Technology
36,1343692800,366100000,2012,7,NTAP,NetApp,Information Technology
37,1351641600,362000000,2012,10,NTAP,NetApp,Information Technology
38,1359590400,359500000,2013,1,NTAP,NetApp,Information Technology
39,1367280000,358600000,2013,4,NTAP,NetApp,Information Technology
40,1375228800,350900000,2013,7,NTAP,NetApp,Information Technology
41,1383177600,340700000,2013,10,NTAP,NetApp,Information Technology
42,1391126400,339400000,2014,1,NTAP,NetApp,Information Technology
43,1398816000,330200000,2014,4,NTAP,NetApp,Information Technology
44,1406764800,323500000,2014,7,NTAP,NetApp,Information Technology
45,1414713600,318100000,2014,10,NTAP,NetApp,Information Technology
46,1422662400,311600000,2015,1,NTAP,NetApp,Information Technology
47,1430352000,308800000,2015,4,NTAP,NetApp,Information Technology
48,1438300800,304000000,2015,7,NTAP,NetApp,Information Technology
49,1446249600,294000000,2015,10,NTAP,NetApp,Information Technology
50,1454198400,293000000,2016,1,NTAP,NetApp,Information Technology
51,1461974400,284000000,2016,4,NTAP,NetApp,Information Technology
52,1469923200,279000000,2016,7,NTAP,NetApp,Information Technology
53,1477872000,278000000,2016,10,NTAP,NetApp,Information Technology
54,1485820800,274000000,2017,1,NTAP,NetApp,Information Technology
55,1493510400,270000000,2017,4,NTAP,NetApp,Information Technology
56,1501459200,270000000,2017,7,NTAP,NetApp,Information Technology
57,1509408000,269000000,2017,10,NTAP,NetApp,Information Technology
58,1517356800,268000000,2018,1,NTAP,NetApp,Information Technology
59,1525046400,265000000,2018,4,NTAP,NetApp,Information Technology
60,1532995200,262000000,2018,7,NTAP,NetApp,Information Technology
61,1540944000,258000000,2018,10,NTAP,NetApp,Information Technology
62,1548892800,250000000,2019,1,NTAP,NetApp,Information Technology
63,1556582400,245000000,2019,4,NTAP,NetApp,Information Technology
64,1564531200,239000000,2019,7,NTAP,NetApp,Information Technology
65,1572480000,235000000,2019,10,NTAP,NetApp,Information Technology
66,1580428800,226000000,2020,1,NTAP,NetApp,Information Technology
67,1588204800,220000000,2020,4,NTAP,NetApp,Information Technology
68,1596153600,221000000,2020,7,NTAP,NetApp,Information Technology
69,1604102400,222000000,2020,10,NTAP,NetApp,Information Technology
70,1612051200,223000000,2021,1,NTAP,NetApp,Information Technology
71,1619740800,222000000,2021,4,NTAP,NetApp,Information Technology
72,1627689600,223000000,2021,7,NTAP,NetApp,Information Technology
73,1635638400,223000000,2021,10,NTAP,NetApp,Information Technology
74,1643587200,223000000,2022,1,NTAP,NetApp,Information Technology
75,1651276800,222000000,2022,4,NTAP,NetApp,Information Technology
76,1659225600,220000000,2022,7,NTAP,NetApp,Information Technology
77,1668713718,220000000,2022,11,NTAP,NetApp,Information Technology
