,d,v,years,months,ticker_symbol,security,sector
0,1238457600,215252000,2009,3,NXPI,NXP Semiconductors,Information Technology
1,1246320000,215252000,2009,6,NXPI,NXP Semiconductors,Information Technology
2,1254268800,215252000,2009,9,NXPI,NXP Semiconductors,Information Technology
3,1269993600,215252000,2010,3,NXPI,NXP Semiconductors,Information Technology
4,1277856000,215252000,2010,6,NXPI,NXP Semiconductors,Information Technology
5,1285804800,237295000,2010,9,NXPI,NXP Semiconductors,Information Technology
6,1301529600,250402000,2011,3,NXPI,NXP Semiconductors,Information Technology
7,1309392000,249957000,2011,6,NXPI,NXP Semiconductors,Information Technology
8,1317340800,248318000,2011,9,NXPI,NXP Semiconductors,Information Technology
9,1333152000,247979000,2012,3,NXPI,NXP Semiconductors,Information Technology
10,1341014400,248272000,2012,6,NXPI,NXP Semiconductors,Information Technology
11,1348963200,247498000,2012,9,NXPI,NXP Semiconductors,Information Technology
12,1356912000,248505000,2012,12,NXPI,NXP Semiconductors,Information Technology
13,1364688000,249668000,2013,3,NXPI,NXP Semiconductors,Information Technology
14,1372550400,249449000,2013,6,NXPI,NXP Semiconductors,Information Technology
15,1380499200,248794000,2013,9,NXPI,NXP Semiconductors,Information Technology
16,1388448000,246842000,2013,12,NXPI,NXP Semiconductors,Information Technology
17,1396224000,245300000,2014,3,NXPI,NXP Semiconductors,Information Technology
18,1404086400,239851000,2014,6,NXPI,NXP Semiconductors,Information Technology
19,1412035200,235095000,2014,9,NXPI,NXP Semiconductors,Information Technology
20,1419984000,232367000,2014,12,NXPI,NXP Semiconductors,Information Technology
21,1427760000,233116000,2015,3,NXPI,NXP Semiconductors,Information Technology
22,1435622400,232681000,2015,6,NXPI,NXP Semiconductors,Information Technology
23,1443571200,231545000,2015,9,NXPI,NXP Semiconductors,Information Technology
24,1451520000,262766000,2015,12,NXPI,NXP Semiconductors,Information Technology
25,1459382400,341830000,2016,3,NXPI,NXP Semiconductors,Information Technology
26,1467244800,341299000,2016,6,NXPI,NXP Semiconductors,Information Technology
27,1475193600,335858000,2016,9,NXPI,NXP Semiconductors,Information Technology
28,1483142400,334768000,2016,12,NXPI,NXP Semiconductors,Information Technology
29,1490918400,336396000,2017,3,NXPI,NXP Semiconductors,Information Technology
30,1498780800,337537000,2017,6,NXPI,NXP Semiconductors,Information Technology
31,1506729600,338586000,2017,9,NXPI,NXP Semiconductors,Information Technology
32,1514678400,342088000,2017,12,NXPI,NXP Semiconductors,Information Technology
33,1522454400,343661000,2018,3,NXPI,NXP Semiconductors,Information Technology
34,1530316800,344120000,2018,6,NXPI,NXP Semiconductors,Information Technology
35,1538265600,322533000,2018,9,NXPI,NXP Semiconductors,Information Technology
36,1546214400,293170000,2018,12,NXPI,NXP Semiconductors,Information Technology
37,1553990400,287227000,2019,3,NXPI,NXP Semiconductors,Information Technology
38,1561852800,281241000,2019,6,NXPI,NXP Semiconductors,Information Technology
39,1569801600,279074000,2019,9,NXPI,NXP Semiconductors,Information Technology
40,1577750400,280766000,2019,12,NXPI,NXP Semiconductors,Information Technology
41,1585612800,279933000,2020,3,NXPI,NXP Semiconductors,Information Technology
42,1593475200,279142000,2020,6,NXPI,NXP Semiconductors,Information Technology
43,1601424000,279467000,2020,9,NXPI,NXP Semiconductors,Information Technology
44,1609372800,280484000,2020,12,NXPI,NXP Semiconductors,Information Technology
45,1617148800,277526000,2021,3,NXPI,NXP Semiconductors,Information Technology
46,1625011200,272686000,2021,6,NXPI,NXP Semiconductors,Information Technology
47,1632960000,266557000,2021,9,NXPI,NXP Semiconductors,Information Technology
48,1640908800,265642000,2021,12,NXPI,NXP Semiconductors,Information Technology
49,1648684800,263089000,2022,3,NXPI,NXP Semiconductors,Information Technology
50,1656547200,262579000,2022,6,NXPI,NXP Semiconductors,Information Technology
51,1668713766,262579000,2022,11,NXPI,NXP Semiconductors,Information Technology
