,d,v,years,months,ticker_symbol,security,sector
0,985996800,172800000,2001,3,ON,ON Semiconductor,Information Technology
1,993859200,173500000,2001,6,ON,ON Semiconductor,Information Technology
2,1001808000,173900000,2001,9,ON,ON Semiconductor,Information Technology
3,1017532800,174800000,2002,3,ON,ON Semiconductor,Information Technology
4,1025395200,175500000,2002,6,ON,ON Semiconductor,Information Technology
5,1033344000,175800000,2002,9,ON,ON Semiconductor,Information Technology
6,1049068800,176400000,2003,3,ON,ON Semiconductor,Information Technology
7,1056931200,176800000,2003,6,ON,ON Semiconductor,Information Technology
8,1064880000,179500000,2003,9,ON,ON Semiconductor,Information Technology
9,1080691200,229500000,2004,3,ON,ON Semiconductor,Information Technology
10,1088553600,253300000,2004,6,ON,ON Semiconductor,Information Technology
11,1096502400,253900000,2004,9,ON,ON Semiconductor,Information Technology
12,1112227200,255000000,2005,3,ON,ON Semiconductor,Information Technology
13,1120089600,255300000,2005,6,ON,ON Semiconductor,Information Technology
14,1128038400,256100000,2005,9,ON,ON Semiconductor,Information Technology
15,1143763200,311800000,2006,3,ON,ON Semiconductor,Information Technology
16,1151625600,322800000,2006,6,ON,ON Semiconductor,Information Technology
17,1159574400,324900000,2006,9,ON,ON Semiconductor,Information Technology
18,1175299200,289500000,2007,3,ON,ON Semiconductor,Information Technology
19,1183161600,290900000,2007,6,ON,ON Semiconductor,Information Technology
20,1191110400,290600000,2007,9,ON,ON Semiconductor,Information Technology
21,1206921600,306800000,2008,3,ON,ON Semiconductor,Information Technology
22,1214784000,397200000,2008,6,ON,ON Semiconductor,Information Technology
23,1222732800,398900000,2008,9,ON,ON Semiconductor,Information Technology
24,1238457600,413600000,2009,3,ON,ON Semiconductor,Information Technology
25,1246320000,420700000,2009,6,ON,ON Semiconductor,Information Technology
26,1254268800,423300000,2009,9,ON,ON Semiconductor,Information Technology
27,1269993600,428100000,2010,3,ON,ON Semiconductor,Information Technology
28,1277856000,430300000,2010,6,ON,ON Semiconductor,Information Technology
29,1285804800,431600000,2010,9,ON,ON Semiconductor,Information Technology
30,1301529600,441400000,2011,3,ON,ON Semiconductor,Information Technology
31,1309392000,446200000,2011,6,ON,ON Semiconductor,Information Technology
32,1317340800,448800000,2011,9,ON,ON Semiconductor,Information Technology
33,1333152000,452500000,2012,3,ON,ON Semiconductor,Information Technology
34,1341014400,454500000,2012,6,ON,ON Semiconductor,Information Technology
35,1348963200,454600000,2012,9,ON,ON Semiconductor,Information Technology
36,1356912000,448600000,2012,12,ON,ON Semiconductor,Information Technology
37,1364688000,449500000,2013,3,ON,ON Semiconductor,Information Technology
38,1372550400,450700000,2013,6,ON,ON Semiconductor,Information Technology
39,1380499200,449300000,2013,9,ON,ON Semiconductor,Information Technology
40,1388448000,442500000,2013,12,ON,ON Semiconductor,Information Technology
41,1396224000,440400000,2014,3,ON,ON Semiconductor,Information Technology
42,1404086400,441100000,2014,6,ON,ON Semiconductor,Information Technology
43,1412035200,440700000,2014,9,ON,ON Semiconductor,Information Technology
44,1419984000,435900000,2014,12,ON,ON Semiconductor,Information Technology
45,1427760000,431400000,2015,3,ON,ON Semiconductor,Information Technology
46,1435622400,426900000,2015,6,ON,ON Semiconductor,Information Technology
47,1443571200,413700000,2015,9,ON,ON Semiconductor,Information Technology
48,1451520000,412500000,2015,12,ON,ON Semiconductor,Information Technology
49,1459382400,412600000,2016,3,ON,ON Semiconductor,Information Technology
50,1467244800,414900000,2016,6,ON,ON Semiconductor,Information Technology
51,1475193600,415800000,2016,9,ON,ON Semiconductor,Information Technology
52,1483142400,417300000,2016,12,ON,ON Semiconductor,Information Technology
53,1490918400,419800000,2017,3,ON,ON Semiconductor,Information Technology
54,1498780800,420800000,2017,6,ON,ON Semiconductor,Information Technology
55,1506729600,422200000,2017,9,ON,ON Semiconductor,Information Technology
56,1514678400,424300000,2017,12,ON,ON Semiconductor,Information Technology
57,1522454400,425900000,2018,3,ON,ON Semiconductor,Information Technology
58,1530316800,427000000,2018,6,ON,ON Semiconductor,Information Technology
59,1538265600,425500000,2018,9,ON,ON Semiconductor,Information Technology
60,1546214400,416900000,2018,12,ON,ON Semiconductor,Information Technology
61,1553990400,410600000,2019,3,ON,ON Semiconductor,Information Technology
62,1561852800,411900000,2019,6,ON,ON Semiconductor,Information Technology
63,1569801600,410400000,2019,9,ON,ON Semiconductor,Information Technology
64,1577750400,410800000,2019,12,ON,ON Semiconductor,Information Technology
65,1585612800,410600000,2020,3,ON,ON Semiconductor,Information Technology
66,1593475200,410100000,2020,6,ON,ON Semiconductor,Information Technology
67,1601424000,410800000,2020,9,ON,ON Semiconductor,Information Technology
68,1609372800,411300000,2020,12,ON,ON Semiconductor,Information Technology
69,1617148800,413400000,2021,3,ON,ON Semiconductor,Information Technology
70,1625011200,427700000,2021,6,ON,ON Semiconductor,Information Technology
71,1632960000,430600000,2021,9,ON,ON Semiconductor,Information Technology
72,1640908800,431100000,2021,12,ON,ON Semiconductor,Information Technology
73,1648684800,433300000,2022,3,ON,ON Semiconductor,Information Technology
74,1656547200,434200000,2022,6,ON,ON Semiconductor,Information Technology
75,1668713781,434200000,2022,11,ON,ON Semiconductor,Information Technology
