,d,v,years,months,ticker_symbol,security,sector
0,983318400,5595808000,2001,2,ORCL,Oracle Corporation,Information Technology
1,999216000,5579811000,2001,8,ORCL,Oracle Corporation,Information Technology
2,1007078400,5528372000,2001,11,ORCL,Oracle Corporation,Information Technology
3,1014854400,5492297000,2002,2,ORCL,Oracle Corporation,Information Technology
4,1030752000,5399000000,2002,8,ORCL,Oracle Corporation,Information Technology
5,1038614400,5309000000,2002,11,ORCL,Oracle Corporation,Information Technology
6,1046390400,5259000000,2003,2,ORCL,Oracle Corporation,Information Technology
7,1062288000,5230000000,2003,8,ORCL,Oracle Corporation,Information Technology
8,1070150400,5226000000,2003,11,ORCL,Oracle Corporation,Information Technology
9,1078012800,5218000000,2004,2,ORCL,Oracle Corporation,Information Technology
10,1093910400,5154000000,2004,8,ORCL,Oracle Corporation,Information Technology
11,1101772800,5123000000,2004,11,ORCL,Oracle Corporation,Information Technology
12,1109548800,5122000000,2005,2,ORCL,Oracle Corporation,Information Technology
13,1125446400,5148000000,2005,8,ORCL,Oracle Corporation,Information Technology
14,1133308800,5152000000,2005,11,ORCL,Oracle Corporation,Information Technology
15,1141084800,5207000000,2006,2,ORCL,Oracle Corporation,Information Technology
16,1156982400,5217000000,2006,8,ORCL,Oracle Corporation,Information Technology
17,1164844800,5184000000,2006,11,ORCL,Oracle Corporation,Information Technology
18,1172620800,5159000000,2007,2,ORCL,Oracle Corporation,Information Technology
19,1188518400,5110000000,2007,8,ORCL,Oracle Corporation,Information Technology
20,1196380800,5125000000,2007,11,ORCL,Oracle Corporation,Information Technology
21,1204243200,5148000000,2008,2,ORCL,Oracle Corporation,Information Technology
22,1220140800,5152000000,2008,8,ORCL,Oracle Corporation,Information Technology
23,1228003200,5127000000,2008,11,ORCL,Oracle Corporation,Information Technology
24,1235779200,5005000000,2009,2,ORCL,Oracle Corporation,Information Technology
25,1251676800,5009000000,2009,8,ORCL,Oracle Corporation,Information Technology
26,1259539200,5010000000,2009,11,ORCL,Oracle Corporation,Information Technology
27,1267315200,5015000000,2010,2,ORCL,Oracle Corporation,Information Technology
28,1283212800,5026000000,2010,8,ORCL,Oracle Corporation,Information Technology
29,1291075200,5044000000,2010,11,ORCL,Oracle Corporation,Information Technology
30,1298851200,5057000000,2011,2,ORCL,Oracle Corporation,Information Technology
31,1314748800,5062000000,2011,8,ORCL,Oracle Corporation,Information Technology
32,1322611200,5041000000,2011,11,ORCL,Oracle Corporation,Information Technology
33,1330473600,5007000000,2012,2,ORCL,Oracle Corporation,Information Technology
34,1346371200,4867000000,2012,8,ORCL,Oracle Corporation,Information Technology
35,1354233600,4792000000,2012,11,ORCL,Oracle Corporation,Information Technology
36,1362009600,4735000000,2013,2,ORCL,Oracle Corporation,Information Technology
37,1377907200,4608000000,2013,8,ORCL,Oracle Corporation,Information Technology
38,1385769600,4535000000,2013,11,ORCL,Oracle Corporation,Information Technology
39,1393545600,4496000000,2014,2,ORCL,Oracle Corporation,Information Technology
40,1409443200,4451000000,2014,8,ORCL,Oracle Corporation,Information Technology
41,1417305600,4417000000,2014,11,ORCL,Oracle Corporation,Information Technology
42,1425081600,4389000000,2015,2,ORCL,Oracle Corporation,Information Technology
43,1433030400,4359000000,2015,5,ORCL,Oracle Corporation,Information Technology
44,1440979200,4317000000,2015,8,ORCL,Oracle Corporation,Information Technology
45,1448841600,4239000000,2015,11,ORCL,Oracle Corporation,Information Technology
46,1456704000,4182000000,2016,2,ORCL,Oracle Corporation,Information Technology
47,1464652800,4147000000,2016,5,ORCL,Oracle Corporation,Information Technology
48,1472601600,4119000000,2016,8,ORCL,Oracle Corporation,Information Technology
49,1480464000,4104000000,2016,11,ORCL,Oracle Corporation,Information Technology
50,1488240000,4107000000,2017,2,ORCL,Oracle Corporation,Information Technology
51,1496188800,4132000000,2017,5,ORCL,Oracle Corporation,Information Technology
52,1504137600,4156000000,2017,8,ORCL,Oracle Corporation,Information Technology
53,1512000000,4160000000,2017,11,ORCL,Oracle Corporation,Information Technology
54,1519776000,4122000000,2018,2,ORCL,Oracle Corporation,Information Technology
55,1527724800,4046000000,2018,5,ORCL,Oracle Corporation,Information Technology
56,1535673600,3904000000,2018,8,ORCL,Oracle Corporation,Information Technology
57,1543536000,3720000000,2018,11,ORCL,Oracle Corporation,Information Technology
58,1551312000,3526000000,2019,2,ORCL,Oracle Corporation,Information Technology
59,1559260800,3389000000,2019,5,ORCL,Oracle Corporation,Information Technology
60,1567209600,3317000000,2019,8,ORCL,Oracle Corporation,Information Technology
61,1575072000,3245000000,2019,11,ORCL,Oracle Corporation,Information Technology
62,1582934400,3190000000,2020,2,ORCL,Oracle Corporation,Information Technology
63,1598832000,3041000000,2020,8,ORCL,Oracle Corporation,Information Technology
64,1606694400,2977000000,2020,11,ORCL,Oracle Corporation,Information Technology
65,1614470400,2913000000,2021,2,ORCL,Oracle Corporation,Information Technology
66,1622419200,2847000000,2021,5,ORCL,Oracle Corporation,Information Technology
67,1630368000,2769000000,2021,8,ORCL,Oracle Corporation,Information Technology
68,1638230400,2694000000,2021,11,ORCL,Oracle Corporation,Information Technology
69,1646006400,2670000000,2022,2,ORCL,Oracle Corporation,Information Technology
70,1661904000,2685000000,2022,8,ORCL,Oracle Corporation,Information Technology
71,1668713797,2685000000,2022,11,ORCL,Oracle Corporation,Information Technology
