,d,v,years,months,ticker_symbol,security,sector
0,983318400,373057000,2001,2,PAYX,Paychex,Information Technology
1,999216000,373978000,2001,8,PAYX,Paychex,Information Technology
2,1007078400,374512000,2001,11,PAYX,Paychex,Information Technology
3,1014854400,374922000,2002,2,PAYX,Paychex,Information Technology
4,1030752000,375955000,2002,8,PAYX,Paychex,Information Technology
5,1038614400,376191000,2002,11,PAYX,Paychex,Information Technology
6,1046390400,376356000,2003,2,PAYX,Paychex,Information Technology
7,1062288000,376836000,2003,8,PAYX,Paychex,Information Technology
8,1070150400,377263000,2003,11,PAYX,Paychex,Information Technology
9,1078012800,377601000,2004,2,PAYX,Paychex,Information Technology
10,1093910400,378107000,2004,8,PAYX,Paychex,Information Technology
11,1101772800,378265000,2004,11,PAYX,Paychex,Information Technology
12,1109548800,378403000,2005,2,PAYX,Paychex,Information Technology
13,1125446400,378810000,2005,8,PAYX,Paychex,Information Technology
14,1133308800,379268000,2005,11,PAYX,Paychex,Information Technology
15,1141084800,379680000,2006,2,PAYX,Paychex,Information Technology
16,1156982400,380360000,2006,8,PAYX,Paychex,Information Technology
17,1164844800,380747000,2006,11,PAYX,Paychex,Information Technology
18,1172620800,381475000,2007,2,PAYX,Paychex,Information Technology
19,1188518400,380539000,2007,8,PAYX,Paychex,Information Technology
20,1196380800,369914000,2007,11,PAYX,Paychex,Information Technology
21,1204243200,361178000,2008,2,PAYX,Paychex,Information Technology
22,1220140800,360629000,2008,8,PAYX,Paychex,Information Technology
23,1228003200,360812000,2008,11,PAYX,Paychex,Information Technology
24,1235779200,360821000,2009,2,PAYX,Paychex,Information Technology
25,1251676800,361208000,2009,8,PAYX,Paychex,Information Technology
26,1259539200,361392000,2009,11,PAYX,Paychex,Information Technology
27,1267315200,361417000,2010,2,PAYX,Paychex,Information Technology
28,1283212800,361600000,2010,8,PAYX,Paychex,Information Technology
29,1291075200,361700000,2010,11,PAYX,Paychex,Information Technology
30,1298851200,361800000,2011,2,PAYX,Paychex,Information Technology
31,1306800000,362000000,2011,5,PAYX,Paychex,Information Technology
32,1314748800,362200000,2011,8,PAYX,Paychex,Information Technology
33,1322611200,362400000,2011,11,PAYX,Paychex,Information Technology
34,1330473600,362500000,2012,2,PAYX,Paychex,Information Technology
35,1338422400,362600000,2012,5,PAYX,Paychex,Information Technology
36,1346371200,363000000,2012,8,PAYX,Paychex,Information Technology
37,1354233600,363600000,2012,11,PAYX,Paychex,Information Technology
38,1362009600,363800000,2013,2,PAYX,Paychex,Information Technology
39,1369958400,364600000,2013,5,PAYX,Paychex,Information Technology
40,1377907200,365300000,2013,8,PAYX,Paychex,Information Technology
41,1385769600,364900000,2013,11,PAYX,Paychex,Information Technology
42,1393545600,364200000,2014,2,PAYX,Paychex,Information Technology
43,1401494400,363500000,2014,5,PAYX,Paychex,Information Technology
44,1409443200,363100000,2014,8,PAYX,Paychex,Information Technology
45,1417305600,363000000,2014,11,PAYX,Paychex,Information Technology
46,1425081600,363200000,2015,2,PAYX,Paychex,Information Technology
47,1433030400,362300000,2015,5,PAYX,Paychex,Information Technology
48,1440979200,361100000,2015,8,PAYX,Paychex,Information Technology
49,1448841600,360700000,2015,11,PAYX,Paychex,Information Technology
50,1456704000,360500000,2016,2,PAYX,Paychex,Information Technology
51,1464652800,360300000,2016,5,PAYX,Paychex,Information Technology
52,1472601600,361000000,2016,8,PAYX,Paychex,Information Technology
53,1480464000,360200000,2016,11,PAYX,Paychex,Information Technology
54,1488240000,359000000,2017,2,PAYX,Paychex,Information Technology
55,1496188800,359300000,2017,5,PAYX,Paychex,Information Technology
56,1504137600,358900000,2017,8,PAYX,Paychex,Information Technology
57,1512000000,359100000,2017,11,PAYX,Paychex,Information Technology
58,1519776000,359200000,2018,2,PAYX,Paychex,Information Technology
59,1527724800,359000000,2018,5,PAYX,Paychex,Information Technology
60,1535673600,359100000,2018,8,PAYX,Paychex,Information Technology
61,1543536000,359100000,2018,11,PAYX,Paychex,Information Technology
62,1551312000,359200000,2019,2,PAYX,Paychex,Information Technology
63,1559260800,359400000,2019,5,PAYX,Paychex,Information Technology
64,1567209600,358600000,2019,8,PAYX,Paychex,Information Technology
65,1575072000,358100000,2019,11,PAYX,Paychex,Information Technology
66,1582934400,358500000,2020,2,PAYX,Paychex,Information Technology
67,1590883200,358700000,2020,5,PAYX,Paychex,Information Technology
68,1598832000,359100000,2020,8,PAYX,Paychex,Information Technology
69,1606694400,360000000,2020,11,PAYX,Paychex,Information Technology
70,1614470400,360600000,2021,2,PAYX,Paychex,Information Technology
71,1622419200,360200000,2021,5,PAYX,Paychex,Information Technology
72,1630368000,360100000,2021,8,PAYX,Paychex,Information Technology
73,1638230400,360700000,2021,11,PAYX,Paychex,Information Technology
74,1646006400,360900000,2022,2,PAYX,Paychex,Information Technology
75,1653955200,360800000,2022,5,PAYX,Paychex,Information Technology
76,1668713814,360100000,2022,11,PAYX,Paychex,Information Technology
