,d,v,years,months,ticker_symbol,security,sector
0,1396224000,1171000000,2014,3,PYPL,PayPal,Information Technology
1,1404086400,1171000000,2014,6,PYPL,PayPal,Information Technology
2,1412035200,1171000000,2014,9,PYPL,PayPal,Information Technology
3,1427760000,1220000000,2015,3,PYPL,PayPal,Information Technology
4,1435622400,1220000000,2015,6,PYPL,PayPal,Information Technology
5,1443571200,1221000000,2015,9,PYPL,PayPal,Information Technology
6,1451520000,1223000000,2015,12,PYPL,PayPal,Information Technology
7,1459382400,1216000000,2016,3,PYPL,PayPal,Information Technology
8,1467244800,1210000000,2016,6,PYPL,PayPal,Information Technology
9,1475193600,1207000000,2016,9,PYPL,PayPal,Information Technology
10,1483142400,1207000000,2016,12,PYPL,PayPal,Information Technology
11,1490918400,1203000000,2017,3,PYPL,PayPal,Information Technology
12,1498780800,1202000000,2017,6,PYPL,PayPal,Information Technology
13,1506729600,1202000000,2017,9,PYPL,PayPal,Information Technology
14,1514678400,1203000000,2017,12,PYPL,PayPal,Information Technology
15,1522454400,1192000000,2018,3,PYPL,PayPal,Information Technology
16,1530316800,1187000000,2018,6,PYPL,PayPal,Information Technology
17,1538265600,1181000000,2018,9,PYPL,PayPal,Information Technology
18,1546214400,1177000000,2018,12,PYPL,PayPal,Information Technology
19,1553990400,1171000000,2019,3,PYPL,PayPal,Information Technology
20,1561852800,1175000000,2019,6,PYPL,PayPal,Information Technology
21,1569801600,1175000000,2019,9,PYPL,PayPal,Information Technology
22,1577750400,1174000000,2019,12,PYPL,PayPal,Information Technology
23,1585612800,1173000000,2020,3,PYPL,PayPal,Information Technology
24,1593475200,1173000000,2020,6,PYPL,PayPal,Information Technology
25,1601424000,1172000000,2020,9,PYPL,PayPal,Information Technology
26,1617148800,1173000000,2021,3,PYPL,PayPal,Information Technology
27,1625011200,1174000000,2021,6,PYPL,PayPal,Information Technology
28,1632960000,1174000000,2021,9,PYPL,PayPal,Information Technology
29,1648684800,1163000000,2022,3,PYPL,PayPal,Information Technology
30,1656547200,1158000000,2022,6,PYPL,PayPal,Information Technology
31,1668713847,1158000000,2022,11,PYPL,PayPal,Information Technology
