,d,v,years,months,ticker_symbol,security,sector
0,1388448000,148468717,2013,12,QRVO,Qorvo,Information Technology
1,1404086400,148468717,2014,6,QRVO,Qorvo,Information Technology
2,1412035200,148468717,2014,9,QRVO,Qorvo,Information Technology
3,1419984000,148468717,2014,12,QRVO,Qorvo,Information Technology
4,1427760000,149059000,2015,3,QRVO,Qorvo,Information Technology
5,1435622400,149431000,2015,6,QRVO,Qorvo,Information Technology
6,1443571200,140976000,2015,9,QRVO,Qorvo,Information Technology
7,1451520000,137051000,2015,12,QRVO,Qorvo,Information Technology
8,1459382400,127386000,2016,3,QRVO,Qorvo,Information Technology
9,1467244800,127817000,2016,6,QRVO,Qorvo,Information Technology
10,1475193600,126995000,2016,9,QRVO,Qorvo,Information Technology
11,1483142400,126835484,2016,12,QRVO,Qorvo,Information Technology
12,1490918400,126464000,2017,3,QRVO,Qorvo,Information Technology
13,1498780800,127225000,2017,6,QRVO,Qorvo,Information Technology
14,1506729600,127137000,2017,9,QRVO,Qorvo,Information Technology
15,1514678400,126473000,2017,12,QRVO,Qorvo,Information Technology
16,1522454400,126322000,2018,3,QRVO,Qorvo,Information Technology
17,1530316800,125598000,2018,6,QRVO,Qorvo,Information Technology
18,1538265600,125046000,2018,9,QRVO,Qorvo,Information Technology
19,1546214400,124308000,2018,12,QRVO,Qorvo,Information Technology
20,1553990400,119063000,2019,3,QRVO,Qorvo,Information Technology
21,1561852800,117943000,2019,6,QRVO,Qorvo,Information Technology
22,1569801600,116294000,2019,9,QRVO,Qorvo,Information Technology
23,1577750400,115738000,2019,12,QRVO,Qorvo,Information Technology
24,1585612800,114625000,2020,3,QRVO,Qorvo,Information Technology
25,1593475200,114354000,2020,6,QRVO,Qorvo,Information Technology
26,1601424000,114111000,2020,9,QRVO,Qorvo,Information Technology
27,1609372800,113299000,2020,12,QRVO,Qorvo,Information Technology
28,1617148800,112557000,2021,3,QRVO,Qorvo,Information Technology
29,1625011200,111210000,2021,6,QRVO,Qorvo,Information Technology
30,1632960000,110461000,2021,9,QRVO,Qorvo,Information Technology
31,1640908800,108668000,2021,12,QRVO,Qorvo,Information Technology
32,1648684800,106303000,2022,3,QRVO,Qorvo,Information Technology
33,1656547200,103340000,2022,6,QRVO,Qorvo,Information Technology
34,1668713880,103340000,2022,11,QRVO,Qorvo,Information Technology
