,d,v,years,months,ticker_symbol,security,sector
0,980899200,123802000,2001,1,SNPS,Synopsys,Information Technology
1,988588800,121552000,2001,4,SNPS,Synopsys,Information Technology
2,996537600,120096000,2001,7,SNPS,Synopsys,Information Technology
3,1012435200,120272000,2002,1,SNPS,Synopsys,Information Technology
4,1020124800,122464000,2002,4,SNPS,Synopsys,Information Technology
5,1028073600,142314000,2002,7,SNPS,Synopsys,Information Technology
6,1043971200,148130000,2003,1,SNPS,Synopsys,Information Technology
7,1051660800,148702000,2003,4,SNPS,Synopsys,Information Technology
8,1059609600,153240000,2003,7,SNPS,Synopsys,Information Technology
9,1075507200,156316000,2004,1,SNPS,Synopsys,Information Technology
10,1083283200,154806000,2004,4,SNPS,Synopsys,Information Technology
11,1091232000,155199000,2004,7,SNPS,Synopsys,Information Technology
12,1107129600,146060000,2005,1,SNPS,Synopsys,Information Technology
13,1114819200,144801000,2005,4,SNPS,Synopsys,Information Technology
14,1122768000,143830000,2005,7,SNPS,Synopsys,Information Technology
15,1138665600,144989000,2006,1,SNPS,Synopsys,Information Technology
16,1146355200,143352000,2006,4,SNPS,Synopsys,Information Technology
17,1154304000,142538000,2006,7,SNPS,Synopsys,Information Technology
18,1170201600,142772000,2007,1,SNPS,Synopsys,Information Technology
19,1177891200,144370000,2007,4,SNPS,Synopsys,Information Technology
20,1185840000,143820000,2007,7,SNPS,Synopsys,Information Technology
21,1201737600,146001000,2008,1,SNPS,Synopsys,Information Technology
22,1209513600,141844000,2008,4,SNPS,Synopsys,Information Technology
23,1217462400,142536000,2008,7,SNPS,Synopsys,Information Technology
24,1233360000,141865000,2009,1,SNPS,Synopsys,Information Technology
25,1241049600,143275000,2009,4,SNPS,Synopsys,Information Technology
26,1248998400,144138000,2009,7,SNPS,Synopsys,Information Technology
27,1264896000,146830000,2010,1,SNPS,Synopsys,Information Technology
28,1272585600,148890000,2010,4,SNPS,Synopsys,Information Technology
29,1280534400,148006000,2010,7,SNPS,Synopsys,Information Technology
30,1296432000,149016000,2011,1,SNPS,Synopsys,Information Technology
31,1304121600,148461000,2011,4,SNPS,Synopsys,Information Technology
32,1312070400,144960000,2011,7,SNPS,Synopsys,Information Technology
33,1320019200,143855000,2011,10,SNPS,Synopsys,Information Technology
34,1327968000,143882000,2012,1,SNPS,Synopsys,Information Technology
35,1335744000,145948000,2012,4,SNPS,Synopsys,Information Technology
36,1343692800,147801000,2012,7,SNPS,Synopsys,Information Technology
37,1359590400,151477000,2013,1,SNPS,Synopsys,Information Technology
38,1367280000,153515000,2013,4,SNPS,Synopsys,Information Technology
39,1375228800,153915000,2013,7,SNPS,Synopsys,Information Technology
40,1383177600,154369000,2013,10,SNPS,Synopsys,Information Technology
41,1391126400,154066000,2014,1,SNPS,Synopsys,Information Technology
42,1398816000,154572000,2014,4,SNPS,Synopsys,Information Technology
43,1406764800,155194000,2014,7,SNPS,Synopsys,Information Technology
44,1414713600,156385000,2014,10,SNPS,Synopsys,Information Technology
45,1422662400,154458000,2015,1,SNPS,Synopsys,Information Technology
46,1430352000,154515000,2015,4,SNPS,Synopsys,Information Technology
47,1438300800,155533000,2015,7,SNPS,Synopsys,Information Technology
48,1446249600,155322000,2015,10,SNPS,Synopsys,Information Technology
49,1454198400,152968000,2016,1,SNPS,Synopsys,Information Technology
50,1461974400,152250000,2016,4,SNPS,Synopsys,Information Technology
51,1469923200,151169000,2016,7,SNPS,Synopsys,Information Technology
52,1477872000,151681000,2016,10,SNPS,Synopsys,Information Technology
53,1485820800,150782000,2017,1,SNPS,Synopsys,Information Technology
54,1493510400,150384000,2017,4,SNPS,Synopsys,Information Technology
55,1501459200,150214000,2017,7,SNPS,Synopsys,Information Technology
56,1509408000,150448000,2017,10,SNPS,Synopsys,Information Technology
57,1517356800,149441000,2018,1,SNPS,Synopsys,Information Technology
58,1525046400,149034000,2018,4,SNPS,Synopsys,Information Technology
59,1532995200,148490000,2018,7,SNPS,Synopsys,Information Technology
60,1540944000,149148000,2018,10,SNPS,Synopsys,Information Technology
61,1548892800,149288000,2019,1,SNPS,Synopsys,Information Technology
62,1556582400,149712000,2019,4,SNPS,Synopsys,Information Technology
63,1564531200,150123000,2019,7,SNPS,Synopsys,Information Technology
64,1572480000,150367000,2019,10,SNPS,Synopsys,Information Technology
65,1580428800,150244000,2020,1,SNPS,Synopsys,Information Technology
66,1588204800,150597000,2020,4,SNPS,Synopsys,Information Technology
67,1596153600,151352000,2020,7,SNPS,Synopsys,Information Technology
68,1604102400,152349000,2020,10,SNPS,Synopsys,Information Technology
69,1612051200,152498000,2021,1,SNPS,Synopsys,Information Technology
70,1619740800,152725000,2021,4,SNPS,Synopsys,Information Technology
71,1627689600,152635000,2021,7,SNPS,Synopsys,Information Technology
72,1635638400,152932000,2021,10,SNPS,Synopsys,Information Technology
73,1643587200,153218000,2022,1,SNPS,Synopsys,Information Technology
74,1651276800,153090000,2022,4,SNPS,Synopsys,Information Technology
75,1659225600,152938000,2022,7,SNPS,Synopsys,Information Technology
76,1668714004,152938000,2022,11,SNPS,Synopsys,Information Technology
