,d,v,years,months,ticker_symbol,security,sector
0,993859200,43601000,2001,6,SWKS,Skyworks Solutions,Information Technology
1,1001808000,44037000,2001,9,SWKS,Skyworks Solutions,Information Technology
2,1009756800,44162000,2001,12,SWKS,Skyworks Solutions,Information Technology
3,1025395200,94519000,2002,6,SWKS,Skyworks Solutions,Information Technology
4,1041292800,137896000,2002,12,SWKS,Skyworks Solutions,Information Technology
5,1049068800,138141000,2003,3,SWKS,Skyworks Solutions,Information Technology
6,1056931200,138729000,2003,6,SWKS,Skyworks Solutions,Information Technology
7,1072828800,148784000,2003,12,SWKS,Skyworks Solutions,Information Technology
8,1080691200,149396000,2004,3,SWKS,Skyworks Solutions,Information Technology
9,1088553600,153062000,2004,6,SWKS,Skyworks Solutions,Information Technology
10,1104451200,156440000,2004,12,SWKS,Skyworks Solutions,Information Technology
11,1112227200,157235000,2005,3,SWKS,Skyworks Solutions,Information Technology
12,1120089600,157809000,2005,6,SWKS,Skyworks Solutions,Information Technology
13,1135987200,158573000,2005,12,SWKS,Skyworks Solutions,Information Technology
14,1143763200,159084000,2006,3,SWKS,Skyworks Solutions,Information Technology
15,1151625600,159699000,2006,6,SWKS,Skyworks Solutions,Information Technology
16,1167523200,161183000,2006,12,SWKS,Skyworks Solutions,Information Technology
17,1175299200,160687000,2007,3,SWKS,Skyworks Solutions,Information Technology
18,1183161600,158606000,2007,6,SWKS,Skyworks Solutions,Information Technology
19,1199059200,160319000,2007,12,SWKS,Skyworks Solutions,Information Technology
20,1206921600,161165000,2008,3,SWKS,Skyworks Solutions,Information Technology
21,1214784000,162095000,2008,6,SWKS,Skyworks Solutions,Information Technology
22,1230681600,164855000,2008,12,SWKS,Skyworks Solutions,Information Technology
23,1238457600,165997000,2009,3,SWKS,Skyworks Solutions,Information Technology
24,1246320000,167062000,2009,6,SWKS,Skyworks Solutions,Information Technology
25,1262217600,172717000,2009,12,SWKS,Skyworks Solutions,Information Technology
26,1269993600,174449000,2010,3,SWKS,Skyworks Solutions,Information Technology
27,1277856000,175495000,2010,6,SWKS,Skyworks Solutions,Information Technology
28,1293753600,180706000,2010,12,SWKS,Skyworks Solutions,Information Technology
29,1301529600,183471000,2011,3,SWKS,Skyworks Solutions,Information Technology
30,1309392000,183750000,2011,6,SWKS,Skyworks Solutions,Information Technology
31,1317340800,183591000,2011,9,SWKS,Skyworks Solutions,Information Technology
32,1325289600,183956000,2011,12,SWKS,Skyworks Solutions,Information Technology
33,1333152000,185206000,2012,3,SWKS,Skyworks Solutions,Information Technology
34,1341014400,186269000,2012,6,SWKS,Skyworks Solutions,Information Technology
35,1348963200,187926000,2012,9,SWKS,Skyworks Solutions,Information Technology
36,1356912000,189377000,2012,12,SWKS,Skyworks Solutions,Information Technology
37,1364688000,188700000,2013,3,SWKS,Skyworks Solutions,Information Technology
38,1372550400,186600000,2013,6,SWKS,Skyworks Solutions,Information Technology
39,1380499200,185200000,2013,9,SWKS,Skyworks Solutions,Information Technology
40,1388448000,186200000,2013,12,SWKS,Skyworks Solutions,Information Technology
41,1396224000,187400000,2014,3,SWKS,Skyworks Solutions,Information Technology
42,1404086400,187500000,2014,6,SWKS,Skyworks Solutions,Information Technology
43,1412035200,187500000,2014,9,SWKS,Skyworks Solutions,Information Technology
44,1419984000,188700000,2014,12,SWKS,Skyworks Solutions,Information Technology
45,1427760000,189900000,2015,3,SWKS,Skyworks Solutions,Information Technology
46,1435622400,190000000,2015,6,SWKS,Skyworks Solutions,Information Technology
47,1443571200,189600000,2015,9,SWKS,Skyworks Solutions,Information Technology
48,1451520000,190400000,2015,12,SWKS,Skyworks Solutions,Information Technology
49,1459382400,190200000,2016,3,SWKS,Skyworks Solutions,Information Technology
50,1467244800,188700000,2016,6,SWKS,Skyworks Solutions,Information Technology
51,1475193600,185700000,2016,9,SWKS,Skyworks Solutions,Information Technology
52,1483142400,184800000,2016,12,SWKS,Skyworks Solutions,Information Technology
53,1490918400,184800000,2017,3,SWKS,Skyworks Solutions,Information Technology
54,1498780800,184200000,2017,6,SWKS,Skyworks Solutions,Information Technology
55,1506729600,183400000,2017,9,SWKS,Skyworks Solutions,Information Technology
56,1514678400,183100000,2017,12,SWKS,Skyworks Solutions,Information Technology
57,1522454400,182500000,2018,3,SWKS,Skyworks Solutions,Information Technology
58,1530316800,181200000,2018,6,SWKS,Skyworks Solutions,Information Technology
59,1538265600,178600000,2018,9,SWKS,Skyworks Solutions,Information Technology
60,1546214400,176600000,2018,12,SWKS,Skyworks Solutions,Information Technology
61,1553990400,173800000,2019,3,SWKS,Skyworks Solutions,Information Technology
62,1561852800,172600000,2019,6,SWKS,Skyworks Solutions,Information Technology
63,1569801600,171200000,2019,9,SWKS,Skyworks Solutions,Information Technology
64,1577750400,170200000,2019,12,SWKS,Skyworks Solutions,Information Technology
65,1585612800,170000000,2020,3,SWKS,Skyworks Solutions,Information Technology
66,1593475200,167000000,2020,6,SWKS,Skyworks Solutions,Information Technology
67,1601424000,166600000,2020,9,SWKS,Skyworks Solutions,Information Technology
68,1609372800,165400000,2020,12,SWKS,Skyworks Solutions,Information Technology
69,1617148800,165000000,2021,3,SWKS,Skyworks Solutions,Information Technology
70,1625011200,165100000,2021,6,SWKS,Skyworks Solutions,Information Technology
71,1640908800,165100000,2021,12,SWKS,Skyworks Solutions,Information Technology
72,1648684800,163700000,2022,3,SWKS,Skyworks Solutions,Information Technology
73,1656547200,160900000,2022,6,SWKS,Skyworks Solutions,Information Technology
74,1668713973,160900000,2022,11,SWKS,Skyworks Solutions,Information Technology
