,d,v,years,months,ticker_symbol,security,sector
0,1151625600,497000000,2006,6,TEL,TE Connectivity,Information Technology
1,1167523200,497000000,2006,12,TEL,TE Connectivity,Information Technology
2,1175299200,497000000,2007,3,TEL,TE Connectivity,Information Technology
3,1183161600,497000000,2007,6,TEL,TE Connectivity,Information Technology
4,1199059200,496000000,2007,12,TEL,TE Connectivity,Information Technology
5,1206921600,486000000,2008,3,TEL,TE Connectivity,Information Technology
6,1214784000,478000000,2008,6,TEL,TE Connectivity,Information Technology
7,1230681600,459000000,2008,12,TEL,TE Connectivity,Information Technology
8,1238457600,458000000,2009,3,TEL,TE Connectivity,Information Technology
9,1246320000,458000000,2009,6,TEL,TE Connectivity,Information Technology
10,1262217600,459000000,2009,12,TEL,TE Connectivity,Information Technology
11,1269993600,457000000,2010,3,TEL,TE Connectivity,Information Technology
12,1277856000,451000000,2010,6,TEL,TE Connectivity,Information Technology
13,1293753600,444000000,2010,12,TEL,TE Connectivity,Information Technology
14,1301529600,443000000,2011,3,TEL,TE Connectivity,Information Technology
15,1309392000,437000000,2011,6,TEL,TE Connectivity,Information Technology
16,1325289600,425000000,2011,12,TEL,TE Connectivity,Information Technology
17,1333152000,427000000,2012,3,TEL,TE Connectivity,Information Technology
18,1341014400,428000000,2012,6,TEL,TE Connectivity,Information Technology
19,1356912000,422000000,2012,12,TEL,TE Connectivity,Information Technology
20,1364688000,420000000,2013,3,TEL,TE Connectivity,Information Technology
21,1372550400,415000000,2013,6,TEL,TE Connectivity,Information Technology
22,1380499200,413000000,2013,9,TEL,TE Connectivity,Information Technology
23,1388448000,411000000,2013,12,TEL,TE Connectivity,Information Technology
24,1396224000,410000000,2014,3,TEL,TE Connectivity,Information Technology
25,1404086400,409000000,2014,6,TEL,TE Connectivity,Information Technology
26,1412035200,409000000,2014,9,TEL,TE Connectivity,Information Technology
27,1419984000,407000000,2014,12,TEL,TE Connectivity,Information Technology
28,1427760000,407000000,2015,3,TEL,TE Connectivity,Information Technology
29,1435622400,406000000,2015,6,TEL,TE Connectivity,Information Technology
30,1443571200,400000000,2015,9,TEL,TE Connectivity,Information Technology
31,1451520000,385000000,2015,12,TEL,TE Connectivity,Information Technology
32,1459382400,364000000,2016,3,TEL,TE Connectivity,Information Technology
33,1467244800,357000000,2016,6,TEL,TE Connectivity,Information Technology
34,1475193600,355000000,2016,9,TEL,TE Connectivity,Information Technology
35,1483142400,356000000,2016,12,TEL,TE Connectivity,Information Technology
36,1490918400,356000000,2017,3,TEL,TE Connectivity,Information Technology
37,1498780800,355000000,2017,6,TEL,TE Connectivity,Information Technology
38,1506729600,353000000,2017,9,TEL,TE Connectivity,Information Technology
39,1514678400,352000000,2017,12,TEL,TE Connectivity,Information Technology
40,1522454400,351000000,2018,3,TEL,TE Connectivity,Information Technology
41,1530316800,349000000,2018,6,TEL,TE Connectivity,Information Technology
42,1538265600,347000000,2018,9,TEL,TE Connectivity,Information Technology
43,1546214400,342000000,2018,12,TEL,TE Connectivity,Information Technology
44,1553990400,338000000,2019,3,TEL,TE Connectivity,Information Technology
45,1561852800,337000000,2019,6,TEL,TE Connectivity,Information Technology
46,1569801600,336000000,2019,9,TEL,TE Connectivity,Information Technology
47,1577750400,335000000,2019,12,TEL,TE Connectivity,Information Technology
48,1585612800,334000000,2020,3,TEL,TE Connectivity,Information Technology
49,1593475200,330000000,2020,6,TEL,TE Connectivity,Information Technology
50,1601424000,330000000,2020,9,TEL,TE Connectivity,Information Technology
51,1609372800,331000000,2020,12,TEL,TE Connectivity,Information Technology
52,1617148800,331000000,2021,3,TEL,TE Connectivity,Information Technology
53,1625011200,330000000,2021,6,TEL,TE Connectivity,Information Technology
54,1632960000,328000000,2021,9,TEL,TE Connectivity,Information Technology
55,1640908800,327000000,2021,12,TEL,TE Connectivity,Information Technology
56,1648684800,325000000,2022,3,TEL,TE Connectivity,Information Technology
57,1656547200,322000000,2022,6,TEL,TE Connectivity,Information Technology
58,1668714022,322000000,2022,11,TEL,TE Connectivity,Information Technology
