,d,v,years,months,ticker_symbol,security,sector
0,985996800,47179000,2001,3,TYL,Tyler Technologies,Information Technology
1,993859200,47149000,2001,6,TYL,Tyler Technologies,Information Technology
2,1001808000,47171000,2001,9,TYL,Tyler Technologies,Information Technology
3,1017532800,47386000,2002,3,TYL,Tyler Technologies,Information Technology
4,1025395200,47647000,2002,6,TYL,Tyler Technologies,Information Technology
5,1033344000,47173000,2002,9,TYL,Tyler Technologies,Information Technology
6,1049068800,45951000,2003,3,TYL,Tyler Technologies,Information Technology
7,1056931200,42881000,2003,6,TYL,Tyler Technologies,Information Technology
8,1064880000,40464000,2003,9,TYL,Tyler Technologies,Information Technology
9,1080691200,41468000,2004,3,TYL,Tyler Technologies,Information Technology
10,1088553600,41420000,2004,6,TYL,Tyler Technologies,Information Technology
11,1096502400,41307000,2004,9,TYL,Tyler Technologies,Information Technology
12,1112227200,40229000,2005,3,TYL,Tyler Technologies,Information Technology
13,1120089600,39615000,2005,6,TYL,Tyler Technologies,Information Technology
14,1128038400,39104000,2005,9,TYL,Tyler Technologies,Information Technology
15,1143763200,39114000,2006,3,TYL,Tyler Technologies,Information Technology
16,1151625600,39026000,2006,6,TYL,Tyler Technologies,Information Technology
17,1159574400,38705000,2006,9,TYL,Tyler Technologies,Information Technology
18,1175299200,38813000,2007,3,TYL,Tyler Technologies,Information Technology
19,1183161600,38540000,2007,6,TYL,Tyler Technologies,Information Technology
20,1191110400,38688000,2007,9,TYL,Tyler Technologies,Information Technology
21,1206921600,38020000,2008,3,TYL,Tyler Technologies,Information Technology
22,1214784000,38087000,2008,6,TYL,Tyler Technologies,Information Technology
23,1222732800,38474000,2008,9,TYL,Tyler Technologies,Information Technology
24,1238457600,35497000,2009,3,TYL,Tyler Technologies,Information Technology
25,1246320000,35343000,2009,6,TYL,Tyler Technologies,Information Technology
26,1254268800,35118000,2009,9,TYL,Tyler Technologies,Information Technology
27,1269993600,35101000,2010,3,TYL,Tyler Technologies,Information Technology
28,1277856000,34862000,2010,6,TYL,Tyler Technologies,Information Technology
29,1285804800,34103000,2010,9,TYL,Tyler Technologies,Information Technology
30,1301529600,32086000,2011,3,TYL,Tyler Technologies,Information Technology
31,1309392000,32005000,2011,6,TYL,Tyler Technologies,Information Technology
32,1317340800,31097000,2011,9,TYL,Tyler Technologies,Information Technology
33,1325289600,29823000,2011,12,TYL,Tyler Technologies,Information Technology
34,1333152000,30015000,2012,3,TYL,Tyler Technologies,Information Technology
35,1341014400,30171000,2012,6,TYL,Tyler Technologies,Information Technology
36,1348963200,30387000,2012,9,TYL,Tyler Technologies,Information Technology
37,1356912000,30779000,2012,12,TYL,Tyler Technologies,Information Technology
38,1364688000,31403000,2013,3,TYL,Tyler Technologies,Information Technology
39,1372550400,31617000,2013,6,TYL,Tyler Technologies,Information Technology
40,1380499200,32037000,2013,9,TYL,Tyler Technologies,Information Technology
41,1388448000,32498000,2013,12,TYL,Tyler Technologies,Information Technology
42,1396224000,32916000,2014,3,TYL,Tyler Technologies,Information Technology
43,1404086400,32918000,2014,6,TYL,Tyler Technologies,Information Technology
44,1412035200,32935000,2014,9,TYL,Tyler Technologies,Information Technology
45,1419984000,33275000,2014,12,TYL,Tyler Technologies,Information Technology
46,1427760000,33562000,2015,3,TYL,Tyler Technologies,Information Technology
47,1435622400,33751000,2015,6,TYL,Tyler Technologies,Information Technology
48,1443571200,33900000,2015,9,TYL,Tyler Technologies,Information Technology
49,1451520000,35334000,2015,12,TYL,Tyler Technologies,Information Technology
50,1459382400,36549000,2016,3,TYL,Tyler Technologies,Information Technology
51,1467244800,36160000,2016,6,TYL,Tyler Technologies,Information Technology
52,1475193600,36433000,2016,9,TYL,Tyler Technologies,Information Technology
53,1483142400,36653000,2016,12,TYL,Tyler Technologies,Information Technology
54,1490918400,36845000,2017,3,TYL,Tyler Technologies,Information Technology
55,1498780800,37154000,2017,6,TYL,Tyler Technologies,Information Technology
56,1506729600,37391000,2017,9,TYL,Tyler Technologies,Information Technology
57,1514678400,37694000,2017,12,TYL,Tyler Technologies,Information Technology
58,1522454400,38002000,2018,3,TYL,Tyler Technologies,Information Technology
59,1530316800,38390000,2018,6,TYL,Tyler Technologies,Information Technology
60,1538265600,38761000,2018,9,TYL,Tyler Technologies,Information Technology
61,1546214400,38614000,2018,12,TYL,Tyler Technologies,Information Technology
62,1553990400,38308000,2019,3,TYL,Tyler Technologies,Information Technology
63,1561852800,38402000,2019,6,TYL,Tyler Technologies,Information Technology
64,1569801600,38765000,2019,9,TYL,Tyler Technologies,Information Technology
65,1577750400,39076000,2019,12,TYL,Tyler Technologies,Information Technology
66,1585612800,39500000,2020,3,TYL,Tyler Technologies,Information Technology
67,1593475200,39963000,2020,6,TYL,Tyler Technologies,Information Technology
68,1601424000,40261000,2020,9,TYL,Tyler Technologies,Information Technology
69,1609372800,40404000,2020,12,TYL,Tyler Technologies,Information Technology
70,1617148800,40611000,2021,3,TYL,Tyler Technologies,Information Technology
71,1625011200,40765000,2021,6,TYL,Tyler Technologies,Information Technology
72,1632960000,40888000,2021,9,TYL,Tyler Technologies,Information Technology
73,1640908800,41126000,2021,12,TYL,Tyler Technologies,Information Technology
74,1648684800,41364000,2022,3,TYL,Tyler Technologies,Information Technology
75,1656547200,41500000,2022,6,TYL,Tyler Technologies,Information Technology
76,1668714099,41600000,2022,11,TYL,Tyler Technologies,Information Technology
