,d,v,years,months,ticker_symbol,security,sector
0,985996800,199520000,2001,3,VRSN,Verisign,Information Technology
1,993859200,201675000,2001,6,VRSN,Verisign,Information Technology
2,1001808000,202894000,2001,9,VRSN,Verisign,Information Technology
3,1017532800,235438000,2002,3,VRSN,Verisign,Information Technology
4,1025395200,236435000,2002,6,VRSN,Verisign,Information Technology
5,1033344000,236958000,2002,9,VRSN,Verisign,Information Technology
6,1049068800,238208000,2003,3,VRSN,Verisign,Information Technology
7,1056931200,238898000,2003,6,VRSN,Verisign,Information Technology
8,1064880000,240370000,2003,9,VRSN,Verisign,Information Technology
9,1080691200,244362000,2004,3,VRSN,Verisign,Information Technology
10,1088553600,249357000,2004,6,VRSN,Verisign,Information Technology
11,1096502400,254146000,2004,9,VRSN,Verisign,Information Technology
12,1112227200,253989000,2005,3,VRSN,Verisign,Information Technology
13,1120089600,263538000,2005,6,VRSN,Verisign,Information Technology
14,1128038400,260288000,2005,9,VRSN,Verisign,Information Technology
15,1143763200,245603000,2006,3,VRSN,Verisign,Information Technology
16,1151625600,244744000,2006,6,VRSN,Verisign,Information Technology
17,1159574400,243536000,2006,9,VRSN,Verisign,Information Technology
18,1175299200,243852000,2007,3,VRSN,Verisign,Information Technology
19,1183161600,243846000,2007,6,VRSN,Verisign,Information Technology
20,1191110400,240054000,2007,9,VRSN,Verisign,Information Technology
21,1206921600,206550000,2008,3,VRSN,Verisign,Information Technology
22,1214784000,195515000,2008,6,VRSN,Verisign,Information Technology
23,1222732800,193853000,2008,9,VRSN,Verisign,Information Technology
24,1238457600,192311000,2009,3,VRSN,Verisign,Information Technology
25,1246320000,192649000,2009,6,VRSN,Verisign,Information Technology
26,1254268800,192619000,2009,9,VRSN,Verisign,Information Technology
27,1269993600,183174000,2010,3,VRSN,Verisign,Information Technology
28,1277856000,181120000,2010,6,VRSN,Verisign,Information Technology
29,1285804800,173572000,2010,9,VRSN,Verisign,Information Technology
30,1301529600,170193000,2011,3,VRSN,Verisign,Information Technology
31,1309392000,167471000,2011,6,VRSN,Verisign,Information Technology
32,1317340800,163046000,2011,9,VRSN,Verisign,Information Technology
33,1333152000,159344000,2012,3,VRSN,Verisign,Information Technology
34,1341014400,157599000,2012,6,VRSN,Verisign,Information Technology
35,1348963200,156261000,2012,9,VRSN,Verisign,Information Technology
36,1356912000,154642000,2012,12,VRSN,Verisign,Information Technology
37,1364688000,152543000,2013,3,VRSN,Verisign,Information Technology
38,1372550400,148576000,2013,6,VRSN,Verisign,Information Technology
39,1380499200,141701000,2013,9,VRSN,Verisign,Information Technology
40,1388448000,135759000,2013,12,VRSN,Verisign,Information Technology
41,1396224000,133417000,2014,3,VRSN,Verisign,Information Technology
42,1404086400,129350000,2014,6,VRSN,Verisign,Information Technology
43,1412035200,124109000,2014,9,VRSN,Verisign,Information Technology
44,1419984000,120140000,2014,12,VRSN,Verisign,Information Technology
45,1427760000,117139000,2015,3,VRSN,Verisign,Information Technology
46,1435622400,115656000,2015,6,VRSN,Verisign,Information Technology
47,1443571200,112955000,2015,9,VRSN,Verisign,Information Technology
48,1451520000,110952000,2015,12,VRSN,Verisign,Information Technology
49,1459382400,109592000,2016,3,VRSN,Verisign,Information Technology
50,1467244800,108067000,2016,6,VRSN,Verisign,Information Technology
51,1475193600,106307000,2016,9,VRSN,Verisign,Information Technology
52,1483142400,104080000,2016,12,VRSN,Verisign,Information Technology
53,1490918400,102467000,2017,3,VRSN,Verisign,Information Technology
54,1498780800,101060000,2017,6,VRSN,Verisign,Information Technology
55,1506729600,99614000,2017,9,VRSN,Verisign,Information Technology
56,1514678400,98215000,2017,12,VRSN,Verisign,Information Technology
57,1522454400,97250000,2018,3,VRSN,Verisign,Information Technology
58,1530316800,113936000,2018,6,VRSN,Verisign,Information Technology
59,1538265600,121682000,2018,9,VRSN,Verisign,Information Technology
60,1546214400,120591000,2018,12,VRSN,Verisign,Information Technology
61,1553990400,119757000,2019,3,VRSN,Verisign,Information Technology
62,1561852800,118965000,2019,6,VRSN,Verisign,Information Technology
63,1569801600,118194000,2019,9,VRSN,Verisign,Information Technology
64,1577750400,117169000,2019,12,VRSN,Verisign,Information Technology
65,1585612800,116375000,2020,3,VRSN,Verisign,Information Technology
66,1593475200,115347000,2020,6,VRSN,Verisign,Information Technology
67,1601424000,114655000,2020,9,VRSN,Verisign,Information Technology
68,1609372800,113872000,2020,12,VRSN,Verisign,Information Technology
69,1617148800,113131000,2021,3,VRSN,Verisign,Information Technology
70,1625011200,112387000,2021,6,VRSN,Verisign,Information Technology
71,1632960000,111664000,2021,9,VRSN,Verisign,Information Technology
72,1640908800,110908000,2021,12,VRSN,Verisign,Information Technology
73,1648684800,110200000,2022,3,VRSN,Verisign,Information Technology
74,1656547200,108800000,2022,6,VRSN,Verisign,Information Technology
75,1668714115,108800000,2022,11,VRSN,Verisign,Information Technology
