,d,v,years,months,ticker_symbol,security,sector
0,1080691200,49321468,2004,3,CE,Celanese,Materials
1,1088553600,99377884,2004,6,CE,Celanese,Materials
2,1096502400,99737362,2004,9,CE,Celanese,Materials
3,1112227200,141742428,2005,3,CE,Celanese,Materials
4,1120089600,158530397,2005,6,CE,Celanese,Materials
5,1128038400,158546594,2005,9,CE,Celanese,Materials
6,1143763200,158562161,2006,3,CE,Celanese,Materials
7,1151625600,158562161,2006,6,CE,Celanese,Materials
8,1159574400,158609246,2006,9,CE,Celanese,Materials
9,1175299200,159284888,2007,3,CE,Celanese,Materials
10,1183161600,156932929,2007,6,CE,Celanese,Materials
11,1191110400,150154309,2007,9,CE,Celanese,Materials
12,1206921600,151993753,2008,3,CE,Celanese,Materials
13,1214784000,150905770,2008,6,CE,Celanese,Materials
14,1222732800,147063241,2008,9,CE,Celanese,Materials
15,1238457600,143506981,2009,3,CE,Celanese,Materials
16,1246320000,143500000,2009,6,CE,Celanese,Materials
17,1254268800,143591231,2009,9,CE,Celanese,Materials
18,1269993600,150272227,2010,3,CE,Celanese,Materials
19,1277856000,156300000,2010,6,CE,Celanese,Materials
20,1285804800,155859508,2010,9,CE,Celanese,Materials
21,1301529600,155966259,2011,3,CE,Celanese,Materials
22,1309392000,156300000,2011,6,CE,Celanese,Materials
23,1317340800,156200000,2011,9,CE,Celanese,Materials
24,1333152000,156542424,2012,3,CE,Celanese,Materials
25,1341014400,158100000,2012,6,CE,Celanese,Materials
26,1348963200,159100000,2012,9,CE,Celanese,Materials
27,1356912000,159500000,2012,12,CE,Celanese,Materials
28,1364688000,159700000,2013,3,CE,Celanese,Materials
29,1372550400,159700000,2013,6,CE,Celanese,Materials
30,1380499200,158501075,2013,9,CE,Celanese,Materials
31,1388448000,157400000,2013,12,CE,Celanese,Materials
32,1396224000,156500000,2014,3,CE,Celanese,Materials
33,1404086400,155751779,2014,6,CE,Celanese,Materials
34,1412035200,154427554,2014,9,CE,Celanese,Materials
35,1419984000,153400000,2014,12,CE,Celanese,Materials
36,1427760000,153200000,2015,3,CE,Celanese,Materials
37,1435622400,153500000,2015,6,CE,Celanese,Materials
38,1443571200,149800029,2015,9,CE,Celanese,Materials
39,1459382400,147400000,2016,3,CE,Celanese,Materials
40,1467244800,146500000,2016,6,CE,Celanese,Materials
41,1475193600,144000000,2016,9,CE,Celanese,Materials
42,1490918400,140600000,2017,3,CE,Celanese,Materials
43,1498780800,138619721,2017,6,CE,Celanese,Materials
44,1506729600,136579077,2017,9,CE,Celanese,Materials
45,1514678400,135800000,2017,12,CE,Celanese,Materials
46,1522454400,135900000,2018,3,CE,Celanese,Materials
47,1530316800,135600000,2018,6,CE,Celanese,Materials
48,1538265600,134519301,2018,9,CE,Celanese,Materials
49,1546214400,131200000,2018,12,CE,Celanese,Materials
50,1553990400,127542328,2019,3,CE,Celanese,Materials
51,1561852800,125289967,2019,6,CE,Celanese,Materials
52,1569801600,122700000,2019,9,CE,Celanese,Materials
53,1577750400,120300000,2019,12,CE,Celanese,Materials
54,1585612800,119300000,2020,3,CE,Celanese,Materials
55,1593475200,118300000,2020,6,CE,Celanese,Materials
56,1601424000,118000000,2020,9,CE,Celanese,Materials
57,1609372800,115700000,2020,12,CE,Celanese,Materials
58,1617148800,113500000,2021,3,CE,Celanese,Materials
59,1625011200,112300000,2021,6,CE,Celanese,Materials
60,1632960000,110500000,2021,9,CE,Celanese,Materials
61,1640908800,108600000,2021,12,CE,Celanese,Materials
62,1648684800,108200000,2022,3,CE,Celanese,Materials
63,1656547200,108400000,2022,6,CE,Celanese,Materials
64,1668717565,108400000,2022,11,CE,Celanese,Materials
