,d,v,years,months,ticker_symbol,security,sector
0,1522454400,749400000,2018,3,CTVA,Corteva,Materials
1,1530316800,749400000,2018,6,CTVA,Corteva,Materials
2,1538265600,749400000,2018,9,CTVA,Corteva,Materials
3,1553990400,750000000,2019,3,CTVA,Corteva,Materials
4,1561852800,749400000,2019,6,CTVA,Corteva,Materials
5,1569801600,749500000,2019,9,CTVA,Corteva,Materials
6,1577750400,749600000,2019,12,CTVA,Corteva,Materials
7,1585612800,749900000,2020,3,CTVA,Corteva,Materials
8,1593475200,749200000,2020,6,CTVA,Corteva,Materials
9,1601424000,749500000,2020,9,CTVA,Corteva,Materials
10,1609372800,746300000,2020,12,CTVA,Corteva,Materials
11,1617148800,743400000,2021,3,CTVA,Corteva,Materials
12,1625011200,737300000,2021,6,CTVA,Corteva,Materials
13,1632960000,733800000,2021,9,CTVA,Corteva,Materials
14,1640908800,729200000,2021,12,CTVA,Corteva,Materials
15,1648684800,727000000,2022,3,CTVA,Corteva,Materials
16,1656547200,723000000,2022,6,CTVA,Corteva,Materials
17,1668717596,723000000,2022,11,CTVA,Corteva,Materials
