,d,v,years,months,ticker_symbol,security,sector
0,985996800,96984000,2001,3,IFF,International Flavors & Fragrances,Materials
1,993859200,95756000,2001,6,IFF,International Flavors & Fragrances,Materials
2,1001808000,95467000,2001,9,IFF,International Flavors & Fragrances,Materials
3,1017532800,94534000,2002,3,IFF,International Flavors & Fragrances,Materials
4,1025395200,94572000,2002,6,IFF,International Flavors & Fragrances,Materials
5,1033344000,94628000,2002,9,IFF,International Flavors & Fragrances,Materials
6,1049068800,94158000,2003,3,IFF,International Flavors & Fragrances,Materials
7,1056931200,93782000,2003,6,IFF,International Flavors & Fragrances,Materials
8,1064880000,93265000,2003,9,IFF,International Flavors & Fragrances,Materials
9,1080691200,94033000,2004,3,IFF,International Flavors & Fragrances,Materials
10,1088553600,94136000,2004,6,IFF,International Flavors & Fragrances,Materials
11,1096502400,94172000,2004,9,IFF,International Flavors & Fragrances,Materials
12,1112227200,94325000,2005,3,IFF,International Flavors & Fragrances,Materials
13,1120089600,93876000,2005,6,IFF,International Flavors & Fragrances,Materials
14,1128038400,93380000,2005,9,IFF,International Flavors & Fragrances,Materials
15,1143763200,91535000,2006,3,IFF,International Flavors & Fragrances,Materials
16,1151625600,90869000,2006,6,IFF,International Flavors & Fragrances,Materials
17,1159574400,90053000,2006,9,IFF,International Flavors & Fragrances,Materials
18,1175299200,89378000,2007,3,IFF,International Flavors & Fragrances,Materials
19,1183161600,89174000,2007,6,IFF,International Flavors & Fragrances,Materials
20,1191110400,87063000,2007,9,IFF,International Flavors & Fragrances,Materials
21,1206921600,80296000,2008,3,IFF,International Flavors & Fragrances,Materials
22,1214784000,79627000,2008,6,IFF,International Flavors & Fragrances,Materials
23,1222732800,78077000,2008,9,IFF,International Flavors & Fragrances,Materials
24,1238457600,78195000,2009,3,IFF,International Flavors & Fragrances,Materials
25,1246320000,78352000,2009,6,IFF,International Flavors & Fragrances,Materials
26,1254268800,78491000,2009,9,IFF,International Flavors & Fragrances,Materials
27,1269993600,78767000,2010,3,IFF,International Flavors & Fragrances,Materials
28,1277856000,79188000,2010,6,IFF,International Flavors & Fragrances,Materials
29,1285804800,79357000,2010,9,IFF,International Flavors & Fragrances,Materials
30,1301529600,80049000,2011,3,IFF,International Flavors & Fragrances,Materials
31,1309392000,80451000,2011,6,IFF,International Flavors & Fragrances,Materials
32,1317340800,80644000,2011,9,IFF,International Flavors & Fragrances,Materials
33,1333152000,80777000,2012,3,IFF,International Flavors & Fragrances,Materials
34,1341014400,81095000,2012,6,IFF,International Flavors & Fragrances,Materials
35,1348963200,81246000,2012,9,IFF,International Flavors & Fragrances,Materials
36,1356912000,81318000,2012,12,IFF,International Flavors & Fragrances,Materials
37,1364688000,81291000,2013,3,IFF,International Flavors & Fragrances,Materials
38,1372550400,81309000,2013,6,IFF,International Flavors & Fragrances,Materials
39,1380499200,81437000,2013,9,IFF,International Flavors & Fragrances,Materials
40,1388448000,81242000,2013,12,IFF,International Flavors & Fragrances,Materials
41,1396224000,81053000,2014,3,IFF,International Flavors & Fragrances,Materials
42,1404086400,80949000,2014,6,IFF,International Flavors & Fragrances,Materials
43,1412035200,80942000,2014,9,IFF,International Flavors & Fragrances,Materials
44,1419984000,80810000,2014,12,IFF,International Flavors & Fragrances,Materials
45,1427760000,80654000,2015,3,IFF,International Flavors & Fragrances,Materials
46,1435622400,80790000,2015,6,IFF,International Flavors & Fragrances,Materials
47,1443571200,80330000,2015,9,IFF,International Flavors & Fragrances,Materials
48,1451520000,79978000,2015,12,IFF,International Flavors & Fragrances,Materials
49,1459382400,79666000,2016,3,IFF,International Flavors & Fragrances,Materials
50,1467244800,79764000,2016,6,IFF,International Flavors & Fragrances,Materials
51,1475193600,79580000,2016,9,IFF,International Flavors & Fragrances,Materials
52,1483142400,79399000,2016,12,IFF,International Flavors & Fragrances,Materials
53,1490918400,79098000,2017,3,IFF,International Flavors & Fragrances,Materials
54,1498780800,79072000,2017,6,IFF,International Flavors & Fragrances,Materials
55,1506729600,79063000,2017,9,IFF,International Flavors & Fragrances,Materials
56,1514678400,79056000,2017,12,IFF,International Flavors & Fragrances,Materials
57,1522454400,79018000,2018,3,IFF,International Flavors & Fragrances,Materials
58,1530316800,79065000,2018,6,IFF,International Flavors & Fragrances,Materials
59,1538265600,81263000,2018,9,IFF,International Flavors & Fragrances,Materials
60,1546214400,110871000,2018,12,IFF,International Flavors & Fragrances,Materials
61,1553990400,111864000,2019,3,IFF,International Flavors & Fragrances,Materials
62,1561852800,111996000,2019,6,IFF,International Flavors & Fragrances,Materials
63,1569801600,111998000,2019,9,IFF,International Flavors & Fragrances,Materials
64,1577750400,112003000,2019,12,IFF,International Flavors & Fragrances,Materials
65,1585612800,112082000,2020,3,IFF,International Flavors & Fragrances,Materials
66,1593475200,112177000,2020,6,IFF,International Flavors & Fragrances,Materials
67,1601424000,112183000,2020,9,IFF,International Flavors & Fragrances,Materials
68,1609372800,112204000,2020,12,IFF,International Flavors & Fragrances,Materials
69,1617148800,206000000,2021,3,IFF,International Flavors & Fragrances,Materials
70,1625011200,254000000,2021,6,IFF,International Flavors & Fragrances,Materials
71,1632960000,254000000,2021,9,IFF,International Flavors & Fragrances,Materials
72,1640908800,255000000,2021,12,IFF,International Flavors & Fragrances,Materials
73,1648684800,255000000,2022,3,IFF,International Flavors & Fragrances,Materials
74,1656547200,255000000,2022,6,IFF,International Flavors & Fragrances,Materials
75,1668717721,255000000,2022,11,IFF,International Flavors & Fragrances,Materials
