,d,v,years,months,ticker_symbol,security,sector
0,985996800,167298000,2001,3,SEE,Sealed Air,Materials
1,993859200,167320000,2001,6,SEE,Sealed Air,Materials
2,1001808000,167424000,2001,9,SEE,Sealed Air,Materials
3,1017532800,167682000,2002,3,SEE,Sealed Air,Materials
4,1025395200,167846000,2002,6,SEE,Sealed Air,Materials
5,1033344000,167878000,2002,9,SEE,Sealed Air,Materials
6,1049068800,168426000,2003,3,SEE,Sealed Air,Materials
7,1056931200,169020000,2003,6,SEE,Sealed Air,Materials
8,1064880000,169740000,2003,9,SEE,Sealed Air,Materials
9,1080691200,170200000,2004,3,SEE,Sealed Air,Materials
10,1088553600,168480000,2004,6,SEE,Sealed Air,Materials
11,1096502400,167560000,2004,9,SEE,Sealed Air,Materials
12,1112227200,166567164,2005,3,SEE,Sealed Air,Materials
13,1120089600,167200000,2005,6,SEE,Sealed Air,Materials
14,1128038400,165600000,2005,9,SEE,Sealed Air,Materials
15,1143763200,164117647,2006,3,SEE,Sealed Air,Materials
16,1151625600,162816901,2006,6,SEE,Sealed Air,Materials
17,1159574400,162526316,2006,9,SEE,Sealed Air,Materials
18,1175299200,160759494,2007,3,SEE,Sealed Air,Materials
19,1183161600,160652174,2007,6,SEE,Sealed Air,Materials
20,1191110400,160888889,2007,9,SEE,Sealed Air,Materials
21,1206921600,159700000,2008,3,SEE,Sealed Air,Materials
22,1214784000,158000000,2008,6,SEE,Sealed Air,Materials
23,1222732800,156400000,2008,9,SEE,Sealed Air,Materials
24,1238457600,156700000,2009,3,SEE,Sealed Air,Materials
25,1246320000,157300000,2009,6,SEE,Sealed Air,Materials
26,1254268800,157400000,2009,9,SEE,Sealed Air,Materials
27,1269993600,157800000,2010,3,SEE,Sealed Air,Materials
28,1277856000,158300000,2010,6,SEE,Sealed Air,Materials
29,1285804800,158300000,2010,9,SEE,Sealed Air,Materials
30,1301529600,158700000,2011,3,SEE,Sealed Air,Materials
31,1309392000,159200000,2011,6,SEE,Sealed Air,Materials
32,1317340800,159300000,2011,9,SEE,Sealed Air,Materials
33,1333152000,191900000,2012,3,SEE,Sealed Air,Materials
34,1341014400,193000000,2012,6,SEE,Sealed Air,Materials
35,1348963200,193200000,2012,9,SEE,Sealed Air,Materials
36,1356912000,193300000,2012,12,SEE,Sealed Air,Materials
37,1364688000,193800000,2013,3,SEE,Sealed Air,Materials
38,1372550400,194800000,2013,6,SEE,Sealed Air,Materials
39,1380499200,194900000,2013,9,SEE,Sealed Air,Materials
40,1388448000,194900000,2013,12,SEE,Sealed Air,Materials
41,1396224000,206700000,2014,3,SEE,Sealed Air,Materials
42,1404086400,213500000,2014,6,SEE,Sealed Air,Materials
43,1412035200,210400000,2014,9,SEE,Sealed Air,Materials
44,1419984000,209500000,2014,12,SEE,Sealed Air,Materials
45,1427760000,208900000,2015,3,SEE,Sealed Air,Materials
46,1435622400,208500000,2015,6,SEE,Sealed Air,Materials
47,1443571200,202900000,2015,9,SEE,Sealed Air,Materials
48,1451520000,195500000,2015,12,SEE,Sealed Air,Materials
49,1459382400,195200000,2016,3,SEE,Sealed Air,Materials
50,1467244800,195600000,2016,6,SEE,Sealed Air,Materials
51,1475193600,194100000,2016,9,SEE,Sealed Air,Materials
52,1483142400,192400000,2016,12,SEE,Sealed Air,Materials
53,1490918400,193400000,2017,3,SEE,Sealed Air,Materials
54,1498780800,192500000,2017,6,SEE,Sealed Air,Materials
55,1506729600,186900000,2017,9,SEE,Sealed Air,Materials
56,1514678400,175300000,2017,12,SEE,Sealed Air,Materials
57,1522454400,165300000,2018,3,SEE,Sealed Air,Materials
58,1530316800,159700000,2018,6,SEE,Sealed Air,Materials
59,1538265600,157200000,2018,9,SEE,Sealed Air,Materials
60,1546214400,155200000,2018,12,SEE,Sealed Air,Materials
61,1553990400,154800000,2019,3,SEE,Sealed Air,Materials
62,1561852800,154500000,2019,6,SEE,Sealed Air,Materials
63,1569801600,154000000,2019,9,SEE,Sealed Air,Materials
64,1577750400,154000000,2019,12,SEE,Sealed Air,Materials
65,1585612800,154500000,2020,3,SEE,Sealed Air,Materials
66,1593475200,155600000,2020,6,SEE,Sealed Air,Materials
67,1601424000,155500000,2020,9,SEE,Sealed Air,Materials
68,1609372800,155000000,2020,12,SEE,Sealed Air,Materials
69,1617148800,155070423,2021,3,SEE,Sealed Air,Materials
70,1625011200,151400000,2021,6,SEE,Sealed Air,Materials
71,1632960000,149900000,2021,9,SEE,Sealed Air,Materials
72,1640908800,148300000,2021,12,SEE,Sealed Air,Materials
73,1648684800,147600000,2022,3,SEE,Sealed Air,Materials
74,1656547200,146000000,2022,6,SEE,Sealed Air,Materials
75,1668717863,146000000,2022,11,SEE,Sealed Air,Materials
