,d,v,years,months,ticker_symbol,security,sector
0,985996800,66444000,2001,3,WRK,WestRock,Materials
1,993859200,66776000,2001,6,WRK,WestRock,Materials
2,1009756800,67670000,2001,12,WRK,WestRock,Materials
3,1017532800,68706000,2002,3,WRK,WestRock,Materials
4,1025395200,69388000,2002,6,WRK,WestRock,Materials
5,1041292800,69004000,2002,12,WRK,WestRock,Materials
6,1049068800,69030000,2003,3,WRK,WestRock,Materials
7,1056931200,69452000,2003,6,WRK,WestRock,Materials
8,1072828800,70562000,2003,12,WRK,WestRock,Materials
9,1080691200,70624000,2004,3,WRK,WestRock,Materials
10,1088553600,69932000,2004,6,WRK,WestRock,Materials
11,1104451200,71762000,2004,12,WRK,WestRock,Materials
12,1112227200,71758000,2005,3,WRK,WestRock,Materials
13,1120089600,71838000,2005,6,WRK,WestRock,Materials
14,1135987200,71662000,2005,12,WRK,WestRock,Materials
15,1143763200,73400000,2006,3,WRK,WestRock,Materials
16,1151625600,72400000,2006,6,WRK,WestRock,Materials
17,1167523200,74600000,2006,12,WRK,WestRock,Materials
18,1175299200,77400000,2007,3,WRK,WestRock,Materials
19,1183161600,78600000,2007,6,WRK,WestRock,Materials
20,1199059200,74600000,2007,12,WRK,WestRock,Materials
21,1206921600,76400000,2008,3,WRK,WestRock,Materials
22,1214784000,75200000,2008,6,WRK,WestRock,Materials
23,1230681600,75555556,2008,12,WRK,WestRock,Materials
24,1238457600,75600000,2009,3,WRK,WestRock,Materials
25,1246320000,75400000,2009,6,WRK,WestRock,Materials
26,1262217600,77579012,2009,12,WRK,WestRock,Materials
27,1269993600,76400000,2010,3,WRK,WestRock,Materials
28,1277856000,76600000,2010,6,WRK,WestRock,Materials
29,1293753600,78768348,2010,12,WRK,WestRock,Materials
30,1301529600,78817348,2011,3,WRK,WestRock,Materials
31,1309392000,142413718,2011,6,WRK,WestRock,Materials
32,1317340800,140935808,2011,9,WRK,WestRock,Materials
33,1325289600,141083932,2011,12,WRK,WestRock,Materials
34,1333152000,141341398,2012,3,WRK,WestRock,Materials
35,1341014400,141515230,2012,6,WRK,WestRock,Materials
36,1348963200,141768004,2012,9,WRK,WestRock,Materials
37,1356912000,143594838,2012,12,WRK,WestRock,Materials
38,1364688000,143866592,2013,3,WRK,WestRock,Materials
39,1372550400,143935778,2013,6,WRK,WestRock,Materials
40,1380499200,144047640,2013,9,WRK,WestRock,Materials
41,1388448000,143116450,2013,12,WRK,WestRock,Materials
42,1396224000,143527066,2014,3,WRK,WestRock,Materials
43,1404086400,143167474,2014,6,WRK,WestRock,Materials
44,1412035200,140000000,2014,9,WRK,WestRock,Materials
45,1419984000,139900000,2014,12,WRK,WestRock,Materials
46,1427760000,140800000,2015,3,WRK,WestRock,Materials
47,1435622400,140900000,2015,6,WRK,WestRock,Materials
48,1443571200,257000000,2015,9,WRK,WestRock,Materials
49,1451520000,255000000,2015,12,WRK,WestRock,Materials
50,1459382400,252400000,2016,3,WRK,WestRock,Materials
51,1467244800,251500000,2016,6,WRK,WestRock,Materials
52,1475193600,251000000,2016,9,WRK,WestRock,Materials
53,1483142400,250100000,2016,12,WRK,WestRock,Materials
54,1490918400,251000000,2017,3,WRK,WestRock,Materials
55,1498780800,253900000,2017,6,WRK,WestRock,Materials
56,1506729600,254500000,2017,9,WRK,WestRock,Materials
57,1514678400,254900000,2017,12,WRK,WestRock,Materials
58,1522454400,256400000,2018,3,WRK,WestRock,Materials
59,1530316800,255100000,2018,6,WRK,WestRock,Materials
60,1538265600,253500000,2018,9,WRK,WestRock,Materials
61,1546214400,255200000,2018,12,WRK,WestRock,Materials
62,1553990400,256900000,2019,3,WRK,WestRock,Materials
63,1561852800,257300000,2019,6,WRK,WestRock,Materials
64,1569801600,257800000,2019,9,WRK,WestRock,Materials
65,1577750400,258400000,2019,12,WRK,WestRock,Materials
66,1585612800,259200000,2020,3,WRK,WestRock,Materials
67,1593475200,259500000,2020,6,WRK,WestRock,Materials
68,1601424000,260400000,2020,9,WRK,WestRock,Materials
69,1609372800,263300000,2020,12,WRK,WestRock,Materials
70,1617148800,265900000,2021,3,WRK,WestRock,Materials
71,1625011200,266900000,2021,6,WRK,WestRock,Materials
72,1632960000,265000000,2021,9,WRK,WestRock,Materials
73,1640908800,263200000,2021,12,WRK,WestRock,Materials
74,1648684800,259300000,2022,3,WRK,WestRock,Materials
75,1656547200,254300000,2022,6,WRK,WestRock,Materials
76,1668717909,254300000,2022,11,WRK,WestRock,Materials
