,d,v,years,months,ticker_symbol,security,sector
0,985996800,187179000,2001,3,AMT,American Tower,Real Estate
1,993859200,190755000,2001,6,AMT,American Tower,Real Estate
2,1001808000,193135000,2001,9,AMT,American Tower,Real Estate
3,1017532800,195288000,2002,3,AMT,American Tower,Real Estate
4,1025395200,195361000,2002,6,AMT,American Tower,Real Estate
5,1033344000,195565000,2002,9,AMT,American Tower,Real Estate
6,1049068800,195703000,2003,3,AMT,American Tower,Real Estate
7,1056931200,202913000,2003,6,AMT,American Tower,Real Estate
8,1064880000,213788000,2003,9,AMT,American Tower,Real Estate
9,1080691200,220408000,2004,3,AMT,American Tower,Real Estate
10,1088553600,223578000,2004,6,AMT,American Tower,Real Estate
11,1096502400,224839000,2004,9,AMT,American Tower,Real Estate
12,1112227200,230158000,2005,3,AMT,American Tower,Real Estate
13,1120089600,230793000,2005,6,AMT,American Tower,Real Estate
14,1128038400,334141000,2005,9,AMT,American Tower,Real Estate
15,1143763200,417379000,2006,3,AMT,American Tower,Real Estate
16,1151625600,423252000,2006,6,AMT,American Tower,Real Estate
17,1159574400,425942000,2006,9,AMT,American Tower,Real Estate
18,1175299200,421627000,2007,3,AMT,American Tower,Real Estate
19,1183161600,417682000,2007,6,AMT,American Tower,Real Estate
20,1191110400,410071000,2007,9,AMT,American Tower,Real Estate
21,1206921600,397128000,2008,3,AMT,American Tower,Real Estate
22,1214784000,396935000,2008,6,AMT,American Tower,Real Estate
23,1222732800,393567000,2008,9,AMT,American Tower,Real Estate
24,1238457600,397180000,2009,3,AMT,American Tower,Real Estate
25,1246320000,397418000,2009,6,AMT,American Tower,Real Estate
26,1254268800,397315000,2009,9,AMT,American Tower,Real Estate
27,1269993600,402346000,2010,3,AMT,American Tower,Real Estate
28,1277856000,402733000,2010,6,AMT,American Tower,Real Estate
29,1285804800,400602000,2010,9,AMT,American Tower,Real Estate
30,1301529600,397768000,2011,3,AMT,American Tower,Real Estate
31,1309392000,396599000,2011,6,AMT,American Tower,Real Estate
32,1317340800,395183000,2011,9,AMT,American Tower,Real Estate
33,1333152000,393885000,2012,3,AMT,American Tower,Real Estate
34,1341014400,394743000,2012,6,AMT,American Tower,Real Estate
35,1348963200,395244000,2012,9,AMT,American Tower,Real Estate
36,1356912000,395195000,2012,12,AMT,American Tower,Real Estate
37,1364688000,395239000,2013,3,AMT,American Tower,Real Estate
38,1372550400,395420000,2013,6,AMT,American Tower,Real Estate
39,1380499200,394759000,2013,9,AMT,American Tower,Real Estate
40,1388448000,394751000,2013,12,AMT,American Tower,Real Estate
41,1396224000,395146000,2014,3,AMT,American Tower,Real Estate
42,1404086400,395872000,2014,6,AMT,American Tower,Real Estate
43,1412035200,396243000,2014,9,AMT,American Tower,Real Estate
44,1419984000,396553000,2014,12,AMT,American Tower,Real Estate
45,1427760000,405111000,2015,3,AMT,American Tower,Real Estate
46,1435622400,423154000,2015,6,AMT,American Tower,Real Estate
47,1443571200,423375000,2015,9,AMT,American Tower,Real Estate
48,1451520000,423736000,2015,12,AMT,American Tower,Real Estate
49,1459382400,424059000,2016,3,AMT,American Tower,Real Estate
50,1467244800,424909000,2016,6,AMT,American Tower,Real Estate
51,1475193600,425517000,2016,9,AMT,American Tower,Real Estate
52,1483142400,426071000,2016,12,AMT,American Tower,Real Estate
53,1490918400,427279000,2017,3,AMT,American Tower,Real Estate
54,1498780800,427298000,2017,6,AMT,American Tower,Real Estate
55,1506729600,429281000,2017,9,AMT,American Tower,Real Estate
56,1514678400,428836000,2017,12,AMT,American Tower,Real Estate
57,1522454400,435124000,2018,3,AMT,American Tower,Real Estate
58,1530316800,441497000,2018,6,AMT,American Tower,Real Estate
59,1538265600,440889000,2018,9,AMT,American Tower,Real Estate
60,1546214400,440838000,2018,12,AMT,American Tower,Real Estate
61,1553990400,441351000,2019,3,AMT,American Tower,Real Estate
62,1561852800,442203000,2019,6,AMT,American Tower,Real Estate
63,1569801600,442763000,2019,9,AMT,American Tower,Real Estate
64,1577750400,442940000,2019,12,AMT,American Tower,Real Estate
65,1585612800,443055000,2020,3,AMT,American Tower,Real Estate
66,1593475200,443436000,2020,6,AMT,American Tower,Real Estate
67,1601424000,443766000,2020,9,AMT,American Tower,Real Estate
68,1609372800,444293000,2020,12,AMT,American Tower,Real Estate
69,1617148800,444486000,2021,3,AMT,American Tower,Real Estate
70,1625011200,450617000,2021,6,AMT,American Tower,Real Estate
71,1632960000,455224000,2021,9,AMT,American Tower,Real Estate
72,1640908800,455502000,2021,12,AMT,American Tower,Real Estate
73,1648684800,455946000,2022,3,AMT,American Tower,Real Estate
74,1656547200,458776000,2022,6,AMT,American Tower,Real Estate
75,1668717939,458776000,2022,11,AMT,American Tower,Real Estate
