,d,v,years,months,ticker_symbol,security,sector
0,985996800,15471100,2001,3,ARE,Alexandria Real Estate Equities,Real Estate
1,993859200,16011654,2001,6,ARE,Alexandria Real Estate Equities,Real Estate
2,1001808000,16135399,2001,9,ARE,Alexandria Real Estate Equities,Real Estate
3,1017532800,16409258,2002,3,ARE,Alexandria Real Estate Equities,Real Estate
4,1025395200,16747201,2002,6,ARE,Alexandria Real Estate Equities,Real Estate
5,1033344000,18329443,2002,9,ARE,Alexandria Real Estate Equities,Real Estate
6,1049068800,18895821,2003,3,ARE,Alexandria Real Estate Equities,Real Estate
7,1056931200,18952445,2003,6,ARE,Alexandria Real Estate Equities,Real Estate
8,1064880000,19023162,2003,9,ARE,Alexandria Real Estate Equities,Real Estate
9,1080691200,19206954,2004,3,ARE,Alexandria Real Estate Equities,Real Estate
10,1088553600,19284631,2004,6,ARE,Alexandria Real Estate Equities,Real Estate
11,1096502400,19352670,2004,9,ARE,Alexandria Real Estate Equities,Real Estate
12,1112227200,19468620,2005,3,ARE,Alexandria Real Estate Equities,Real Estate
13,1120089600,20936265,2005,6,ARE,Alexandria Real Estate Equities,Real Estate
14,1128038400,21091183,2005,9,ARE,Alexandria Real Estate Equities,Real Estate
15,1143763200,22322290,2006,3,ARE,Alexandria Real Estate Equities,Real Estate
16,1151625600,22856380,2006,6,ARE,Alexandria Real Estate Equities,Real Estate
17,1159574400,26323345,2006,9,ARE,Alexandria Real Estate Equities,Real Estate
18,1175299200,28899303,2007,3,ARE,Alexandria Real Estate Equities,Real Estate
19,1183161600,29045354,2007,6,ARE,Alexandria Real Estate Equities,Real Estate
20,1191110400,29258184,2007,9,ARE,Alexandria Real Estate Equities,Real Estate
21,1206921600,31546591,2008,3,ARE,Alexandria Real Estate Equities,Real Estate
22,1214784000,31615359,2008,6,ARE,Alexandria Real Estate Equities,Real Estate
23,1222732800,31694711,2008,9,ARE,Alexandria Real Estate Equities,Real Estate
24,1238457600,32478671,2009,3,ARE,Alexandria Real Estate Equities,Real Estate
25,1246320000,38929971,2009,6,ARE,Alexandria Real Estate Equities,Real Estate
26,1254268800,39094018,2009,9,ARE,Alexandria Real Estate Equities,Real Estate
27,1269993600,43706383,2010,3,ARE,Alexandria Real Estate Equities,Real Estate
28,1277856000,44870142,2010,6,ARE,Alexandria Real Estate Equities,Real Estate
29,1285804800,49807241,2010,9,ARE,Alexandria Real Estate Equities,Real Estate
30,1301529600,54948345,2011,3,ARE,Alexandria Real Estate Equities,Real Estate
31,1309392000,58500055,2011,6,ARE,Alexandria Real Estate Equities,Real Estate
32,1317340800,61295659,2011,9,ARE,Alexandria Real Estate Equities,Real Estate
33,1333152000,61507807,2012,3,ARE,Alexandria Real Estate Equities,Real Estate
34,1341014400,61663367,2012,6,ARE,Alexandria Real Estate Equities,Real Estate
35,1348963200,62364210,2012,9,ARE,Alexandria Real Estate Equities,Real Estate
36,1356912000,63091781,2012,12,ARE,Alexandria Real Estate Equities,Real Estate
37,1364688000,63161319,2013,3,ARE,Alexandria Real Estate Equities,Real Estate
38,1372550400,66973000,2013,6,ARE,Alexandria Real Estate Equities,Real Estate
39,1380499200,70900000,2013,9,ARE,Alexandria Real Estate Equities,Real Estate
40,1388448000,71000000,2013,12,ARE,Alexandria Real Estate Equities,Real Estate
41,1396224000,71073000,2014,3,ARE,Alexandria Real Estate Equities,Real Estate
42,1404086400,71126000,2014,6,ARE,Alexandria Real Estate Equities,Real Estate
43,1412035200,71195000,2014,9,ARE,Alexandria Real Estate Equities,Real Estate
44,1419984000,71314000,2014,12,ARE,Alexandria Real Estate Equities,Real Estate
45,1427760000,71366000,2015,3,ARE,Alexandria Real Estate Equities,Real Estate
46,1435622400,71412000,2015,6,ARE,Alexandria Real Estate Equities,Real Estate
47,1443571200,71500000,2015,9,ARE,Alexandria Real Estate Equities,Real Estate
48,1459382400,72584000,2016,3,ARE,Alexandria Real Estate Equities,Real Estate
49,1467244800,74319000,2016,6,ARE,Alexandria Real Estate Equities,Real Estate
50,1475193600,76651000,2016,9,ARE,Alexandria Real Estate Equities,Real Estate
51,1490918400,88147000,2017,3,ARE,Alexandria Real Estate Equities,Real Estate
52,1498780800,90215000,2017,6,ARE,Alexandria Real Estate Equities,Real Estate
53,1506729600,92598000,2017,9,ARE,Alexandria Real Estate Equities,Real Estate
54,1522454400,99855000,2018,3,ARE,Alexandria Real Estate Equities,Real Estate
55,1530316800,101881000,2018,6,ARE,Alexandria Real Estate Equities,Real Estate
