,d,v,years,months,ticker_symbol,security,sector
0,985996800,67183871,2001,3,AVB,AvalonBay Communities,Real Estate
1,993859200,67467241,2001,6,AVB,AvalonBay Communities,Real Estate
2,1001808000,68300862,2001,9,AVB,AvalonBay Communities,Real Estate
3,1017532800,68634615,2002,3,AVB,AvalonBay Communities,Real Estate
4,1025395200,68755319,2002,6,AVB,AvalonBay Communities,Real Estate
5,1033344000,68569444,2002,9,AVB,AvalonBay Communities,Real Estate
6,1049068800,67400000,2003,3,AVB,AvalonBay Communities,Real Estate
7,1056931200,67310909,2003,6,AVB,AvalonBay Communities,Real Estate
8,1064880000,69015000,2003,9,AVB,AvalonBay Communities,Real Estate
9,1080691200,70006061,2004,3,AVB,AvalonBay Communities,Real Estate
10,1088553600,71432609,2004,6,AVB,AvalonBay Communities,Real Estate
11,1096502400,71985000,2004,9,AVB,AvalonBay Communities,Real Estate
12,1112227200,72510753,2005,3,AVB,AvalonBay Communities,Real Estate
13,1120089600,72981333,2005,6,AVB,AvalonBay Communities,Real Estate
14,1128038400,73449242,2005,9,AVB,AvalonBay Communities,Real Estate
15,1143763200,73619737,2006,3,AVB,AvalonBay Communities,Real Estate
16,1151625600,74498901,2006,6,AVB,AvalonBay Communities,Real Estate
17,1159574400,73967241,2006,9,AVB,AvalonBay Communities,Real Estate
18,1175299200,77798246,2007,3,AVB,AvalonBay Communities,Real Estate
19,1183161600,78833871,2007,6,AVB,AvalonBay Communities,Real Estate
20,1191110400,79121250,2007,9,AVB,AvalonBay Communities,Real Estate
21,1206921600,77125000,2008,3,AVB,AvalonBay Communities,Real Estate
22,1214784000,76753951,2008,6,AVB,AvalonBay Communities,Real Estate
23,1222732800,76879070,2008,9,AVB,AvalonBay Communities,Real Estate
24,1238457600,78752744,2009,3,AVB,AvalonBay Communities,Real Estate
25,1246320000,79662223,2009,6,AVB,AvalonBay Communities,Real Estate
26,1254268800,80132409,2009,9,AVB,AvalonBay Communities,Real Estate
27,1269993600,81897566,2010,3,AVB,AvalonBay Communities,Real Estate
28,1277856000,83517908,2010,6,AVB,AvalonBay Communities,Real Estate
29,1285804800,84968804,2010,9,AVB,AvalonBay Communities,Real Estate
30,1301529600,86168732,2011,3,AVB,AvalonBay Communities,Real Estate
31,1309392000,86746992,2011,6,AVB,AvalonBay Communities,Real Estate
32,1317340800,91388357,2011,9,AVB,AvalonBay Communities,Real Estate
33,1333152000,95274494,2012,3,AVB,AvalonBay Communities,Real Estate
34,1341014400,95308163,2012,6,AVB,AvalonBay Communities,Real Estate
35,1348963200,97044603,2012,9,AVB,AvalonBay Communities,Real Estate
36,1356912000,102401254,2012,12,AVB,AvalonBay Communities,Real Estate
37,1364688000,119680510,2013,3,AVB,AvalonBay Communities,Real Estate
38,1372550400,129179471,2013,6,AVB,AvalonBay Communities,Real Estate
39,1380499200,129208839,2013,9,AVB,AvalonBay Communities,Real Estate
40,1388448000,129225745,2013,12,AVB,AvalonBay Communities,Real Estate
41,1396224000,129288771,2014,3,AVB,AvalonBay Communities,Real Estate
42,1404086400,130065698,2014,6,AVB,AvalonBay Communities,Real Estate
43,1412035200,131529503,2014,9,AVB,AvalonBay Communities,Real Estate
44,1419984000,132119949,2014,12,AVB,AvalonBay Communities,Real Estate
45,1427760000,132219579,2015,3,AVB,AvalonBay Communities,Real Estate
46,1435622400,132319255,2015,6,AVB,AvalonBay Communities,Real Estate
47,1443571200,133973114,2015,9,AVB,AvalonBay Communities,Real Estate
48,1451520000,136981717,2015,12,AVB,AvalonBay Communities,Real Estate
49,1459382400,137149999,2016,3,AVB,AvalonBay Communities,Real Estate
50,1467244800,137277401,2016,6,AVB,AvalonBay Communities,Real Estate
51,1475193600,137333785,2016,9,AVB,AvalonBay Communities,Real Estate
52,1483142400,137341078,2016,12,AVB,AvalonBay Communities,Real Estate
53,1490918400,137448610,2017,3,AVB,AvalonBay Communities,Real Estate
54,1498780800,137971632,2017,6,AVB,AvalonBay Communities,Real Estate
55,1506729600,138104883,2017,9,AVB,AvalonBay Communities,Real Estate
56,1514678400,138110099,2017,12,AVB,AvalonBay Communities,Real Estate
57,1522454400,138183976,2018,3,AVB,AvalonBay Communities,Real Estate
58,1530316800,138234894,2018,6,AVB,AvalonBay Communities,Real Estate
59,1538265600,138247503,2018,9,AVB,AvalonBay Communities,Real Estate
60,1546214400,138322285,2018,12,AVB,AvalonBay Communities,Real Estate
61,1553990400,138738917,2019,3,AVB,AvalonBay Communities,Real Estate
62,1561852800,139473842,2019,6,AVB,AvalonBay Communities,Real Estate
63,1569801600,139691534,2019,9,AVB,AvalonBay Communities,Real Estate
64,1577750400,139761996,2019,12,AVB,AvalonBay Communities,Real Estate
65,1585612800,140734522,2020,3,AVB,AvalonBay Communities,Real Estate
66,1593475200,140772364,2020,6,AVB,AvalonBay Communities,Real Estate
67,1601424000,140597502,2020,9,AVB,AvalonBay Communities,Real Estate
68,1609372800,139601172,2020,12,AVB,AvalonBay Communities,Real Estate
69,1617148800,139609404,2021,3,AVB,AvalonBay Communities,Real Estate
70,1625011200,139655102,2021,6,AVB,AvalonBay Communities,Real Estate
71,1632960000,139670482,2021,9,AVB,AvalonBay Communities,Real Estate
72,1640908800,139790984,2021,12,AVB,AvalonBay Communities,Real Estate
73,1648684800,139838920,2022,3,AVB,AvalonBay Communities,Real Estate
74,1656547200,139879013,2022,6,AVB,AvalonBay Communities,Real Estate
75,1668717956,139879013,2022,11,AVB,AvalonBay Communities,Real Estate
