,d,v,years,months,ticker_symbol,security,sector
0,985996800,88688000,2001,3,BXP,Boston Properties,Real Estate
1,993859200,89990000,2001,6,BXP,Boston Properties,Real Estate
2,1001808000,90519000,2001,9,BXP,Boston Properties,Real Estate
3,1017532800,90932000,2002,3,BXP,Boston Properties,Real Estate
4,1025395200,91357000,2002,6,BXP,Boston Properties,Real Estate
5,1033344000,94904000,2002,9,BXP,Boston Properties,Real Estate
6,1049068800,95733000,2003,3,BXP,Boston Properties,Real Estate
7,1056931200,96531000,2003,6,BXP,Boston Properties,Real Estate
8,1064880000,97360000,2003,9,BXP,Boston Properties,Real Estate
9,1080691200,100890000,2004,3,BXP,Boston Properties,Real Estate
10,1088553600,107216000,2004,6,BXP,Boston Properties,Real Estate
11,1096502400,108339000,2004,9,BXP,Boston Properties,Real Estate
12,1112227200,110187000,2005,3,BXP,Boston Properties,Real Estate
13,1120089600,110764000,2005,6,BXP,Boston Properties,Real Estate
14,1128038400,111776000,2005,9,BXP,Boston Properties,Real Estate
15,1143763200,112509000,2006,3,BXP,Boston Properties,Real Estate
16,1151625600,113994000,2006,6,BXP,Boston Properties,Real Estate
17,1159574400,115432000,2006,9,BXP,Boston Properties,Real Estate
18,1175299200,118177000,2007,3,BXP,Boston Properties,Real Estate
19,1183161600,118961000,2007,6,BXP,Boston Properties,Real Estate
20,1191110400,119010000,2007,9,BXP,Boston Properties,Real Estate
21,1206921600,119536000,2008,3,BXP,Boston Properties,Real Estate
22,1214784000,119753000,2008,6,BXP,Boston Properties,Real Estate
23,1222732800,119832000,2008,9,BXP,Boston Properties,Real Estate
24,1238457600,121256000,2009,3,BXP,Boston Properties,Real Estate
25,1246320000,125267000,2009,6,BXP,Boston Properties,Real Estate
26,1254268800,139989362,2009,9,BXP,Boston Properties,Real Estate
27,1269993600,138931000,2010,3,BXP,Boston Properties,Real Estate
28,1277856000,139113000,2010,6,BXP,Boston Properties,Real Estate
29,1285804800,139595000,2010,9,BXP,Boston Properties,Real Estate
30,1301529600,142095000,2011,3,BXP,Boston Properties,Real Estate
31,1309392000,145864000,2011,6,BXP,Boston Properties,Real Estate
32,1317340800,147006000,2011,9,BXP,Boston Properties,Real Estate
33,1333152000,148343000,2012,3,BXP,Boston Properties,Real Estate
34,1341014400,150312000,2012,6,BXP,Boston Properties,Real Estate
35,1348963200,150801000,2012,9,BXP,Boston Properties,Real Estate
36,1356912000,151006000,2012,12,BXP,Boston Properties,Real Estate
37,1364688000,151646000,2013,3,BXP,Boston Properties,Real Estate
38,1372550400,151938000,2013,6,BXP,Boston Properties,Real Estate
39,1380499200,152407000,2013,9,BXP,Boston Properties,Real Estate
40,1388448000,152798000,2013,12,BXP,Boston Properties,Real Estate
41,1396224000,153030000,2014,3,BXP,Boston Properties,Real Estate
42,1404086400,153078000,2014,6,BXP,Boston Properties,Real Estate
43,1412035200,153120000,2014,9,BXP,Boston Properties,Real Estate
44,1419984000,153128000,2014,12,BXP,Boston Properties,Real Estate
45,1427760000,153230000,2015,3,BXP,Boston Properties,Real Estate
46,1435622400,153450000,2015,6,BXP,Boston Properties,Real Estate
47,1443571200,153595000,2015,9,BXP,Boston Properties,Real Estate
48,1451520000,153602000,2015,12,BXP,Boston Properties,Real Estate
49,1459382400,153626000,2016,3,BXP,Boston Properties,Real Estate
50,1467244800,153662000,2016,6,BXP,Boston Properties,Real Estate
51,1475193600,153754000,2016,9,BXP,Boston Properties,Real Estate
52,1483142400,153814000,2016,12,BXP,Boston Properties,Real Estate
53,1490918400,153860000,2017,3,BXP,Boston Properties,Real Estate
54,1498780800,154177000,2017,6,BXP,Boston Properties,Real Estate
55,1506729600,154355000,2017,9,BXP,Boston Properties,Real Estate
56,1514678400,154362000,2017,12,BXP,Boston Properties,Real Estate
57,1522454400,154385000,2018,3,BXP,Boston Properties,Real Estate
58,1530316800,154415000,2018,6,BXP,Boston Properties,Real Estate
59,1538265600,154440000,2018,9,BXP,Boston Properties,Real Estate
60,1546214400,154467000,2018,12,BXP,Boston Properties,Real Estate
61,1553990400,154525000,2019,3,BXP,Boston Properties,Real Estate
62,1561852800,154555000,2019,6,BXP,Boston Properties,Real Estate
63,1569801600,154577000,2019,9,BXP,Boston Properties,Real Estate
64,1577750400,154667000,2019,12,BXP,Boston Properties,Real Estate
65,1585612800,155011000,2020,3,BXP,Boston Properties,Real Estate
66,1593475200,155386000,2020,6,BXP,Boston Properties,Real Estate
67,1601424000,155645000,2020,9,BXP,Boston Properties,Real Estate
68,1609372800,155682000,2020,12,BXP,Boston Properties,Real Estate
69,1617148800,155294915,2021,3,BXP,Boston Properties,Real Estate
70,1625011200,156107000,2021,6,BXP,Boston Properties,Real Estate
71,1632960000,156183000,2021,9,BXP,Boston Properties,Real Estate
72,1640908800,156297000,2021,12,BXP,Boston Properties,Real Estate
73,1648684800,156650000,2022,3,BXP,Boston Properties,Real Estate
74,1656547200,156720000,2022,6,BXP,Boston Properties,Real Estate
75,1668717971,156754000,2022,11,BXP,Boston Properties,Real Estate
