,d,v,years,months,ticker_symbol,security,sector
0,985996800,2390694,2001,3,EQIX,Equinix,Real Estate
1,993859200,2443591,2001,6,EQIX,Equinix,Real Estate
2,1001808000,2474515,2001,9,EQIX,Equinix,Real Estate
3,1017532800,2660437,2002,3,EQIX,Equinix,Real Estate
4,1025395200,3096822,2002,6,EQIX,Equinix,Real Estate
5,1033344000,3145931,2002,9,EQIX,Equinix,Real Estate
6,1049068800,8512000,2003,3,EQIX,Equinix,Real Estate
7,1056931200,8706000,2003,6,EQIX,Equinix,Real Estate
8,1064880000,9293000,2003,9,EQIX,Equinix,Real Estate
9,1080691200,15104000,2004,3,EQIX,Equinix,Real Estate
10,1088553600,18191000,2004,6,EQIX,Equinix,Real Estate
11,1096502400,18386000,2004,9,EQIX,Equinix,Real Estate
12,1112227200,21898000,2005,3,EQIX,Equinix,Real Estate
13,1120089600,23727000,2005,6,EQIX,Equinix,Real Estate
14,1128038400,24076000,2005,9,EQIX,Equinix,Real Estate
15,1143763200,27848000,2006,3,EQIX,Equinix,Real Estate
16,1151625600,28468000,2006,6,EQIX,Equinix,Real Estate
17,1159574400,28743000,2006,9,EQIX,Equinix,Real Estate
18,1175299200,29702000,2007,3,EQIX,Equinix,Real Estate
19,1183161600,31126000,2007,6,EQIX,Equinix,Real Estate
20,1191110400,31683000,2007,9,EQIX,Equinix,Real Estate
21,1206921600,36277000,2008,3,EQIX,Equinix,Real Estate
22,1214784000,36572000,2008,6,EQIX,Equinix,Real Estate
23,1222732800,36972000,2008,9,EQIX,Equinix,Real Estate
24,1238457600,37861000,2009,3,EQIX,Equinix,Real Estate
25,1246320000,38152000,2009,6,EQIX,Equinix,Real Estate
26,1254268800,38787000,2009,9,EQIX,Equinix,Real Estate
27,1269993600,39562000,2010,3,EQIX,Equinix,Real Estate
28,1277856000,43507000,2010,6,EQIX,Equinix,Real Estate
29,1285804800,45745000,2010,9,EQIX,Equinix,Real Estate
30,1301529600,46451000,2011,3,EQIX,Equinix,Real Estate
31,1309392000,46924000,2011,6,EQIX,Equinix,Real Estate
32,1317340800,47202000,2011,9,EQIX,Equinix,Real Estate
33,1333152000,46955000,2012,3,EQIX,Equinix,Real Estate
34,1341014400,48016000,2012,6,EQIX,Equinix,Real Estate
35,1348963200,48361000,2012,9,EQIX,Equinix,Real Estate
36,1356912000,48673000,2012,12,EQIX,Equinix,Real Estate
37,1364688000,49029000,2013,3,EQIX,Equinix,Real Estate
38,1372550400,49379000,2013,6,EQIX,Equinix,Real Estate
39,1380499200,49555000,2013,9,EQIX,Equinix,Real Estate
40,1388448000,49765000,2013,12,EQIX,Equinix,Real Estate
41,1396224000,49598000,2014,3,EQIX,Equinix,Real Estate
42,1404086400,51332000,2014,6,EQIX,Equinix,Real Estate
43,1412035200,53137000,2014,9,EQIX,Equinix,Real Estate
44,1419984000,55295000,2014,12,EQIX,Equinix,Real Estate
45,1427760000,56661000,2015,3,EQIX,Equinix,Real Estate
46,1435622400,56935000,2015,6,EQIX,Equinix,Real Estate
47,1443571200,57082000,2015,9,EQIX,Equinix,Real Estate
48,1451520000,60393000,2015,12,EQIX,Equinix,Real Estate
49,1459382400,68132000,2016,3,EQIX,Equinix,Real Estate
50,1467244800,69729000,2016,6,EQIX,Equinix,Real Estate
51,1475193600,71190000,2016,9,EQIX,Equinix,Real Estate
52,1483142400,71389000,2016,12,EQIX,Equinix,Real Estate
53,1490918400,72773000,2017,3,EQIX,Equinix,Real Estate
54,1498780800,77923000,2017,6,EQIX,Equinix,Real Estate
55,1506729600,78055000,2017,9,EQIX,Equinix,Real Estate
56,1514678400,78543000,2017,12,EQIX,Equinix,Real Estate
57,1522454400,79241000,2018,3,EQIX,Equinix,Real Estate
58,1530316800,79479000,2018,6,EQIX,Equinix,Real Estate
59,1538265600,79872000,2018,9,EQIX,Equinix,Real Estate
60,1546214400,80509000,2018,12,EQIX,Equinix,Real Estate
61,1553990400,81814000,2019,3,EQIX,Equinix,Real Estate
62,1561852800,84399000,2019,6,EQIX,Equinix,Real Estate
63,1569801600,85012000,2019,9,EQIX,Equinix,Real Estate
64,1577750400,85289000,2019,12,EQIX,Equinix,Real Estate
65,1585612800,85551000,2020,3,EQIX,Equinix,Real Estate
66,1593475200,87303000,2020,6,EQIX,Equinix,Real Estate
67,1601424000,88806000,2020,9,EQIX,Equinix,Real Estate
68,1609372800,89113000,2020,12,EQIX,Equinix,Real Estate
69,1617148800,89330000,2021,3,EQIX,Equinix,Real Estate
70,1625011200,89648000,2021,6,EQIX,Equinix,Real Estate
71,1632960000,89858000,2021,9,EQIX,Equinix,Real Estate
72,1640908800,90240000,2021,12,EQIX,Equinix,Real Estate
73,1648684800,90771000,2022,3,EQIX,Equinix,Real Estate
74,1656547200,91036000,2022,6,EQIX,Equinix,Real Estate
75,1668718048,91036000,2022,11,EQIX,Equinix,Real Estate
