,d,v,years,months,ticker_symbol,security,sector
0,985996800,265198000,2001,3,EQR,Equity Residential,Real Estate
1,993859200,266358000,2001,6,EQR,Equity Residential,Real Estate
2,1001808000,268253000,2001,9,EQR,Equity Residential,Real Estate
3,1017532800,271094000,2002,3,EQR,Equity Residential,Real Estate
4,1025395200,273146000,2002,6,EQR,Equity Residential,Real Estate
5,1033344000,273943000,2002,9,EQR,Equity Residential,Real Estate
6,1049068800,270678000,2003,3,EQR,Equity Residential,Real Estate
7,1056931200,271380000,2003,6,EQR,Equity Residential,Real Estate
8,1064880000,272787000,2003,9,EQR,Equity Residential,Real Estate
9,1080691200,277498000,2004,3,EQR,Equity Residential,Real Estate
10,1088553600,278949000,2004,6,EQR,Equity Residential,Real Estate
11,1096502400,280167000,2004,9,EQR,Equity Residential,Real Estate
12,1112227200,284511000,2005,3,EQR,Equity Residential,Real Estate
13,1120089600,285283000,2005,6,EQR,Equity Residential,Real Estate
14,1128038400,286182000,2005,9,EQR,Equity Residential,Real Estate
15,1143763200,288880000,2006,3,EQR,Equity Residential,Real Estate
16,1151625600,289460000,2006,6,EQR,Equity Residential,Real Estate
17,1159574400,290036000,2006,9,EQR,Equity Residential,Real Estate
18,1175299200,292251000,2007,3,EQR,Equity Residential,Real Estate
19,1183161600,284424000,2007,6,EQR,Equity Residential,Real Estate
20,1191110400,272086000,2007,9,EQR,Equity Residential,Real Estate
21,1206921600,268784000,2008,3,EQR,Equity Residential,Real Estate
22,1214784000,269608000,2008,6,EQR,Equity Residential,Real Estate
23,1222732800,270345000,2008,9,EQR,Equity Residential,Real Estate
24,1238457600,272324000,2009,3,EQR,Equity Residential,Real Estate
25,1246320000,272901000,2009,6,EQR,Equity Residential,Real Estate
26,1254268800,273658000,2009,9,EQR,Equity Residential,Real Estate
27,1269993600,280645000,2010,3,EQR,Equity Residential,Real Estate
28,1277856000,282217000,2010,6,EQR,Equity Residential,Real Estate
29,1285804800,282717000,2010,9,EQR,Equity Residential,Real Estate
30,1301529600,292895000,2011,3,EQR,Equity Residential,Real Estate
31,1309392000,294663000,2011,6,EQR,Equity Residential,Real Estate
32,1317340800,295831000,2011,9,EQR,Equity Residential,Real Estate
33,1333152000,298805000,2012,3,EQR,Equity Residential,Real Estate
34,1341014400,300193000,2012,6,EQR,Equity Residential,Real Estate
35,1348963200,301336000,2012,9,EQR,Equity Residential,Real Estate
36,1356912000,310398000,2012,12,EQR,Equity Residential,Real Estate
37,1364688000,337532000,2013,3,EQR,Equity Residential,Real Estate
38,1372550400,359653000,2013,6,EQR,Equity Residential,Real Estate
39,1380499200,359811000,2013,9,EQR,Equity Residential,Real Estate
40,1388448000,359919000,2013,12,EQR,Equity Residential,Real Estate
41,1396224000,360470000,2014,3,EQR,Equity Residential,Real Estate
42,1404086400,360809000,2014,6,EQR,Equity Residential,Real Estate
43,1412035200,361409000,2014,9,EQR,Equity Residential,Real Estate
44,1419984000,362018000,2014,12,EQR,Equity Residential,Real Estate
45,1427760000,363098000,2015,3,EQR,Equity Residential,Real Estate
46,1435622400,363476000,2015,6,EQR,Equity Residential,Real Estate
47,1443571200,363579000,2015,9,EQR,Equity Residential,Real Estate
48,1451520000,363828000,2015,12,EQR,Equity Residential,Real Estate
49,1459382400,364592000,2016,3,EQR,Equity Residential,Real Estate
50,1467244800,365047000,2016,6,EQR,Equity Residential,Real Estate
51,1475193600,365109000,2016,9,EQR,Equity Residential,Real Estate
52,1483142400,365256000,2016,12,EQR,Equity Residential,Real Estate
53,1490918400,366605000,2017,3,EQR,Equity Residential,Real Estate
54,1498780800,366820000,2017,6,EQR,Equity Residential,Real Estate
55,1506729600,366996000,2017,9,EQR,Equity Residential,Real Estate
56,1514678400,367442000,2017,12,EQR,Equity Residential,Real Estate
57,1522454400,367800000,2018,3,EQR,Equity Residential,Real Estate
58,1530316800,367930000,2018,6,EQR,Equity Residential,Real Estate
59,1538265600,368028000,2018,9,EQR,Equity Residential,Real Estate
60,1546214400,368445000,2018,12,EQR,Equity Residential,Real Estate
61,1553990400,369558000,2019,3,EQR,Equity Residential,Real Estate
62,1561852800,370342000,2019,6,EQR,Equity Residential,Real Estate
63,1569801600,370768000,2019,9,EQR,Equity Residential,Real Estate
64,1577750400,371155000,2019,12,EQR,Equity Residential,Real Estate
65,1585612800,371582000,2020,3,EQR,Equity Residential,Real Estate
66,1593475200,371795000,2020,6,EQR,Equity Residential,Real Estate
67,1601424000,371869000,2020,9,EQR,Equity Residential,Real Estate
68,1609372800,371915000,2020,12,EQR,Equity Residential,Real Estate
69,1617148800,372280000,2021,3,EQR,Equity Residential,Real Estate
70,1625011200,373812000,2021,6,EQR,Equity Residential,Real Estate
71,1632960000,374308000,2021,9,EQR,Equity Residential,Real Estate
72,1640908800,374897000,2021,12,EQR,Equity Residential,Real Estate
73,1648684800,375508944,2022,3,EQR,Equity Residential,Real Estate
74,1656547200,375769000,2022,6,EQR,Equity Residential,Real Estate
75,1668718064,375850000,2022,11,EQR,Equity Residential,Real Estate
