,d,v,years,months,ticker_symbol,security,sector
0,1056931200,6358292,2003,6,EXR,Extra Space Storage,Real Estate
1,1064880000,4491902,2003,9,EXR,Extra Space Storage,Real Estate
2,1080691200,28140000,2004,3,EXR,Extra Space Storage,Real Estate
3,1088553600,28140000,2004,6,EXR,Extra Space Storage,Real Estate
4,1096502400,15241832,2004,9,EXR,Extra Space Storage,Real Estate
5,1112227200,31169950,2005,3,EXR,Extra Space Storage,Real Estate
6,1120089600,31858839,2005,6,EXR,Extra Space Storage,Real Estate
7,1128038400,37465700,2005,9,EXR,Extra Space Storage,Real Estate
8,1143763200,51593729,2006,3,EXR,Extra Space Storage,Real Estate
9,1151625600,51625135,2006,6,EXR,Extra Space Storage,Real Estate
10,1159574400,52501864,2006,9,EXR,Extra Space Storage,Real Estate
11,1175299200,64058756,2007,3,EXR,Extra Space Storage,Real Estate
12,1183161600,64439138,2007,6,EXR,Extra Space Storage,Real Estate
13,1191110400,64901249,2007,9,EXR,Extra Space Storage,Real Estate
14,1206921600,65825022,2008,3,EXR,Extra Space Storage,Real Estate
15,1214784000,73420540,2008,6,EXR,Extra Space Storage,Real Estate
16,1222732800,81736986,2008,9,EXR,Extra Space Storage,Real Estate
17,1238457600,85940389,2009,3,EXR,Extra Space Storage,Real Estate
18,1246320000,86397618,2009,6,EXR,Extra Space Storage,Real Estate
19,1254268800,86437877,2009,9,EXR,Extra Space Storage,Real Estate
20,1269993600,86873472,2010,3,EXR,Extra Space Storage,Real Estate
21,1277856000,87367967,2010,6,EXR,Extra Space Storage,Real Estate
22,1285804800,87484731,2010,9,EXR,Extra Space Storage,Real Estate
23,1301529600,88045951,2011,3,EXR,Extra Space Storage,Real Estate
24,1309392000,91439042,2011,6,EXR,Extra Space Storage,Real Estate
25,1317340800,94314429,2011,9,EXR,Extra Space Storage,Real Estate
26,1333152000,94888078,2012,3,EXR,Extra Space Storage,Real Estate
27,1341014400,102107535,2012,6,EXR,Extra Space Storage,Real Estate
28,1348963200,104252227,2012,9,EXR,Extra Space Storage,Real Estate
29,1356912000,107830985,2012,12,EXR,Extra Space Storage,Real Estate
30,1364688000,110809924,2013,3,EXR,Extra Space Storage,Real Estate
31,1372550400,111137437,2013,6,EXR,Extra Space Storage,Real Estate
32,1380499200,111231452,2013,9,EXR,Extra Space Storage,Real Estate
33,1388448000,113495805,2013,12,EXR,Extra Space Storage,Real Estate
34,1396224000,115438325,2014,3,EXR,Extra Space Storage,Real Estate
35,1404086400,115653489,2014,6,EXR,Extra Space Storage,Real Estate
36,1412035200,115726911,2014,9,EXR,Extra Space Storage,Real Estate
37,1419984000,116032453,2014,12,EXR,Extra Space Storage,Real Estate
38,1427760000,116117615,2015,3,EXR,Extra Space Storage,Real Estate
39,1435622400,116861678,2015,6,EXR,Extra Space Storage,Real Estate
40,1443571200,122644837,2015,9,EXR,Extra Space Storage,Real Estate
41,1451520000,123531844,2015,12,EXR,Extra Space Storage,Real Estate
42,1459382400,124754174,2016,3,EXR,Extra Space Storage,Real Estate
43,1467244800,124914467,2016,6,EXR,Extra Space Storage,Real Estate
44,1475193600,125752291,2016,9,EXR,Extra Space Storage,Real Estate
45,1483142400,125525954,2016,12,EXR,Extra Space Storage,Real Estate
46,1490918400,125605403,2017,3,EXR,Extra Space Storage,Real Estate
47,1498780800,125673156,2017,6,EXR,Extra Space Storage,Real Estate
48,1506729600,125717517,2017,9,EXR,Extra Space Storage,Real Estate
49,1514678400,126007129,2017,12,EXR,Extra Space Storage,Real Estate
50,1522454400,125772439,2018,3,EXR,Extra Space Storage,Real Estate
51,1530316800,125874130,2018,6,EXR,Extra Space Storage,Real Estate
52,1538265600,126466837,2018,9,EXR,Extra Space Storage,Real Estate
53,1546214400,126466028,2018,12,EXR,Extra Space Storage,Real Estate
54,1553990400,127037247,2019,3,EXR,Extra Space Storage,Real Estate
55,1561852800,127585436,2019,6,EXR,Extra Space Storage,Real Estate
56,1569801600,128776549,2019,9,EXR,Extra Space Storage,Real Estate
57,1577750400,129313513,2019,12,EXR,Extra Space Storage,Real Estate
58,1585612800,129288629,2020,3,EXR,Extra Space Storage,Real Estate
59,1593475200,128932152,2020,6,EXR,Extra Space Storage,Real Estate
60,1601424000,128862341,2020,9,EXR,Extra Space Storage,Real Estate
61,1609372800,130388071,2020,12,EXR,Extra Space Storage,Real Estate
62,1617148800,132007556,2021,3,EXR,Extra Space Storage,Real Estate
63,1625011200,133756610,2021,6,EXR,Extra Space Storage,Real Estate
64,1632960000,133809750,2021,9,EXR,Extra Space Storage,Real Estate
65,1640908800,133900276,2021,12,EXR,Extra Space Storage,Real Estate
66,1648684800,134180175,2022,3,EXR,Extra Space Storage,Real Estate
67,1656547200,134192540,2022,6,EXR,Extra Space Storage,Real Estate
68,1668718095,134192540,2022,11,EXR,Extra Space Storage,Real Estate
