,d,v,years,months,ticker_symbol,security,sector
0,1459382400,302116760,2016,3,INVH,Invitation Homes,Real Estate
1,1467244800,302116760,2016,6,INVH,Invitation Homes,Real Estate
2,1475193600,302116760,2016,9,INVH,Invitation Homes,Real Estate
3,1490918400,310376634,2017,3,INVH,Invitation Homes,Real Estate
4,1498780800,311771221,2017,6,INVH,Invitation Homes,Real Estate
5,1506729600,311559780,2017,9,INVH,Invitation Homes,Real Estate
6,1522454400,519660998,2018,3,INVH,Invitation Homes,Real Estate
7,1530316800,520509058,2018,6,INVH,Invitation Homes,Real Estate
8,1538265600,520620519,2018,9,INVH,Invitation Homes,Real Estate
9,1546214400,520703045,2018,12,INVH,Invitation Homes,Real Estate
10,1553990400,521440822,2019,3,INVH,Invitation Homes,Real Estate
11,1561852800,525070036,2019,6,INVH,Invitation Homes,Real Estate
12,1569801600,537771245,2019,9,INVH,Invitation Homes,Real Estate
13,1577750400,540218045,2019,12,INVH,Invitation Homes,Real Estate
14,1585612800,542549512,2020,3,INVH,Invitation Homes,Real Estate
15,1593475200,548811968,2020,6,INVH,Invitation Homes,Real Estate
16,1601424000,560598995,2020,9,INVH,Invitation Homes,Real Estate
17,1609372800,563968010,2020,12,INVH,Invitation Homes,Real Estate
18,1617148800,567375502,2021,3,INVH,Invitation Homes,Real Estate
19,1625011200,567931472,2021,6,INVH,Invitation Homes,Real Estate
20,1632960000,577011178,2021,9,INVH,Invitation Homes,Real Estate
21,1640908800,598076066,2021,12,INVH,Invitation Homes,Real Estate
22,1648684800,606410225,2022,3,INVH,Invitation Homes,Real Estate
23,1656547200,610331643,2022,6,INVH,Invitation Homes,Real Estate
24,1668718156,610845820,2022,11,INVH,Invitation Homes,Real Estate
