,d,v,years,months,ticker_symbol,security,sector
0,985996800,190323077,2001,3,KIM,Kimco Realty,Real Estate
1,993859200,190778313,2001,6,KIM,Kimco Realty,Real Estate
2,1001808000,192830488,2001,9,KIM,Kimco Realty,Real Estate
3,1017532800,208462963,2002,3,KIM,Kimco Realty,Real Estate
4,1025395200,209059259,2002,6,KIM,Kimco Realty,Real Estate
5,1033344000,207951852,2002,9,KIM,Kimco Realty,Real Estate
6,1049068800,210641270,2003,3,KIM,Kimco Realty,Real Estate
7,1056931200,209863830,2003,6,KIM,Kimco Realty,Real Estate
8,1064880000,216085366,2003,9,KIM,Kimco Realty,Real Estate
9,1080691200,220903226,2004,3,KIM,Kimco Realty,Real Estate
10,1088553600,221035484,2004,6,KIM,Kimco Realty,Real Estate
11,1096502400,222358824,2004,9,KIM,Kimco Realty,Real Estate
12,1112227200,226678378,2005,3,KIM,Kimco Realty,Real Estate
13,1120089600,227966197,2005,6,KIM,Kimco Realty,Real Estate
14,1128038400,228983333,2005,9,KIM,Kimco Realty,Real Estate
15,1143763200,228674000,2006,3,KIM,Kimco Realty,Real Estate
16,1151625600,240554000,2006,6,KIM,Kimco Realty,Real Estate
17,1159574400,241002000,2006,9,KIM,Kimco Realty,Real Estate
18,1175299200,251365000,2007,3,KIM,Kimco Realty,Real Estate
19,1183161600,252074000,2007,6,KIM,Kimco Realty,Real Estate
20,1191110400,252327000,2007,9,KIM,Kimco Realty,Real Estate
21,1206921600,252932000,2008,3,KIM,Kimco Realty,Real Estate
22,1214784000,253740000,2008,6,KIM,Kimco Realty,Real Estate
23,1222732800,256164000,2008,9,KIM,Kimco Realty,Real Estate
24,1238457600,271083000,2009,3,KIM,Kimco Realty,Real Estate
25,1246320000,368254000,2009,6,KIM,Kimco Realty,Real Estate
26,1254268800,376559000,2009,9,KIM,Kimco Realty,Real Estate
27,1269993600,405564000,2010,3,KIM,Kimco Realty,Real Estate
28,1277856000,405705000,2010,6,KIM,Kimco Realty,Real Estate
29,1285804800,405854000,2010,9,KIM,Kimco Realty,Real Estate
30,1301529600,406440000,2011,3,KIM,Kimco Realty,Real Estate
31,1309392000,406559000,2011,6,KIM,Kimco Realty,Real Estate
32,1317340800,406564000,2011,9,KIM,Kimco Realty,Real Estate
33,1333152000,406272000,2012,3,KIM,Kimco Realty,Real Estate
34,1341014400,405560000,2012,6,KIM,Kimco Realty,Real Estate
35,1348963200,405810000,2012,9,KIM,Kimco Realty,Real Estate
36,1356912000,406345000,2012,12,KIM,Kimco Realty,Real Estate
37,1364688000,406662000,2013,3,KIM,Kimco Realty,Real Estate
38,1372550400,407640000,2013,6,KIM,Kimco Realty,Real Estate
39,1380499200,408060000,2013,9,KIM,Kimco Realty,Real Estate
40,1388448000,408139000,2013,12,KIM,Kimco Realty,Real Estate
41,1396224000,408367000,2014,3,KIM,Kimco Realty,Real Estate
42,1404086400,408902000,2014,6,KIM,Kimco Realty,Real Estate
43,1412035200,409326000,2014,9,KIM,Kimco Realty,Real Estate
44,1419984000,409740000,2014,12,KIM,Kimco Realty,Real Estate
45,1427760000,410433000,2015,3,KIM,Kimco Realty,Real Estate
46,1435622400,411317000,2015,6,KIM,Kimco Realty,Real Estate
47,1443571200,411487000,2015,9,KIM,Kimco Realty,Real Estate
48,1451520000,411667000,2015,12,KIM,Kimco Realty,Real Estate
49,1459382400,412630000,2016,3,KIM,Kimco Realty,Real Estate
50,1467244800,417748000,2016,6,KIM,Kimco Realty,Real Estate
51,1475193600,420073000,2016,9,KIM,Kimco Realty,Real Estate
52,1483142400,423087000,2016,12,KIM,Kimco Realty,Real Estate
53,1490918400,423381000,2017,3,KIM,Kimco Realty,Real Estate
54,1498780800,423650000,2017,6,KIM,Kimco Realty,Real Estate
55,1506729600,423688000,2017,9,KIM,Kimco Realty,Real Estate
56,1514678400,423734000,2017,12,KIM,Kimco Realty,Real Estate
57,1522454400,423404000,2018,3,KIM,Kimco Realty,Real Estate
58,1530316800,420731000,2018,6,KIM,Kimco Realty,Real Estate
59,1538265600,419230000,2018,9,KIM,Kimco Realty,Real Estate
60,1546214400,419258000,2018,12,KIM,Kimco Realty,Real Estate
61,1553990400,419464000,2019,3,KIM,Kimco Realty,Real Estate
62,1561852800,419697000,2019,6,KIM,Kimco Realty,Real Estate
63,1569801600,419823000,2019,9,KIM,Kimco Realty,Real Estate
64,1577750400,422467000,2019,12,KIM,Kimco Realty,Real Estate
65,1585612800,429735000,2020,3,KIM,Kimco Realty,Real Estate
66,1593475200,429967000,2020,6,KIM,Kimco Realty,Real Estate
67,1601424000,429994000,2020,9,KIM,Kimco Realty,Real Estate
68,1609372800,430103000,2020,12,KIM,Kimco Realty,Real Estate
69,1617148800,430524000,2021,3,KIM,Kimco Realty,Real Estate
70,1625011200,431011000,2021,6,KIM,Kimco Realty,Real Estate
71,1632960000,546842000,2021,9,KIM,Kimco Realty,Real Estate
72,1640908800,614150000,2021,12,KIM,Kimco Realty,Real Estate
73,1648684800,614767000,2022,3,KIM,Kimco Realty,Real Estate
74,1656547200,615642000,2022,6,KIM,Kimco Realty,Real Estate
75,1668718187,615642000,2022,11,KIM,Kimco Realty,Real Estate
