,d,v,years,months,ticker_symbol,security,sector
0,985996800,17479000,2001,3,MAA,Mid-America Apartment Communities,Real Estate
1,993859200,17397000,2001,6,MAA,Mid-America Apartment Communities,Real Estate
2,1001808000,17406000,2001,9,MAA,Mid-America Apartment Communities,Real Estate
3,1017532800,17455000,2002,3,MAA,Mid-America Apartment Communities,Real Estate
4,1025395200,17498000,2002,6,MAA,Mid-America Apartment Communities,Real Estate
5,1033344000,17579000,2002,9,MAA,Mid-America Apartment Communities,Real Estate
6,1049068800,17752000,2003,3,MAA,Mid-America Apartment Communities,Real Estate
7,1056931200,17824000,2003,6,MAA,Mid-America Apartment Communities,Real Estate
8,1064880000,18302000,2003,9,MAA,Mid-America Apartment Communities,Real Estate
9,1080691200,20038000,2004,3,MAA,Mid-America Apartment Communities,Real Estate
10,1088553600,20275000,2004,6,MAA,Mid-America Apartment Communities,Real Estate
11,1096502400,20338000,2004,9,MAA,Mid-America Apartment Communities,Real Estate
12,1112227200,20928000,2005,3,MAA,Mid-America Apartment Communities,Real Estate
13,1120089600,21351000,2005,6,MAA,Mid-America Apartment Communities,Real Estate
14,1128038400,21548000,2005,9,MAA,Mid-America Apartment Communities,Real Estate
15,1143763200,22134000,2006,3,MAA,Mid-America Apartment Communities,Real Estate
16,1151625600,23152000,2006,6,MAA,Mid-America Apartment Communities,Real Estate
17,1159574400,23990000,2006,9,MAA,Mid-America Apartment Communities,Real Estate
18,1175299200,25087000,2007,3,MAA,Mid-America Apartment Communities,Real Estate
19,1183161600,25288000,2007,6,MAA,Mid-America Apartment Communities,Real Estate
20,1191110400,25362000,2007,9,MAA,Mid-America Apartment Communities,Real Estate
21,1206921600,25628000,2008,3,MAA,Mid-America Apartment Communities,Real Estate
22,1214784000,26599000,2008,6,MAA,Mid-America Apartment Communities,Real Estate
23,1222732800,27474000,2008,9,MAA,Mid-America Apartment Communities,Real Estate
24,1238457600,28085000,2009,3,MAA,Mid-America Apartment Communities,Real Estate
25,1246320000,28105000,2009,6,MAA,Mid-America Apartment Communities,Real Estate
26,1254268800,28364000,2009,9,MAA,Mid-America Apartment Communities,Real Estate
27,1269993600,29130000,2010,3,MAA,Mid-America Apartment Communities,Real Estate
28,1277856000,30628000,2010,6,MAA,Mid-America Apartment Communities,Real Estate
29,1285804800,33312000,2010,9,MAA,Mid-America Apartment Communities,Real Estate
30,1301529600,35706334,2011,3,MAA,Mid-America Apartment Communities,Real Estate
31,1309392000,36836000,2011,6,MAA,Mid-America Apartment Communities,Real Estate
32,1317340800,37274000,2011,9,MAA,Mid-America Apartment Communities,Real Estate
33,1333152000,39505000,2012,3,MAA,Mid-America Apartment Communities,Real Estate
34,1341014400,40983000,2012,6,MAA,Mid-America Apartment Communities,Real Estate
35,1348963200,41405000,2012,9,MAA,Mid-America Apartment Communities,Real Estate
36,1364688000,42683322,2013,3,MAA,Mid-America Apartment Communities,Real Estate
37,1372550400,42736134,2013,6,MAA,Mid-America Apartment Communities,Real Estate
38,1380499200,42744978,2013,9,MAA,Mid-America Apartment Communities,Real Estate
39,1388448000,74830726,2013,12,MAA,Mid-America Apartment Communities,Real Estate
40,1396224000,74803000,2014,3,MAA,Mid-America Apartment Communities,Real Estate
41,1404086400,74948000,2014,6,MAA,Mid-America Apartment Communities,Real Estate
42,1412035200,75058000,2014,9,MAA,Mid-America Apartment Communities,Real Estate
43,1419984000,75114000,2014,12,MAA,Mid-America Apartment Communities,Real Estate
44,1427760000,75145000,2015,3,MAA,Mid-America Apartment Communities,Real Estate
45,1435622400,75168000,2015,6,MAA,Mid-America Apartment Communities,Real Estate
46,1443571200,75189000,2015,9,MAA,Mid-America Apartment Communities,Real Estate
47,1451520000,75203000,2015,12,MAA,Mid-America Apartment Communities,Real Estate
48,1459382400,75249000,2016,3,MAA,Mid-America Apartment Communities,Real Estate
49,1467244800,75277000,2016,6,MAA,Mid-America Apartment Communities,Real Estate
50,1475193600,75302000,2016,9,MAA,Mid-America Apartment Communities,Real Estate
51,1483142400,88109000,2016,12,MAA,Mid-America Apartment Communities,Real Estate
52,1490918400,113338000,2017,3,MAA,Mid-America Apartment Communities,Real Estate
53,1498780800,113403000,2017,6,MAA,Mid-America Apartment Communities,Real Estate
54,1506729600,113434000,2017,9,MAA,Mid-America Apartment Communities,Real Estate
55,1514678400,113453000,2017,12,MAA,Mid-America Apartment Communities,Real Estate
56,1522454400,113507000,2018,3,MAA,Mid-America Apartment Communities,Real Estate
57,1530316800,113646000,2018,6,MAA,Mid-America Apartment Communities,Real Estate
58,1538265600,113671000,2018,9,MAA,Mid-America Apartment Communities,Real Estate
59,1546214400,113690000,2018,12,MAA,Mid-America Apartment Communities,Real Estate
60,1553990400,113726000,2019,3,MAA,Mid-America Apartment Communities,Real Estate
61,1561852800,113838000,2019,6,MAA,Mid-America Apartment Communities,Real Estate
62,1569801600,113877000,2019,9,MAA,Mid-America Apartment Communities,Real Estate
63,1577750400,113967000,2019,12,MAA,Mid-America Apartment Communities,Real Estate
64,1585612800,114111000,2020,3,MAA,Mid-America Apartment Communities,Real Estate
65,1593475200,114204000,2020,6,MAA,Mid-America Apartment Communities,Real Estate
66,1601424000,114216000,2020,9,MAA,Mid-America Apartment Communities,Real Estate
67,1609372800,114220000,2020,12,MAA,Mid-America Apartment Communities,Real Estate
68,1617148800,114263000,2021,3,MAA,Mid-America Apartment Communities,Real Estate
69,1625011200,114494000,2021,6,MAA,Mid-America Apartment Communities,Real Estate
70,1632960000,114933000,2021,9,MAA,Mid-America Apartment Communities,Real Estate
71,1640908800,115158000,2021,12,MAA,Mid-America Apartment Communities,Real Estate
72,1648684800,115259000,2022,3,MAA,Mid-America Apartment Communities,Real Estate
73,1656547200,115353000,2022,6,MAA,Mid-America Apartment Communities,Real Estate
74,1668718201,115363000,2022,11,MAA,Mid-America Apartment Communities,Real Estate
