,d,v,years,months,ticker_symbol,security,sector
0,985996800,53483333,2001,3,O,Realty Income,Real Estate
1,993859200,56656410,2001,6,O,Realty Income,Real Estate
2,1001808000,59032000,2001,9,O,Realty Income,Real Estate
3,1017532800,66108333,2002,3,O,Realty Income,Real Estate
4,1025395200,66737500,2002,6,O,Realty Income,Real Estate
5,1033344000,68965044,2002,9,O,Realty Income,Real Estate
6,1049068800,69360000,2003,3,O,Realty Income,Real Estate
7,1056931200,69853846,2003,6,O,Realty Income,Real Estate
8,1064880000,70200000,2003,9,O,Realty Income,Real Estate
9,1080691200,76010169,2004,3,O,Realty Income,Real Estate
10,1088553600,79429630,2004,6,O,Realty Income,Real Estate
11,1096502400,79956364,2004,9,O,Realty Income,Real Estate
12,1112227200,79581517,2005,3,O,Realty Income,Real Estate
13,1120089600,79597321,2005,6,O,Realty Income,Real Estate
14,1128038400,79779808,2005,9,O,Realty Income,Real Estate
15,1143763200,83208660,2006,3,O,Realty Income,Real Estate
16,1151625600,88305175,2006,6,O,Realty Income,Real Estate
17,1159574400,89166429,2006,9,O,Realty Income,Real Estate
18,1175299200,100054868,2007,3,O,Realty Income,Real Estate
19,1183161600,100133094,2007,6,O,Realty Income,Real Estate
20,1191110400,100187901,2007,9,O,Realty Income,Real Estate
21,1206921600,100280264,2008,3,O,Realty Income,Real Estate
22,1214784000,100346512,2008,6,O,Realty Income,Real Estate
23,1222732800,100362872,2008,9,O,Realty Income,Real Estate
24,1238457600,103439114,2009,3,O,Realty Income,Real Estate
25,1246320000,103446949,2009,6,O,Realty Income,Real Estate
26,1254268800,103470512,2009,9,O,Realty Income,Real Estate
27,1269993600,103606241,2010,3,O,Realty Income,Real Estate
28,1277856000,103612454,2010,6,O,Realty Income,Real Estate
29,1285804800,103830029,2010,9,O,Realty Income,Real Estate
30,1301529600,118960878,2011,3,O,Realty Income,Real Estate
31,1309392000,122547027,2011,6,O,Realty Income,Real Estate
32,1317340800,126376201,2011,9,O,Realty Income,Real Estate
33,1333152000,132577100,2012,3,O,Realty Income,Real Estate
34,1341014400,132592939,2012,6,O,Realty Income,Real Estate
35,1348963200,158476895,2012,9,O,Realty Income,Real Estate
36,1364688000,171659191,2013,3,O,Realty Income,Real Estate
37,1372550400,195574014,2013,6,O,Realty Income,Real Estate
38,1380499200,195768298,2013,9,O,Realty Income,Real Estate
39,1388448000,203303124,2013,12,O,Realty Income,Real Estate
40,1396224000,205126087,2014,3,O,Realty Income,Real Estate
41,1404086400,220979955,2014,6,O,Realty Income,Real Estate
42,1412035200,222061661,2014,9,O,Realty Income,Real Estate
43,1419984000,221931250,2014,12,O,Realty Income,Real Estate
44,1427760000,224051852,2015,3,O,Realty Income,Real Estate
45,1435622400,228142308,2015,6,O,Realty Income,Real Estate
46,1443571200,233480769,2015,9,O,Realty Income,Real Estate
47,1451520000,245712903,2015,12,O,Realty Income,Real Estate
48,1459382400,253892000,2016,3,O,Realty Income,Real Estate
49,1467244800,255722222,2016,6,O,Realty Income,Real Estate
50,1475193600,258085633,2016,9,O,Realty Income,Real Estate
51,1483142400,259609091,2016,12,O,Realty Income,Real Estate
52,1490918400,265133333,2017,3,O,Realty Income,Real Estate
53,1498780800,270453333,2017,6,O,Realty Income,Real Estate
54,1506729600,274812500,2017,9,O,Realty Income,Real Estate
55,1514678400,276600000,2017,12,O,Realty Income,Real Estate
56,1522454400,286768966,2018,3,O,Realty Income,Real Estate
57,1530316800,283470588,2018,6,O,Realty Income,Real Estate
58,1538265600,291173529,2018,9,O,Realty Income,Real Estate
59,1546214400,293351724,2018,12,O,Realty Income,Real Estate
60,1553990400,299843243,2019,3,O,Realty Income,Real Estate
61,1561852800,307077419,2019,6,O,Realty Income,Real Estate
62,1569801600,315778125,2019,9,O,Realty Income,Real Estate
63,1577750400,328565734,2019,12,O,Realty Income,Real Estate
64,1585612800,333697727,2020,3,O,Realty Income,Real Estate
65,1593475200,347819355,2020,6,O,Realty Income,Real Estate
66,1601424000,327200000,2020,9,O,Realty Income,Real Estate
67,1609372800,357366667,2020,12,O,Realty Income,Real Estate
68,1617148800,369000000,2021,3,O,Realty Income,Real Estate
69,1625011200,377209091,2021,6,O,Realty Income,Real Estate
70,1632960000,397047059,2021,9,O,Realty Income,Real Estate
71,1640908800,591261991,2021,12,O,Realty Income,Real Estate
72,1648684800,593827299,2022,3,O,Realty Income,Real Estate
73,1656547200,601672201,2022,6,O,Realty Income,Real Estate
74,1668718248,601672201,2022,11,O,Realty Income,Real Estate
