,d,v,years,months,ticker_symbol,security,sector
0,985996800,83895993,2001,3,PLD,Prologis,Real Estate
1,993859200,84461544,2001,6,PLD,Prologis,Real Estate
2,1001808000,84395107,2001,9,PLD,Prologis,Real Estate
3,1017532800,83319047,2002,3,PLD,Prologis,Real Estate
4,1025395200,83710208,2002,6,PLD,Prologis,Real Estate
5,1033344000,83723897,2002,9,PLD,Prologis,Real Estate
6,1049068800,81097725,2003,3,PLD,Prologis,Real Estate
7,1056931200,81015506,2003,6,PLD,Prologis,Real Estate
8,1064880000,81096837,2003,9,PLD,Prologis,Real Estate
9,1080691200,81691434,2004,3,PLD,Prologis,Real Estate
10,1088553600,82071604,2004,6,PLD,Prologis,Real Estate
11,1096502400,82193473,2004,9,PLD,Prologis,Real Estate
12,1112227200,83133730,2005,3,PLD,Prologis,Real Estate
13,1120089600,83521538,2005,6,PLD,Prologis,Real Estate
14,1128038400,84437568,2005,9,PLD,Prologis,Real Estate
15,1143763200,86432895,2006,3,PLD,Prologis,Real Estate
16,1151625600,87317494,2006,6,PLD,Prologis,Real Estate
17,1159574400,88029033,2006,9,PLD,Prologis,Real Estate
18,1175299200,92265002,2007,3,PLD,Prologis,Real Estate
19,1183161600,98937407,2007,6,PLD,Prologis,Real Estate
20,1191110400,98722381,2007,9,PLD,Prologis,Real Estate
21,1206921600,97750901,2008,3,PLD,Prologis,Real Estate
22,1214784000,97083044,2008,6,PLD,Prologis,Real Estate
23,1222732800,97149079,2008,9,PLD,Prologis,Real Estate
24,1238457600,98915587,2009,3,PLD,Prologis,Real Estate
25,1246320000,145380000,2009,6,PLD,Prologis,Real Estate
26,1254268800,145659000,2009,9,PLD,Prologis,Real Estate
27,1269993600,148666000,2010,3,PLD,Prologis,Real Estate
28,1277856000,165658000,2010,6,PLD,Prologis,Real Estate
29,1285804800,166997000,2010,9,PLD,Prologis,Real Estate
30,1301529600,168100000,2011,3,PLD,Prologis,Real Estate
31,1309392000,307756000,2011,6,PLD,Prologis,Real Estate
32,1317340800,458256000,2011,9,PLD,Prologis,Real Estate
33,1333152000,459203000,2012,3,PLD,Prologis,Real Estate
34,1341014400,459878000,2012,6,PLD,Prologis,Real Estate
35,1348963200,460079000,2012,9,PLD,Prologis,Real Estate
36,1364688000,461468000,2013,3,PLD,Prologis,Real Estate
37,1372550400,486032000,2013,6,PLD,Prologis,Real Estate
38,1380499200,497989000,2013,9,PLD,Prologis,Real Estate
39,1396224000,498696000,2014,3,PLD,Prologis,Real Estate
40,1404086400,499112000,2014,6,PLD,Prologis,Real Estate
41,1412035200,499292000,2014,9,PLD,Prologis,Real Estate
42,1427760000,514022000,2015,3,PLD,Prologis,Real Estate
43,1435622400,523476000,2015,6,PLD,Prologis,Real Estate
44,1443571200,523528000,2015,9,PLD,Prologis,Real Estate
45,1459382400,524205000,2016,3,PLD,Prologis,Real Estate
46,1467244800,524842000,2016,6,PLD,Prologis,Real Estate
47,1475193600,527288000,2016,9,PLD,Prologis,Real Estate
48,1490918400,528721000,2017,3,PLD,Prologis,Real Estate
49,1498780800,530040000,2017,6,PLD,Prologis,Real Estate
50,1506729600,531288000,2017,9,PLD,Prologis,Real Estate
51,1514678400,531478000,2017,12,PLD,Prologis,Real Estate
52,1522454400,532185000,2018,3,PLD,Prologis,Real Estate
53,1530316800,532639000,2018,6,PLD,Prologis,Real Estate
54,1538265600,574520000,2018,9,PLD,Prologis,Real Estate
55,1546214400,628956000,2018,12,PLD,Prologis,Real Estate
56,1553990400,629676000,2019,3,PLD,Prologis,Real Estate
57,1561852800,630271000,2019,6,PLD,Prologis,Real Estate
58,1569801600,630929000,2019,9,PLD,Prologis,Real Estate
59,1585612800,698272000,2020,3,PLD,Prologis,Real Estate
60,1593475200,737992000,2020,6,PLD,Prologis,Real Estate
61,1601424000,738194000,2020,9,PLD,Prologis,Real Estate
62,1617148800,738998000,2021,3,PLD,Prologis,Real Estate
63,1625011200,739190000,2021,6,PLD,Prologis,Real Estate
64,1632960000,739439000,2021,9,PLD,Prologis,Real Estate
65,1648684800,740368000,2022,3,PLD,Prologis,Real Estate
66,1656547200,740637000,2022,6,PLD,Prologis,Real Estate
67,1668718217,740637000,2022,11,PLD,Prologis,Real Estate
