,d,v,years,months,ticker_symbol,security,sector
0,985996800,57466633,2001,3,REG,Regency Centers,Real Estate
1,993859200,57085980,2001,6,REG,Regency Centers,Real Estate
2,1001808000,58013144,2001,9,REG,Regency Centers,Real Estate
3,1017532800,58376274,2002,3,REG,Regency Centers,Real Estate
4,1025395200,58504182,2002,6,REG,Regency Centers,Real Estate
5,1033344000,58022698,2002,9,REG,Regency Centers,Real Estate
6,1049068800,59748173,2003,3,REG,Regency Centers,Real Estate
7,1056931200,59609337,2003,6,REG,Regency Centers,Real Estate
8,1064880000,57247571,2003,9,REG,Regency Centers,Real Estate
9,1080691200,59500000,2004,3,REG,Regency Centers,Real Estate
10,1088553600,61119512,2004,6,REG,Regency Centers,Real Estate
11,1096502400,61325862,2004,9,REG,Regency Centers,Real Estate
12,1112227200,63065455,2005,3,REG,Regency Centers,Real Estate
13,1120089600,62839062,2005,6,REG,Regency Centers,Real Estate
14,1128038400,65626190,2005,9,REG,Regency Centers,Real Estate
15,1143763200,67892784,2006,3,REG,Regency Centers,Real Estate
16,1151625600,68357447,2006,6,REG,Regency Centers,Real Estate
17,1159574400,69108772,2006,9,REG,Regency Centers,Real Estate
18,1175299200,69425333,2007,3,REG,Regency Centers,Real Estate
19,1183161600,69320312,2007,6,REG,Regency Centers,Real Estate
20,1191110400,69773585,2007,9,REG,Regency Centers,Real Estate
21,1206921600,70313158,2008,3,REG,Regency Centers,Real Estate
22,1214784000,69397000,2008,6,REG,Regency Centers,Real Estate
23,1222732800,69522000,2008,9,REG,Regency Centers,Real Estate
24,1238457600,69670000,2009,3,REG,Regency Centers,Real Estate
25,1246320000,74695604,2009,6,REG,Regency Centers,Real Estate
26,1254268800,80088020,2009,9,REG,Regency Centers,Real Estate
27,1269993600,82459800,2010,3,REG,Regency Centers,Real Estate
28,1277856000,84401875,2010,6,REG,Regency Centers,Real Estate
29,1285804800,82372750,2010,9,REG,Regency Centers,Real Estate
30,1301529600,109270000,2011,3,REG,Regency Centers,Real Estate
31,1309392000,91863971,2011,6,REG,Regency Centers,Real Estate
32,1317340800,94560111,2011,9,REG,Regency Centers,Real Estate
33,1333152000,89706000,2012,3,REG,Regency Centers,Real Estate
34,1341014400,89785000,2012,6,REG,Regency Centers,Real Estate
35,1348963200,89928000,2012,9,REG,Regency Centers,Real Estate
36,1356912000,90059139,2012,12,REG,Regency Centers,Real Estate
37,1364688000,91063584,2013,3,REG,Regency Centers,Real Estate
38,1372550400,91914018,2013,6,REG,Regency Centers,Real Estate
39,1380499200,91958007,2013,9,REG,Regency Centers,Real Estate
40,1388448000,91960119,2013,12,REG,Regency Centers,Real Estate
41,1396224000,92167000,2014,3,REG,Regency Centers,Real Estate
42,1404086400,91939584,2014,6,REG,Regency Centers,Real Estate
43,1412035200,92345000,2014,9,REG,Regency Centers,Real Estate
44,1419984000,93682815,2014,12,REG,Regency Centers,Real Estate
45,1427760000,93842000,2015,3,REG,Regency Centers,Real Estate
46,1435622400,93934857,2015,6,REG,Regency Centers,Real Estate
47,1443571200,93747220,2015,9,REG,Regency Centers,Real Estate
48,1451520000,96794776,2015,12,REG,Regency Centers,Real Estate
49,1459382400,97227516,2016,3,REG,Regency Centers,Real Estate
50,1467244800,99142586,2016,6,REG,Regency Centers,Real Estate
51,1475193600,104147379,2016,9,REG,Regency Centers,Real Estate
52,1483142400,104149383,2016,12,REG,Regency Centers,Real Estate
53,1490918400,126649000,2017,3,REG,Regency Centers,Real Estate
54,1498780800,169743003,2017,6,REG,Regency Centers,Real Estate
55,1506729600,169746279,2017,9,REG,Regency Centers,Real Estate
56,1514678400,170998280,2017,12,REG,Regency Centers,Real Estate
57,1522454400,169036069,2018,3,REG,Regency Centers,Real Estate
58,1530316800,169424000,2018,6,REG,Regency Centers,Real Estate
59,1538265600,169438000,2018,9,REG,Regency Centers,Real Estate
60,1553990400,167106280,2019,3,REG,Regency Centers,Real Estate
61,1561852800,167536000,2019,6,REG,Regency Centers,Real Estate
62,1569801600,167559000,2019,9,REG,Regency Centers,Real Estate
63,1577750400,167130644,2019,12,REG,Regency Centers,Real Estate
64,1585612800,167908000,2020,3,REG,Regency Centers,Real Estate
65,1593475200,169643000,2020,6,REG,Regency Centers,Real Estate
66,1601424000,169671000,2020,9,REG,Regency Centers,Real Estate
67,1609372800,169220310,2020,12,REG,Regency Centers,Real Estate
68,1617148800,169768000,2021,3,REG,Regency Centers,Real Estate
69,1625011200,169854000,2021,6,REG,Regency Centers,Real Estate
70,1632960000,170731920,2021,9,REG,Regency Centers,Real Estate
71,1640908800,170785107,2021,12,REG,Regency Centers,Real Estate
72,1648684800,170935633,2022,3,REG,Regency Centers,Real Estate
73,1656547200,172064000,2022,6,REG,Regency Centers,Real Estate
74,1668718263,172064000,2022,11,REG,Regency Centers,Real Estate
