,d,v,years,months,ticker_symbol,security,sector
0,985996800,28617000,2001,3,WELL,Welltower,Real Estate
1,993859200,28985000,2001,6,WELL,Welltower,Real Estate
2,1001808000,32205000,2001,9,WELL,Welltower,Real Estate
3,1017532800,32946000,2002,3,WELL,Welltower,Real Estate
4,1025395200,35446000,2002,6,WELL,Welltower,Real Estate
5,1033344000,38628000,2002,9,WELL,Welltower,Real Estate
6,1049068800,39971000,2003,3,WELL,Welltower,Real Estate
7,1056931200,40546000,2003,6,WELL,Welltower,Real Estate
8,1064880000,44181000,2003,9,WELL,Welltower,Real Estate
9,1080691200,50580000,2004,3,WELL,Welltower,Real Estate
10,1088553600,51232000,2004,6,WELL,Welltower,Real Estate
11,1096502400,51538000,2004,9,WELL,Welltower,Real Estate
12,1112227200,52963000,2005,3,WELL,Welltower,Real Estate
13,1120089600,53429000,2005,6,WELL,Welltower,Real Estate
14,1128038400,54038000,2005,9,WELL,Welltower,Real Estate
15,1143763200,58178000,2006,3,WELL,Welltower,Real Estate
16,1151625600,61548000,2006,6,WELL,Welltower,Real Estate
17,1159574400,62524000,2006,9,WELL,Welltower,Real Estate
18,1175299200,73224000,2007,3,WELL,Welltower,Real Estate
19,1183161600,79060000,2007,6,WELL,Welltower,Real Estate
20,1191110400,80710000,2007,9,WELL,Welltower,Real Estate
21,1206921600,86100000,2008,3,WELL,Welltower,Real Estate
22,1214784000,89294000,2008,6,WELL,Welltower,Real Estate
23,1222732800,96040000,2008,9,WELL,Welltower,Real Estate
24,1238457600,108214000,2009,3,WELL,Welltower,Real Estate
25,1246320000,110864000,2009,6,WELL,Welltower,Real Estate
26,1254268800,114874000,2009,9,WELL,Welltower,Real Estate
27,1262217600,122700000,2009,12,WELL,Welltower,Real Estate
28,1269993600,123270000,2010,3,WELL,Welltower,Real Estate
29,1277856000,123808000,2010,6,WELL,Welltower,Real Estate
30,1285804800,125298000,2010,9,WELL,Welltower,Real Estate
31,1301529600,154945000,2011,3,WELL,Welltower,Real Estate
32,1309392000,176445000,2011,6,WELL,Welltower,Real Estate
33,1317340800,177272000,2011,9,WELL,Welltower,Real Estate
34,1333152000,199661000,2012,3,WELL,Welltower,Real Estate
35,1341014400,213498000,2012,6,WELL,Welltower,Real Estate
36,1348963200,224391000,2012,9,WELL,Welltower,Real Estate
37,1356912000,259290000,2012,12,WELL,Welltower,Real Estate
38,1364688000,260036000,2013,3,WELL,Welltower,Real Estate
39,1372550400,273091000,2013,6,WELL,Welltower,Real Estate
40,1380499200,286020000,2013,9,WELL,Welltower,Real Estate
41,1388448000,288133000,2013,12,WELL,Welltower,Real Estate
42,1396224000,289606000,2014,3,WELL,Welltower,Real Estate
43,1404086400,296256000,2014,6,WELL,Welltower,Real Estate
44,1412035200,311117000,2014,9,WELL,Welltower,Real Estate
45,1427760000,336754000,2015,3,WELL,Welltower,Real Estate
46,1435622400,350399000,2015,6,WELL,Welltower,Real Estate
47,1443571200,351765000,2015,9,WELL,Welltower,Real Estate
48,1459382400,355076000,2016,3,WELL,Welltower,Real Estate
49,1467244800,356646000,2016,6,WELL,Welltower,Real Estate
50,1475193600,358932000,2016,9,WELL,Welltower,Real Estate
51,1483142400,362088000,2016,12,WELL,Welltower,Real Estate
52,1490918400,362534000,2017,3,WELL,Welltower,Real Estate
53,1498780800,366524000,2017,6,WELL,Welltower,Real Estate
54,1506729600,369089000,2017,9,WELL,Welltower,Real Estate
55,1514678400,370485000,2017,12,WELL,Welltower,Real Estate
56,1522454400,371426000,2018,3,WELL,Welltower,Real Estate
57,1530316800,371640000,2018,6,WELL,Welltower,Real Estate
58,1538265600,373023000,2018,9,WELL,Welltower,Real Estate
59,1546214400,378240000,2018,12,WELL,Welltower,Real Estate
60,1553990400,391474000,2019,3,WELL,Welltower,Real Estate
61,1561852800,404607000,2019,6,WELL,Welltower,Real Estate
62,1569801600,405023000,2019,9,WELL,Welltower,Real Estate
63,1577750400,405974000,2019,12,WELL,Welltower,Real Estate
64,1585612800,410306000,2020,3,WELL,Welltower,Real Estate
65,1593475200,417084000,2020,6,WELL,Welltower,Real Estate
66,1601424000,417027000,2020,9,WELL,Welltower,Real Estate
67,1609372800,417123000,2020,12,WELL,Welltower,Real Estate
68,1617148800,417241000,2021,3,WELL,Welltower,Real Estate
69,1625011200,417452000,2021,6,WELL,Welltower,Real Estate
70,1632960000,428031000,2021,9,WELL,Welltower,Real Estate
71,1640908800,436909000,2021,12,WELL,Welltower,Real Estate
72,1648684800,447379000,2022,3,WELL,Welltower,Real Estate
73,1656547200,454327000,2022,6,WELL,Welltower,Real Estate
74,1668718373,454327000,2022,11,WELL,Welltower,Real Estate
